subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,resp_buttonid,r
1,audio,different_means,2,2,1,3218.989273,26,2,56.74708464,1,3,2,6
1,audio,different_means,2,3,1,3209.880228,55,2,244.0721874,1,4,3,7
1,audio,different_means,1,1,1,2419.479955,4,1,208.6814902,1,1,-1,4
1,audio,different_means,1,1,0,2152.29314,9,2,213.3302924,1,2,-1,4
1,audio,different_means,2,1,1,3291.634324,4,2,83.67123883,1,1,1,5
1,audio,different_means,2,2,1,3453.963642,55,2,163.8153328,1,4,2,6
2,audio,different_means,2,2,1,2729.285217,55,2,1.449252631,1,4,2,6
2,audio,different_means,2,3,1,3075.670485,55,2,126.9356472,1,4,3,7
2,audio,different_means,2,3,1,3647.275117,55,2,121.3854166,1,4,3,7
2,audio,different_means,1,1,1,2523.065159,4,1,13.25089472,1,1,-1,4
2,audio,different_means,1,3,1,2080.49767,26,1,347.0284195,1,3,-3,2
2,audio,different_means,1,3,1,2015.31538,26,1,279.755622,1,3,-3,2
3,audio,different_means,2,4,1,3233.319975,55,2,270.7087641,1,4,4,8
3,audio,different_means,1,1,0,3257.448628,4,2,77.39872653,0,1,-1,4
3,audio,different_means,1,1,0,4073.220187,4,2,128.0877424,0,1,-1,4
3,audio,different_means,1,4,0,2121.71357,26,2,263.2031416,1,3,-4,1
3,audio,different_means,1,4,1,2608.54074,26,1,310.4593028,1,3,-4,1
3,audio,different_means,1,3,1,2861.421766,55,1,331.4866165,0,4,-3,2
4,audio,different_means,1,1,0,3131.034562,4,2,262.5017598,0,1,-1,4
4,audio,different_means,1,1,1,2113.111831,4,1,184.4164658,1,1,-1,4
4,audio,different_means,1,1,1,2639.615403,9,1,124.5284588,1,2,-1,4
4,audio,different_means,2,1,0,2609.563547,9,1,51.24677085,0,2,1,5
4,audio,different_means,2,1,1,3011.34446,4,2,290.7378994,1,1,1,5
4,audio,different_means,2,1,0,2640.474428,9,1,60.6024024,0,2,1,5
5,audio,different_means,1,1,1,1910.93833,9,1,282.1757607,1,2,-1,4
5,audio,different_means,2,2,0,2431.409994,55,1,44.80373503,0,4,2,6
5,audio,different_means,2,1,0,1908.671398,4,1,307.1444144,0,1,1,5
5,audio,different_means,1,2,1,2720.422483,26,1,75.33041361,0,3,-2,3
5,audio,different_means,1,1,0,2947.944531,9,2,139.2734239,0,2,-1,4
5,audio,different_means,1,2,0,3121.068845,26,2,225.4536051,0,3,-2,3
6,audio,different_means,1,3,1,1747.932787,55,1,240.7819897,1,4,-3,2
6,audio,different_means,1,2,1,2627.893055,26,1,267.2193879,1,3,-2,3
6,audio,different_means,2,2,1,3276.779265,26,2,12.12616814,1,3,2,6
6,audio,different_means,1,1,0,4006.078939,9,2,179.4480538,0,2,-1,4
6,audio,different_means,1,1,0,3472.922858,9,2,232.0716742,0,2,-1,4
6,audio,different_means,1,2,1,2938.677253,9,1,131.4202079,0,2,-2,3
7,audio,different_means,1,1,0,2131.744508,4,2,279.3534856,1,1,-1,4
7,audio,different_means,2,4,1,4003.370272,55,2,1.002681408,1,4,4,8
7,audio,different_means,1,4,1,2277.461999,26,1,313.8926532,1,3,-4,1
7,audio,different_means,1,2,0,2574.705348,26,2,151.238255,1,3,-2,3
7,audio,different_means,2,3,0,2825.807505,26,1,343.2615938,1,3,3,7
7,audio,different_means,1,4,1,1718.747157,55,1,1.037464385,1,4,-4,1
8,audio,different_means,1,1,1,2284.20603,9,1,71.06736097,1,2,-1,4
8,audio,different_means,1,1,1,2691.899539,9,1,139.195474,1,2,-1,4
8,audio,different_means,2,1,1,2907.878202,4,2,341.1249428,1,1,1,5
8,audio,different_means,2,2,1,4163.260157,26,2,36.84809433,1,3,2,6
8,audio,different_means,1,1,0,2442.598489,4,2,315.9247274,1,1,-1,4
8,audio,different_means,1,2,0,2745.282031,55,2,91.99722427,0,4,-2,3
1,audio,different_means,2,3,1,3299.87431,55,2,347.7865985,1,4,3,7
1,audio,different_means,2,4,1,4237.868482,55,2,123.8647255,1,4,4,8
1,audio,different_means,2,2,1,3649.566289,26,2,329.8382546,1,3,2,6
1,audio,different_means,1,1,1,2182.635185,9,1,164.6400249,1,2,-1,4
1,audio,different_means,2,2,0,2890.8832,26,1,290.9434884,1,3,2,6
1,audio,different_means,1,2,1,2691.574727,55,1,275.9656245,1,4,-2,3
2,audio,different_means,1,2,1,2829.434565,55,1,268.1015333,0,4,-2,3
2,audio,different_means,1,1,1,2738.690625,9,1,96.70357191,0,2,-1,4
2,audio,different_means,1,1,0,2645.1561,9,2,163.6316012,1,2,-1,4
2,audio,different_means,2,3,1,3479.498461,55,2,28.30608739,1,4,3,7
2,audio,different_means,2,3,1,3812.292691,26,2,257.6269006,1,3,3,7
2,audio,different_means,2,3,0,2333.311292,55,1,134.0938582,0,4,3,7
3,audio,different_means,1,4,1,2194.682082,55,1,112.2229866,1,4,-4,1
3,audio,different_means,1,4,1,1992.416576,55,1,301.6261759,1,4,-4,1
3,audio,different_means,1,1,0,3614.891994,4,2,178.5117675,0,1,-1,4
3,audio,different_means,2,4,1,3417.341398,26,2,245.3895882,1,3,4,8
3,audio,different_means,1,4,1,2665.339237,26,1,80.81184514,1,3,-4,1
3,audio,different_means,1,4,1,2335.840032,55,1,287.644861,1,4,-4,1
4,audio,different_means,1,2,0,2087.018877,26,2,85.48133508,1,3,-2,3
