subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
1,audio,different_sds,2,2,1,2839.462286,26,2,250.8165098,0,6,3
1,audio,different_sds,2,3,1,1914.527857,55,2,198.0119185,1,7,4
1,audio,different_sds,1,1,0,2190.090159,9,2,333.7944935,0,4,2
1,audio,different_sds,2,1,0,2701.743976,4,1,338.2257809,0,5,1
1,audio,different_sds,2,1,0,2694.124623,4,1,205.5951294,0,5,1
1,audio,different_sds,1,2,1,2639.811946,26,1,81.03818037,1,3,3
2,audio,different_sds,1,2,0,2841.648551,26,2,121.3786161,1,3,3
2,audio,different_sds,1,2,1,2865.535631,26,1,43.83443183,1,3,3
2,audio,different_sds,2,2,0,2901.216974,55,1,57.07713785,0,6,4
2,audio,different_sds,1,2,1,2768.566921,26,1,346.6908744,1,3,3
2,audio,different_sds,1,1,1,2786.922287,9,1,11.5948932,1,4,2
2,audio,different_sds,1,1,1,2758.59357,4,1,132.3969994,1,4,1
3,audio,different_sds,1,4,1,2731.779414,55,1,103.7784748,1,1,4
3,audio,different_sds,1,1,1,2800.47657,9,1,289.8781419,1,4,2
3,audio,different_sds,1,3,1,2555.221022,26,1,164.3147312,1,2,3
3,audio,different_sds,1,2,0,2944.754784,26,2,264.714952,0,3,3
3,audio,different_sds,2,4,1,2081.036993,55,2,177.0849457,1,8,4
3,audio,different_sds,2,4,1,3412.034595,26,2,78.29400344,1,8,3
4,audio,different_sds,1,1,0,3013.606059,9,2,110.0814203,0,4,2
4,audio,different_sds,2,1,0,2709.885674,55,1,1.191958007,0,5,4
4,audio,different_sds,2,2,0,2661.307097,26,1,216.9431052,0,6,3
4,audio,different_sds,1,2,0,2663.504836,55,2,294.9067482,1,3,4
4,audio,different_sds,1,2,1,2678.605126,55,1,82.28583854,1,3,4
4,audio,different_sds,2,2,0,2743.049988,55,1,35.83087224,0,6,4
5,audio,different_sds,1,1,1,2673.816795,4,1,200.8629562,1,4,1
5,audio,different_sds,2,1,1,3099.282083,55,2,154.4985605,1,5,4
5,audio,different_sds,1,1,0,1994.186916,9,2,130.9270436,0,4,2
5,audio,different_sds,1,1,1,2808.664511,9,1,286.0288501,1,4,2
5,audio,different_sds,2,2,1,3485.687541,55,2,40.97047557,1,6,4
5,audio,different_sds,1,2,1,2568.794949,55,1,23.05710879,1,3,4
6,audio,different_sds,1,2,1,2764.671061,55,1,279.2546475,1,3,4
6,audio,different_sds,1,1,1,2877.26726,9,1,143.0142591,1,4,2
6,audio,different_sds,2,2,1,2947.748204,55,2,265.095274,1,6,4
6,audio,different_sds,1,2,0,3360.554918,55,2,196.2190933,0,3,4
6,audio,different_sds,2,1,1,3228.873495,55,2,153.9106782,1,5,4
6,audio,different_sds,1,1,1,2540.534907,26,1,204.5330281,1,4,3
7,audio,different_sds,1,2,1,2653.086469,26,1,321.1954882,1,3,3
7,audio,different_sds,2,2,0,2516.578876,26,1,307.8931264,0,6,3
7,audio,different_sds,1,1,0,2500.343392,9,2,343.618993,1,4,2
7,audio,different_sds,1,2,1,2686.414437,26,1,357.9960102,1,3,3
7,audio,different_sds,2,2,0,2623.916268,26,1,111.2139044,0,6,3
7,audio,different_sds,1,4,0,2689.478455,55,2,99.17605226,1,1,4
8,audio,different_sds,1,1,1,2759.848818,26,1,27.88024552,1,4,3
8,audio,different_sds,2,1,1,2857.55404,9,2,144.1261565,0,5,2
8,audio,different_sds,1,2,0,2672.458386,26,2,283.0688264,1,3,3
8,audio,different_sds,1,1,0,3121.652464,4,2,97.13361236,0,4,1
8,audio,different_sds,2,1,1,3673.853167,4,2,190.3729234,1,5,1
8,audio,different_sds,1,3,1,2632.901897,26,1,121.4517432,1,2,3
1,audio,different_sds,2,4,1,1668.617203,55,2,357.5207188,1,8,4
1,audio,different_sds,1,2,1,2728.144273,26,1,198.0885983,1,3,3
1,audio,different_sds,1,1,0,2888.578248,26,2,251.5021121,1,4,3
1,audio,different_sds,2,2,0,2896.943653,26,1,286.5613592,0,6,3
1,audio,different_sds,2,3,1,1859.243764,26,2,176.7599209,1,7,3
1,audio,different_sds,1,1,1,2673.702341,26,1,155.8960897,1,4,3
2,audio,different_sds,1,1,1,2582.471575,9,1,302.9505119,1,4,2
2,audio,different_sds,2,3,1,2337.556922,55,2,161.9102597,1,7,4
2,audio,different_sds,2,2,1,2434.46993,26,2,205.1074692,1,6,3
2,audio,different_sds,1,1,0,2074.881645,4,2,219.3614029,0,4,1
2,audio,different_sds,2,2,0,2556.677872,26,1,286.9425317,0,6,3
2,audio,different_sds,1,1,1,2619.289714,4,1,231.6176212,1,4,1
3,audio,different_sds,1,1,0,2133.713128,4,2,223.6544608,0,4,1
3,audio,different_sds,1,1,0,2593.209219,9,2,286.2621582,1,4,2
3,audio,different_sds,1,1,0,2190.207567,4,2,153.4498461,0,4,1
3,audio,different_sds,1,3,0,2855.207651,55,2,116.4982244,1,2,4
