subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,r
1,audio,different_sds,1,1,0,1677.021127,4.00E-05,2,225.402302,0,1,4
1,audio,different_sds,1,1,1,2668.554931,2.00E-04,1,197.658192,1,2,4
1,audio,different_sds,1,1,0,2697.985056,2.00E-04,2,204.9018247,1,2,4
1,audio,different_sds,2,2,1,3351.043203,3.00E-04,2,68.63033453,1,3,6
1,audio,different_sds,2,4,1,3304.470457,0.02,2,106.0255284,1,4,8
1,audio,different_sds,1,2,1,2698.346345,0.02,1,305.3462645,1,4,3
2,audio,different_sds,2,2,1,2287.990113,0.02,2,144.992705,1,4,6
2,audio,different_sds,1,1,0,2635.075242,3.00E-04,2,41.91015811,1,3,4
2,audio,different_sds,2,1,1,2408.164418,2.00E-04,2,15.73550348,1,2,5
2,audio,different_sds,2,3,1,3151.463057,2.00E-04,2,37.26852975,1,2,7
2,audio,different_sds,2,3,1,2048.109285,0.02,2,0.158887006,1,4,7
2,audio,different_sds,2,1,0,2669.809811,3.00E-04,1,350.1772359,0,3,5
3,audio,different_sds,1,1,1,2835.117832,4.00E-05,1,273.2188683,1,1,4
3,audio,different_sds,1,1,0,2611.167396,4.00E-05,2,49.33121584,1,1,4
3,audio,different_sds,1,1,1,2678.620101,4.00E-05,1,74.79231802,1,1,4
3,audio,different_sds,1,1,1,2663.637189,2.00E-04,1,264.3004391,1,2,4
3,audio,different_sds,1,1,1,2934.228658,4.00E-05,1,209.6507421,0,1,4
3,audio,different_sds,1,3,1,2670.897982,0.02,1,250.0626954,1,4,2
4,audio,different_sds,1,2,1,2776.144508,0.02,1,327.2044477,1,4,3
4,audio,different_sds,2,1,1,1931.298466,3.00E-04,2,251.2623996,1,3,5
4,audio,different_sds,2,2,1,3094.335756,3.00E-04,2,23.77737797,1,3,6
4,audio,different_sds,2,1,1,2928.624365,2.00E-04,2,228.595191,1,2,5
4,audio,different_sds,2,3,1,3234.37893,0.02,2,155.2455121,1,4,7
4,audio,different_sds,1,3,1,2761.257471,0.02,1,144.9536541,1,4,2
1,audio,different_sds,1,2,0,2744.220811,3.00E-04,2,257.4909813,1,3,3
1,audio,different_sds,2,2,1,2469.09746,3.00E-04,2,259.6089199,1,3,6
1,audio,different_sds,2,3,0,2525.773333,0.02,1,83.28210097,0,4,7
1,audio,different_sds,2,3,1,2528.175703,0.02,2,130.310922,0,4,7
1,audio,different_sds,1,2,1,2691.819945,2.00E-04,1,194.9885197,1,2,3
1,audio,different_sds,2,1,1,2295.404676,4.00E-05,2,30.94983835,1,1,5
2,audio,different_sds,1,1,1,2629.665562,4.00E-05,1,100.6093701,1,1,4
2,audio,different_sds,2,1,1,3063.016068,4.00E-05,2,338.9410146,1,1,5
2,audio,different_sds,1,1,0,2691.052226,3.00E-04,2,292.598502,1,3,4
2,audio,different_sds,2,1,0,2725.580391,2.00E-04,1,78.30856643,0,2,5
2,audio,different_sds,1,2,0,2730.658057,2.00E-04,2,87.78229913,1,2,3
2,audio,different_sds,1,2,0,2880.611319,3.00E-04,2,83.82957457,1,3,3
3,audio,different_sds,2,3,0,2347.626973,0.02,1,344.643312,1,4,7
3,audio,different_sds,1,1,1,2729.632015,4.00E-05,1,74.76871743,1,1,4
3,audio,different_sds,1,1,1,2571.472201,2.00E-04,1,191.1783306,1,2,4
3,audio,different_sds,1,1,1,2642.450648,4.00E-05,1,317.3795098,1,1,4
3,audio,different_sds,1,2,1,2614.357342,3.00E-04,1,147.1539772,1,3,3
3,audio,different_sds,1,1,0,2213.238319,3.00E-04,2,273.4519383,0,3,4
4,audio,different_sds,1,2,1,2715.504756,3.00E-04,1,159.1799285,1,3,3
4,audio,different_sds,1,1,1,2857.750012,4.00E-05,1,125.3439849,1,1,4
4,audio,different_sds,1,1,0,2755.883944,3.00E-04,2,103.1202583,1,3,4
4,audio,different_sds,2,1,0,2679.692714,4.00E-05,1,88.55225787,0,1,5
4,audio,different_sds,1,2,1,2720.528063,3.00E-04,1,311.9107289,1,3,3
4,audio,different_sds,2,1,1,2332.659874,4.00E-05,2,322.0172528,1,1,5
1,audio,different_sds,1,1,0,2532.364613,4.00E-05,2,281.7983463,1,1,4
1,audio,different_sds,1,1,0,2749.676777,4.00E-05,2,131.4684741,1,1,4
1,audio,different_sds,1,1,0,3738.074635,4.00E-05,2,60.28675276,0,1,4
1,audio,different_sds,2,1,0,2656.717948,4.00E-05,1,160.0441666,0,1,5
1,audio,different_sds,2,3,0,2419.73665,0.02,1,50.82733877,1,4,7
1,audio,different_sds,2,1,0,2833.045324,2.00E-04,1,160.5941832,0,2,5
2,audio,different_sds,2,1,1,2998.313305,3.00E-04,2,292.9656651,1,3,5
2,audio,different_sds,1,2,1,2851.860013,2.00E-04,1,64.09159038,1,2,3
2,audio,different_sds,1,1,0,3351.552678,4.00E-05,2,16.77456628,0,1,4
2,audio,different_sds,2,3,1,2011.332246,2.00E-04,2,217.7679069,1,2,7
2,audio,different_sds,2,2,1,2158.088741,2.00E-04,2,128.0371291,1,2,6
2,audio,different_sds,2,3,1,2054.056426,2.00E-04,2,270.799563,1,2,7
3,audio,different_sds,1,1,0,2685.266687,4.00E-05,2,44.4336826,1,1,4
3,audio,different_sds,2,1,1,3330.458474,2.00E-04,2,236.2422371,1,2,5
3,audio,different_sds,1,1,0,2496.131665,2.00E-04,2,95.80300788,1,2,4
3,audio,different_sds,1,3,0,2548.910957,0.02,2,41.33577406,1,4,2
3,audio,different_sds,2,4,1,3315.79269,0.02,2,112.6679173,1,4,8
3,audio,different_sds,1,2,1,2647.969278,2.00E-04,1,0.431346678,1,2,3
4,audio,different_sds,1,2,1,2521.999467,3.00E-04,1,330.5280313,1,3,3
4,audio,different_sds,2,1,0,2591.566417,4.00E-05,1,304.6848347,0,1,5
4,audio,different_sds,1,3,1,2818.816246,3.00E-04,1,64.91182881,1,3,2
4,audio,different_sds,1,3,1,2643.931605,0.02,1,84.12878699,1,4,2
4,audio,different_sds,1,1,1,2641.223326,4.00E-05,1,74.30117618,1,1,4
4,audio,different_sds,2,1,1,2505.188656,2.00E-04,2,43.38783001,0,2,5
1,audio,different_sds,1,1,1,2584.076052,4.00E-05,1,113.377297,1,1,4
1,audio,different_sds,1,2,1,2589.712859,0.02,1,69.08588522,1,4,3
1,audio,different_sds,2,2,1,2933.938979,3.00E-04,2,73.12982394,1,3,6
1,audio,different_sds,2,1,0,2706.136555,4.00E-05,1,171.5360671,0,1,5
1,audio,different_sds,2,3,1,3063.315146,0.02,2,55.8593724,1,4,7
1,audio,different_sds,2,1,0,2757.577585,4.00E-05,1,149.0658171,0,1,5
2,audio,different_sds,2,3,1,2317.14199,2.00E-04,2,330.9682903,1,2,7
2,audio,different_sds,1,2,1,2722.666593,0.02,1,37.59782844,1,4,3
2,audio,different_sds,2,4,1,1789.624648,0.02,2,126.0282325,1,4,8
2,audio,different_sds,2,1,0,2601.567821,4.00E-05,1,46.72676952,0,1,5
2,audio,different_sds,2,2,1,2143.488994,3.00E-04,2,29.82247519,1,3,6
2,audio,different_sds,2,1,1,2077.147975,0.02,2,290.7063872,1,4,5
3,audio,different_sds,1,2,1,2723.640652,3.00E-04,1,198.0296857,1,3,3
3,audio,different_sds,1,1,0,2585.651915,3.00E-04,2,200.0924654,1,3,4
3,audio,different_sds,1,1,0,2673.894947,4.00E-05,2,306.9300536,1,1,4
3,audio,different_sds,1,3,1,2657.966358,0.02,1,95.75275994,1,4,2
3,audio,different_sds,1,3,1,2659.552902,0.02,1,167.7612055,1,4,2
3,audio,different_sds,1,2,1,2707.370499,3.00E-04,1,131.3070956,1,3,3
4,audio,different_sds,1,2,1,2635.825454,0.02,1,272.4365042,1,4,3
4,audio,different_sds,1,3,1,2661.076685,3.00E-04,1,253.3558066,1,3,2
4,audio,different_sds,2,1,0,2760.258434,4.00E-05,1,16.64747946,0,1,5
4,audio,different_sds,1,1,0,2255.139495,3.00E-04,2,31.17551422,0,3,4
4,audio,different_sds,1,2,1,2546.511093,3.00E-04,1,181.4165048,1,3,3
4,audio,different_sds,1,3,0,2721.68451,0.02,2,11.49666598,1,4,2
1,audio,different_sds,1,1,1,2844.373747,4.00E-05,1,16.9394865,1,1,4
1,audio,different_sds,1,2,0,2620.106973,2.00E-04,2,14.77535914,1,2,3
1,audio,different_sds,1,1,1,2575.273517,4.00E-05,1,196.9457467,1,1,4
1,audio,different_sds,2,2,1,2751.124175,0.02,2,301.2791043,0,4,6
1,audio,different_sds,2,1,1,3294.017911,4.00E-05,2,122.3898463,1,1,5
1,audio,different_sds,2,1,0,2826.216784,4.00E-05,1,294.3560437,0,1,5
2,audio,different_sds,1,2,1,2566.816174,3.00E-04,1,226.1806739,1,3,3
2,audio,different_sds,1,1,1,2763.792426,4.00E-05,1,115.3340256,1,1,4
2,audio,different_sds,2,2,1,3365.325804,3.00E-04,2,90.61504286,1,3,6
2,audio,different_sds,2,1,0,2720.242724,3.00E-04,1,328.7127742,0,3,5
2,audio,different_sds,1,2,0,2960.803543,2.00E-04,2,193.4842008,0,2,3
2,audio,different_sds,1,2,1,2740.711338,0.02,1,201.1743769,1,4,3
3,audio,different_sds,1,3,1,2739.630467,0.02,1,172.2697423,1,4,2
3,audio,different_sds,1,2,1,2749.68442,3.00E-04,1,241.4789969,1,3,3
3,audio,different_sds,1,3,1,2590.592809,0.02,1,304.0570848,1,4,2
3,audio,different_sds,1,1,1,2764.040794,2.00E-04,1,221.5252238,1,2,4
3,audio,different_sds,1,3,1,2744.77889,2.00E-04,1,244.9177224,1,2,2
3,audio,different_sds,1,3,1,2866.561377,0.02,1,16.23377523,1,4,2
4,audio,different_sds,1,2,0,2579.149736,0.02,2,221.1765089,1,4,3
4,audio,different_sds,1,3,1,2626.371509,0.02,1,39.87762882,1,4,2
4,audio,different_sds,1,1,0,2638.450476,3.00E-04,2,230.2645556,1,3,4
4,audio,different_sds,1,2,1,2862.159826,3.00E-04,1,354.9035752,1,3,3
4,audio,different_sds,1,2,0,2509.598777,3.00E-04,2,338.026597,1,3,3
4,audio,different_sds,2,1,1,2502.532578,2.00E-04,2,260.2448111,0,2,5
1,audio,different_sds,1,2,1,2628.522229,3.00E-04,1,46.96403542,1,3,3
1,audio,different_sds,1,1,1,2526.704904,2.00E-04,1,19.71751167,1,2,4
1,audio,different_sds,1,1,0,2738.971334,4.00E-05,2,240.8384049,1,1,4
1,audio,different_sds,1,2,1,2859.946658,0.02,1,339.35549,1,4,3
1,audio,different_sds,1,2,0,2747.456738,3.00E-04,2,122.4450622,1,3,3
