subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,resp_buttonid,r
1,visual,different_sds,1,2,1,-1.220705151,0.135,1,226.3397624,1,4,-2,3
1,visual,different_sds,1,2,0,-2.816791068,0.135,2,260.1003862,1,4,-2,3
1,visual,different_sds,1,1,0,5.003164457,0.05,2,197.6480615,0,2,-1,4
1,visual,different_sds,2,1,0,-2.230272317,0.067,1,116.9828969,0,3,1,5
1,visual,different_sds,1,1,1,-1.73671619,0.033,1,255.7827357,1,1,-1,4
1,visual,different_sds,2,2,0,-3.929754349,0.135,1,200.293972,0,4,2,6
2,visual,different_sds,1,1,1,-0.851041486,0.067,1,317.644808,1,3,-1,4
2,visual,different_sds,1,1,0,-19.10167487,0.05,2,157.7560951,0,2,-1,4
2,visual,different_sds,2,1,1,-22.57129882,0.135,2,175.3134083,1,4,1,5
2,visual,different_sds,2,1,1,3.838935133,0.05,2,321.0964471,0,2,1,5
2,visual,different_sds,2,1,0,1.444284304,0.067,1,196.7441434,0,3,1,5
2,visual,different_sds,1,1,1,2.647002709,0.033,1,28.77058269,1,1,-1,4
3,visual,different_sds,1,1,0,1.597274097,0.033,2,56.70021228,1,1,-1,4
3,visual,different_sds,1,2,0,10.22124874,0.067,2,200.3080728,0,3,-2,3
3,visual,different_sds,1,2,1,-1.211387684,0.05,1,306.2657057,1,2,-2,3
3,visual,different_sds,1,1,1,3.271838766,0.033,1,31.62056632,1,1,-1,4
3,visual,different_sds,1,1,1,1.148556571,0.033,1,100.8895973,1,1,-1,4
3,visual,different_sds,1,2,1,3.499214628,0.067,1,346.5506322,1,3,-2,3
4,visual,different_sds,1,1,1,3.459626064,0.067,1,210.6238787,1,3,-1,4
4,visual,different_sds,1,1,1,-1.124789926,0.067,1,225.4907293,1,3,-1,4
4,visual,different_sds,1,1,1,3.43476003,0.033,1,165.5483496,1,1,-1,4
4,visual,different_sds,2,3,1,-17.53852678,0.067,2,24.08771569,1,3,3,7
4,visual,different_sds,2,2,1,11.30853711,0.067,2,81.93648304,1,3,2,6
4,visual,different_sds,1,1,1,7.213732191,0.033,1,184.8755407,0,1,-1,4
1,visual,different_sds,1,1,0,13.23782322,0.033,2,333.6209243,0,1,-1,4
1,visual,different_sds,1,2,1,-2.526887339,0.067,1,80.12975472,1,3,-2,3
1,visual,different_sds,1,1,1,-1.553141193,0.05,1,58.56795569,1,2,-1,4
1,visual,different_sds,2,2,0,0.465396097,0.135,1,192.3314653,0,4,2,6
1,visual,different_sds,1,1,0,-6.032269429,0.05,2,271.1775452,0,2,-1,4
1,visual,different_sds,2,1,0,-2.305983179,0.033,1,289.1202474,0,1,1,5
2,visual,different_sds,2,1,1,24.8734185,0.05,2,25.21730732,1,2,1,5
2,visual,different_sds,1,1,0,-7.144532549,0.033,2,156.6787409,0,1,-1,4
2,visual,different_sds,1,1,0,-1.410804231,0.135,2,107.5392412,1,4,-1,4
2,visual,different_sds,2,1,1,-10.04929297,0.033,2,4.381072183,1,1,1,5
2,visual,different_sds,2,3,1,-12.42366347,0.135,2,51.00833209,1,4,3,7
2,visual,different_sds,1,2,1,-0.069541114,0.135,1,203.8055574,1,4,-2,3
3,visual,different_sds,1,1,1,-5.61429933,0.033,1,39.56600102,0,1,-1,4
3,visual,different_sds,1,1,1,-0.293632899,0.05,1,206.7964788,1,2,-1,4
3,visual,different_sds,1,2,0,0.187334161,0.067,2,163.6093201,1,3,-2,3
3,visual,different_sds,1,2,1,-0.719712645,0.067,1,211.3672695,1,3,-2,3
3,visual,different_sds,1,1,1,1.92521099,0.05,1,282.7525832,1,2,-1,4
3,visual,different_sds,1,3,1,-0.180375736,0.135,1,296.7866366,1,4,-3,2
4,visual,different_sds,2,2,0,1.384355341,0.135,1,56.69858296,0,4,2,6
4,visual,different_sds,1,2,0,21.0034631,0.05,2,2.249291149,0,2,-2,3
4,visual,different_sds,1,3,1,0.793655719,0.135,1,307.0398401,1,4,-3,2
4,visual,different_sds,2,4,1,-4.815413277,0.05,2,179.7097904,0,2,4,8
4,visual,different_sds,2,1,1,-6.153206129,0.033,2,186.1440045,1,1,1,5
4,visual,different_sds,1,1,0,-11.18740191,0.033,2,13.35733309,0,1,-1,4
1,visual,different_sds,1,2,1,-2.170296303,0.067,1,159.511366,1,3,-2,3
1,visual,different_sds,1,2,0,0.353888558,0.135,2,317.9865736,1,4,-2,3
1,visual,different_sds,1,2,0,11.40786483,0.067,2,119.2848558,0,3,-2,3
1,visual,different_sds,2,2,1,3.700496227,0.067,2,213.9686632,0,3,2,6
1,visual,different_sds,1,2,0,1.485012822,0.135,2,276.790022,1,4,-2,3
1,visual,different_sds,2,1,0,-2.844838495,0.033,1,253.7026201,0,1,1,5
2,visual,different_sds,2,1,0,2.543787733,0.033,1,137.4667471,0,1,1,5
2,visual,different_sds,2,1,1,-15.5957089,0.067,2,169.2120428,1,3,1,5
2,visual,different_sds,2,1,1,10.39155471,0.05,2,182.7375832,1,2,1,5
2,visual,different_sds,2,1,0,-2.034134066,0.05,1,267.4274673,0,2,1,5
2,visual,different_sds,2,1,1,-9.684239114,0.067,2,256.9048543,1,3,1,5
2,visual,different_sds,2,1,0,1.97200362,0.033,1,318.6396868,0,1,1,5
3,visual,different_sds,1,1,1,-0.989522643,0.033,1,339.1626204,1,1,-1,4
3,visual,different_sds,1,1,1,1.017014841,0.05,1,175.3526245,1,2,-1,4
3,visual,different_sds,1,1,1,-1.521890416,0.05,1,118.7173407,1,2,-1,4
3,visual,different_sds,1,3,1,-2.990011814,0.135,1,121.3470447,1,4,-3,2
3,visual,different_sds,2,3,1,-6.460852354,0.135,2,135.3276092,1,4,3,7
3,visual,different_sds,1,3,1,0.496764068,0.135,1,72.23455308,1,4,-3,2
4,visual,different_sds,1,2,0,4.349746911,0.067,2,322.6836804,1,3,-2,3
4,visual,different_sds,1,2,1,-4.670399352,0.067,1,158.2662717,1,3,-2,3
4,visual,different_sds,2,3,1,4.813628882,0.05,2,20.06717271,0,2,3,7
4,visual,different_sds,1,1,0,15.61609248,0.033,2,70.19670986,0,1,-1,4
4,visual,different_sds,1,4,0,8.107236929,0.05,2,114.4440646,0,2,-4,1
4,visual,different_sds,1,2,1,-1.741068777,0.067,1,157.9561948,1,3,-2,3
1,visual,different_sds,1,1,1,0.920161345,0.033,1,147.2659741,1,1,-1,4
1,visual,different_sds,1,2,1,-0.006613787,0.135,1,264.8146343,1,4,-2,3
1,visual,different_sds,1,1,1,-1.263890774,0.033,1,229.1933309,1,1,-1,4
1,visual,different_sds,2,1,0,-0.872871206,0.033,1,286.3660267,0,1,1,5
1,visual,different_sds,1,1,0,14.23898645,0.067,2,219.555371,0,3,-1,4
1,visual,different_sds,2,1,0,-0.857255336,0.067,1,121.8689644,0,3,1,5
2,visual,different_sds,1,1,0,-1.407171251,0.033,2,205.8559036,1,1,-1,4
2,visual,different_sds,1,1,1,-0.336128211,0.067,1,6.56271269,1,3,-1,4
2,visual,different_sds,2,1,1,-17.05138201,0.05,2,139.1953519,1,2,1,5
2,visual,different_sds,1,1,1,1.918138736,0.135,1,344.8324625,1,4,-1,4
2,visual,different_sds,1,1,0,-9.526250267,0.067,2,244.6782046,0,3,-1,4
2,visual,different_sds,2,1,1,0.486655097,0.05,2,159.8481221,0,2,1,5
3,visual,different_sds,2,1,1,2.029416228,0.05,2,128.9809633,0,2,1,5
3,visual,different_sds,1,2,1,4.854711149,0.067,1,345.5724771,1,3,-2,3
3,visual,different_sds,1,1,1,5.277524341,0.05,1,153.0948538,0,2,-1,4
3,visual,different_sds,2,3,1,-6.201125129,0.135,2,100.320345,1,4,3,7
3,visual,different_sds,1,2,1,-1.373329859,0.135,1,156.1528696,1,4,-2,3
3,visual,different_sds,2,3,1,14.81539481,0.135,2,150.5675806,1,4,3,7
4,visual,different_sds,1,1,0,-6.100429416,0.033,2,83.81055451,0,1,-1,4
4,visual,different_sds,2,3,0,6.320240704,0.135,1,292.5549843,1,4,3,7
4,visual,different_sds,2,4,0,-2.78315964,0.067,1,215.1605239,0,3,4,8
4,visual,different_sds,1,2,1,3.259885772,0.033,1,44.7080104,1,1,-2,3
4,visual,different_sds,2,2,0,-7.893473468,0.067,1,228.6391717,1,3,2,6
4,visual,different_sds,1,1,1,1.323998513,0.033,1,268.5950411,1,1,-1,4
1,visual,different_sds,1,2,1,2.755549574,0.067,1,165.1668823,1,3,-2,3
1,visual,different_sds,2,1,0,1.69875325,0.033,1,292.5776895,0,1,1,5
1,visual,different_sds,1,1,1,3.593252948,0.067,1,236.511455,1,3,-1,4
1,visual,different_sds,2,1,1,4.285769958,0.033,2,208.5511287,0,1,1,5
1,visual,different_sds,1,1,1,-0.124677443,0.05,1,211.5942671,1,2,-1,4
1,visual,different_sds,2,1,0,3.69366705,0.05,1,10.93024055,0,2,1,5
2,visual,different_sds,2,3,0,-9.450057949,0.135,1,124.4625724,1,4,3,7
2,visual,different_sds,1,1,1,-3.437283554,0.033,1,273.1644492,1,1,-1,4
2,visual,different_sds,2,1,1,6.718701499,0.135,2,314.1265989,1,4,1,5
2,visual,different_sds,2,1,1,-22.21237467,0.033,2,324.2677938,1,1,1,5
2,visual,different_sds,1,2,0,-1.231253147,0.135,2,219.1268763,1,4,-2,3
2,visual,different_sds,1,2,0,-6.4110577,0.05,2,143.8734961,0,2,-2,3
3,visual,different_sds,1,1,1,4.957250542,0.05,1,33.27024739,1,2,-1,4
3,visual,different_sds,2,1,1,-24.61364115,0.05,2,21.17331402,1,2,1,5
3,visual,different_sds,1,2,1,-0.51752023,0.135,1,126.6799033,1,4,-2,3
3,visual,different_sds,2,4,1,-14.02203656,0.05,2,333.3415042,1,2,4,8
3,visual,different_sds,1,2,1,4.51506174,0.067,1,236.1499541,1,3,-2,3
3,visual,different_sds,1,1,0,7.581559859,0.05,2,41.6206991,0,2,-1,4
4,visual,different_sds,2,2,1,33.94807598,0.135,2,135.5052996,1,4,2,6
4,visual,different_sds,2,4,0,5.960836045,0.135,1,208.8102296,1,4,4,8
4,visual,different_sds,1,1,0,-0.46055081,0.033,2,328.1126777,1,1,-1,4
4,visual,different_sds,2,4,1,-4.922452808,0.135,2,314.7617305,0,4,4,8
4,visual,different_sds,1,2,1,1.998938411,0.135,1,268.9629944,1,4,-2,3
4,visual,different_sds,2,3,0,2.216449779,0.135,1,148.9869345,0,4,3,7
1,visual,different_sds,1,1,0,23.12905954,0.05,2,42.66388755,0,2,-1,4
1,visual,different_sds,2,1,1,7.107570229,0.033,2,358.4389598,1,1,1,5
1,visual,different_sds,1,1,0,7.469916961,0.067,2,143.652004,0,3,-1,4
1,visual,different_sds,2,1,1,4.070056041,0.033,2,282.828706,0,1,1,5
1,visual,different_sds,1,1,0,13.70463455,0.033,2,345.3522987,0,1,-1,4
1,visual,different_sds,2,1,1,-0.912257095,0.05,2,43.05312796,0,2,1,5
2,visual,different_sds,1,2,0,3.840855784,0.135,2,51.38970517,1,4,-2,3
2,visual,different_sds,1,1,1,-2.470491213,0.033,1,278.2088702,1,1,-1,4
2,visual,different_sds,2,3,1,-8.664423016,0.135,2,35.97292099,1,4,3,7
2,visual,different_sds,1,1,1,-2.920037383,0.067,1,107.8904611,1,3,-1,4
2,visual,different_sds,1,1,0,-23.92173906,0.033,2,351.9637263,0,1,-1,4
2,visual,different_sds,1,1,0,-14.65542426,0.05,2,300.0582374,0,2,-1,4
3,visual,different_sds,1,2,0,-3.156813459,0.067,2,32.87512516,1,3,-2,3
3,visual,different_sds,1,2,1,-4.22867295,0.135,1,174.9632857,1,4,-2,3
3,visual,different_sds,1,1,0,2.752557179,0.033,2,177.3428886,1,1,-1,4
3,visual,different_sds,1,3,1,3.522897521,0.135,1,11.6009826,1,4,-3,2
3,visual,different_sds,2,2,0,3.658608232,0.135,1,30.25506921,0,4,2,6
3,visual,different_sds,1,1,0,7.688899223,0.05,2,103.1671721,0,2,-1,4
4,visual,different_sds,2,2,1,17.98391594,0.135,2,288.5048388,1,4,2,6
4,visual,different_sds,1,1,0,14.72209758,0.05,2,255.6746835,0,2,-1,4
4,visual,different_sds,2,3,1,15.27853284,0.067,2,111.9660113,1,3,3,7
4,visual,different_sds,1,1,1,-0.51158682,0.033,1,293.0621113,1,1,-1,4
4,visual,different_sds,1,2,0,-3.854013079,0.033,2,153.0964926,1,1,-2,3
4,visual,different_sds,1,3,0,-10.19772671,0.05,2,143.745303,0,2,-3,2
1,visual,different_sds,1,1,0,7.348631896,0.033,2,350.0389889,0,1,-1,4
1,visual,different_sds,1,1,0,18.27574047,0.033,2,212.0355514,0,1,-1,4
1,visual,different_sds,2,4,1,15.41943048,0.067,2,256.4691006,1,3,4,8
1,visual,different_sds,2,1,1,7.760574135,0.067,2,251.0387238,1,3,1,5
1,visual,different_sds,1,1,0,-7.311296616,0.05,2,55.69028638,0,2,-1,4
1,visual,different_sds,1,1,0,0.859158656,0.033,2,308.3944299,1,1,-1,4
2,visual,different_sds,2,1,0,1.448214865,0.05,1,72.99586685,0,2,1,5
2,visual,different_sds,1,1,1,-3.307749808,0.067,1,274.7836719,1,3,-1,4
2,visual,different_sds,1,1,0,-3.962423627,0.033,2,91.66247143,1,1,-1,4
2,visual,different_sds,1,1,1,-6.61793345,0.033,1,299.157087,0,1,-1,4
2,visual,different_sds,1,1,1,2.495693943,0.033,1,124.4165265,1,1,-1,4
2,visual,different_sds,1,1,0,7.826452622,0.05,2,337.2911733,0,2,-1,4
3,visual,different_sds,2,1,1,-4.342177382,0.033,2,146.5788283,0,1,1,5
3,visual,different_sds,1,2,1,-0.714296937,0.135,1,213.3057054,1,4,-2,3
3,visual,different_sds,2,2,1,-6.795137028,0.135,2,255.7756408,1,4,2,6
3,visual,different_sds,1,3,1,2.793008065,0.135,1,252.7929708,1,4,-3,2
3,visual,different_sds,2,2,0,-2.967693474,0.135,1,325.7494994,0,4,2,6
3,visual,different_sds,2,4,1,12.32495044,0.135,2,41.6733407,1,4,4,8
4,visual,different_sds,2,1,1,-7.427577271,0.135,2,294.4523018,1,4,1,5
4,visual,different_sds,2,3,1,20.23663712,0.033,2,31.49882077,1,1,3,7
4,visual,different_sds,1,2,1,-4.601270383,0.033,1,36.94515043,1,1,-2,3
4,visual,different_sds,1,3,1,-2.799542458,0.05,1,270.922531,1,2,-3,2
4,visual,different_sds,2,2,1,8.841763247,0.067,2,306.4511029,1,3,2,6
4,visual,different_sds,1,3,1,1.474335236,0.067,1,258.4181369,1,3,-3,2
1,visual,different_sds,1,2,1,3.356623645,0.067,1,5.184102647,1,3,-2,3
1,visual,different_sds,1,2,1,-3.299267032,0.067,1,175.2221497,1,3,-2,3
1,visual,different_sds,1,1,1,5.457815291,0.067,1,356.555395,0,3,-1,4
1,visual,different_sds,2,1,1,-22.99510718,0.033,2,135.8101251,1,1,1,5
1,visual,different_sds,2,3,0,5.834260543,0.135,1,76.18192203,1,4,3,7
1,visual,different_sds,2,1,1,19.67063221,0.067,2,158.3928284,1,3,1,5
2,visual,different_sds,2,1,1,4.105168893,0.05,2,169.9346818,0,2,1,5
2,visual,different_sds,2,1,0,3.135972056,0.135,1,257.0932046,0,4,1,5
2,visual,different_sds,2,2,0,1.924064667,0.05,1,35.16775667,0,2,2,6
2,visual,different_sds,2,1,1,-10.59315715,0.033,2,18.32033102,1,1,1,5
2,visual,different_sds,1,1,1,-1.269551536,0.033,1,118.5943288,1,1,-1,4
2,visual,different_sds,1,1,0,1.422286041,0.033,2,222.4126564,1,1,-1,4
3,visual,different_sds,1,2,1,-0.587949752,0.033,1,188.6656305,1,1,-2,3
3,visual,different_sds,1,2,1,-1.112537172,0.135,1,107.1377753,1,4,-2,3
3,visual,different_sds,1,2,1,-1.032442646,0.05,1,81.87650292,1,2,-2,3
3,visual,different_sds,2,2,0,-0.849330263,0.05,1,281.1224065,0,2,2,6
3,visual,different_sds,1,1,1,-2.045670463,0.05,1,194.3147939,1,2,-1,4
3,visual,different_sds,1,3,1,0.848329681,0.135,1,49.73737132,1,4,-3,2
4,visual,different_sds,2,2,1,-27.63749226,0.05,2,25.41868581,1,2,2,6
4,visual,different_sds,2,4,1,9.04312623,0.067,2,100.1627376,1,3,4,8
4,visual,different_sds,2,4,1,20.47982602,0.067,2,59.19589324,1,3,4,8
4,visual,different_sds,1,1,1,-0.846230418,0.033,1,120.6665193,1,1,-1,4
4,visual,different_sds,1,1,1,-1.337440862,0.033,1,114.6622326,1,1,-1,4
4,visual,different_sds,1,2,1,1.250996444,0.05,1,131.3985975,1,2,-2,3
1,visual,different_sds,1,1,0,-5.439721377,0.033,2,352.4492393,0,1,-1,4
1,visual,different_sds,1,1,0,3.861108978,0.05,2,182.3860757,1,2,-1,4
1,visual,different_sds,1,1,1,0.12632359,0.135,1,192.9065197,1,4,-1,4
1,visual,different_sds,2,1,1,-1.003010843,0.135,2,321.8688135,0,4,1,5
1,visual,different_sds,2,2,1,5.07131245,0.135,2,196.2559486,1,4,2,6
1,visual,different_sds,1,2,0,3.212232631,0.135,2,183.9416859,1,4,-2,3
2,visual,different_sds,1,2,1,-5.360254514,0.067,1,250.0376142,0,3,-2,3
2,visual,different_sds,1,1,1,0.716791869,0.05,1,326.5905194,1,2,-1,4
