"","fitted","parameter","generating","NA","set"
"1",0.119697000195222,"bound1",0.119768587001949,"X1",1
"2",0.161059586934799,"bound1",0.192106018298169,"X1",1
"3",0.185885949023935,"bound1",0.195555296170038,"X1",1
"4",0.0487999366957192,"bound1",0.0596085586710629,"X1",1
"5",0.108263630255765,"bound1",0.155614198833772,"X1",1
"6",0.10726835983433,"bound1",0.132158142726018,"X1",1
"7",0.16598581018842,"bound1",0.151992073277588,"X1",1
"8",0.121705308156932,"bound1",0.144681384238716,"X1",1
"9",0.150257571029333,"bound1",0.155076992809294,"X1",1
"10",0.197527202760426,"bound1",0.200302509704245,"X1",1
"11",0.15963152571042,"bound1",0.161228898708217,"X1",1
"12",0.00590372094847302,"bound1",0.0749505906667988,"X1",1
"13",0.0883068712044631,"bound1",0.105004238771497,"X1",1
"14",0.0284491910307843,"bound1",0.0223295356087905,"X1",2
"15",0.0574175488493781,"bound1",0.0902750026462746,"X1",2
"16",0.166852536209934,"bound1",0.167721821105485,"X1",2
"17",0.129190269913321,"bound1",0.186585208603108,"X1",2
"18",0.0863984942666035,"bound1",0.115322416440189,"X1",2
"19",0.32796653067622,"bound1",0.240081337575783,"X1",2
"20",0.0626940517842735,"bound1",0.108742214156048,"X1",2
"21",0.183890285659833,"bound1",0.112433520807118,"X1",2
"22",-0.0596290504472427,"bound1",-0.081844023341932,"X1",2
"23",0.0131772298327922,"bound1",0.0290134169437916,"X1",2
"24",-0.0220526552014273,"bound1",-0.0441581711821977,"X1",2
"25",0.067945456361381,"bound1",0.151528400570727,"X1",2
"26",0.0560453651895223,"bound1",0.0469975291530395,"X1",2
"27",0.175883285458781,"bound1",0.137571523897079,"X1",3
"28",0.036593005662835,"bound1",0.0323292642061662,"X1",3
"29",0.172236261240862,"bound1",0.173392650346815,"X1",3
"30",0.0834648718492995,"bound1",0.118181510549521,"X1",3
"31",0.222562911041542,"bound1",0.219592890596749,"X1",3
"32",0.322813912490422,"bound1",0.178587688139033,"X1",3
"33",0.169484141037503,"bound1",0.154157258146693,"X1",3
"34",0.0458770035523992,"bound1",0.0909648289111943,"X1",3
"35",0.1326235545273,"bound1",0.126835165459363,"X1",3
"36",0.0272362688804714,"bound1",0.081084094763918,"X1",3
"37",0.0528493823171321,"bound1",0.106027814218438,"X1",3
"38",0.081476598504486,"bound1",0.0735878520663278,"X1",3
"39",0.135522177911071,"bound1",0.14767857517942,"X1",3
"40",0.196113950068085,"bound1",0.157846139578808,"X1",4
"41",-0.308186113704819,"bound2",-0.268894702257673,"X2",4
"42",-0.23862942740878,"bound2",-0.268025837560293,"X2",4
"43",-0.235173765279959,"bound2",-0.252811528791394,"X2",4
"44",-0.048228587042364,"bound2",-0.0761657133346042,"X2",4
"45",-0.0622582278215254,"bound2",-0.0785504300177969,"X2",4
"46",-0.291887547160327,"bound2",-0.318742444554616,"X2",4
"47",-0.0743082518805429,"bound2",-0.0757797030151766,"X2",4
"48",-0.382721731321909,"bound2",-0.322946578764704,"X2",4
"49",-0.0209265930902617,"bound2",-0.0195623987669095,"X2",4
"50",-0.334020746513775,"bound2",-0.293427373695084,"X2",4
"51",-0.114522260984063,"bound2",-0.0816602488222144,"X2",4
"52",-0.00303698326886781,"bound2",-0.045165200726624,"X2",4
"53",-0.296866121314801,"bound2",-0.36511148764615,"X2",5
"54",-0.141937663427806,"bound2",-0.188243015935021,"X2",5
"55",-0.245696122641652,"bound2",-0.353763113618774,"X2",5
"56",-0.197763606850159,"bound2",-0.246820210110502,"X2",5
"57",-0.0745641680453914,"bound2",-0.0792179166676579,"X2",5
"58",-0.217318910593369,"bound2",-0.25060644746688,"X2",5
"59",-0.403394383568482,"bound2",-0.341904341530839,"X2",5
"60",-0.171986339998936,"bound2",-0.198435989497235,"X2",5
"61",-0.789257513519304,"bound2",-0.518033351854698,"X2",5
"62",-0.264587591089439,"bound2",-0.198068932392681,"X2",5
"63",-0.0817005930997131,"bound2",-0.235626984138254,"X2",5
"64",-0.0344009414663689,"bound2",-0.0902632901565728,"X2",5
"65",-0.143579936475817,"bound2",-0.278810004306415,"X2",5
"66",-0.210435718872363,"bound2",-0.156737660366011,"X2",6
"67",-0.0413239066271175,"bound2",-0.0287134512070449,"X2",6
"68",-0.0782606414872186,"bound2",-0.0764021100135041,"X2",6
"69",-0.259832102006533,"bound2",-0.323428097022111,"X2",6
"70",-0.158924701300759,"bound2",-0.160572143670186,"X2",6
"71",-0.181816197365727,"bound2",-0.199758714813136,"X2",6
"72",-0.159886235209047,"bound2",-0.0909681201699967,"X2",6
"73",-0.305655326832115,"bound2",-0.269276732452231,"X2",6
"74",-0.0600289053593802,"bound2",-0.102384599850889,"X2",6
"75",-0.00857945633644186,"bound2",-0.00782465630325115,"X2",6
"76",-0.0662063407711365,"bound2",-0.136081217328468,"X2",6
"77",-0.0484108452223829,"bound2",-0.057982324571686,"X2",6
"78",-0.471351784392781,"bound2",-0.38140854492876,"X2",6
"79",-0.0598226139549249,"bound2",-0.0661733261466981,"X2",7
"80",-0.527967271168847,"bound2",-0.404807816921937,"X2",7
"81",-0.23416928658188,"bound3",-0.287435917048921,"X3",7
"82",-0.640678363980387,"bound3",-0.679805196128315,"X3",7
"83",-5.00100423667069e-06,"bound3",-0.00091988195419021,"X3",7
"84",-0.207025771753045,"bound3",-0.217972682653595,"X3",7
"85",-0.328268888346298,"bound3",-0.442426387759338,"X3",7
"86",-0.098664125695523,"bound3",-0.174009404223614,"X3",7
"87",-0.409772095715227,"bound3",-0.455684500174448,"X3",7
"88",-0.145172672513589,"bound3",-0.11318529063572,"X3",7
"89",-0.0878771776989518,"bound3",-0.0706240644310228,"X3",7
"90",-0.162399873004761,"bound3",-0.182857708822077,"X3",7
"91",-0.466316710008538,"bound3",-0.352750234305044,"X3",7
"92",-0.0189264396922614,"bound3",-0.0981609078920946,"X3",8
"93",-0.229179970357367,"bound3",-0.35038373019031,"X3",8
"94",-0.154724470426897,"bound3",-0.255972093134643,"X3",8
"95",-0.257197182401528,"bound3",-0.38808011787373,"X3",8
"96",-0.785852286573136,"bound3",-0.848998367782808,"X3",8
"97",-0.367355014065502,"bound3",-0.306426560346219,"X3",8
"98",-0.327852590556868,"bound3",-0.373742637019004,"X3",8
"99",-0.311366292382086,"bound3",-0.234297045390176,"X3",8
"100",-0.250069514176208,"bound3",-0.315698724500799,"X3",8
"101",-0.519371493994103,"bound3",-0.305446041630334,"X3",8
"102",-0.695290091533214,"bound3",-0.56340485776218,"X3",8
"103",-0.105731639231134,"bound3",-0.3394221907012,"X3",8
"104",-0.0586657121524072,"bound3",-0.149555844902721,"X3",8
"105",-0.361089195692389,"bound3",-0.626449178875064,"X3",9
"106",-0.331627171079736,"bound3",-0.267097280171611,"X3",9
"107",-0.437895959926176,"bound3",-0.345260512168414,"X3",9
"108",-0.48422425744543,"bound3",-0.432422894636044,"X3",9
"109",-0.0273890335944105,"bound3",-0.014070406106692,"X3",9
"110",-0.310763279531434,"bound3",-0.3483534978157,"X3",9
"111",-0.196989182869072,"bound3",-0.162329117779163,"X3",9
"112",-1.08051600213407,"bound3",-0.738370792400951,"X3",9
"113",-0.450660542304195,"bound3",-0.469524542711578,"X3",9
"114",-0.32555192298253,"bound3",-0.475339327572363,"X3",9
"115",-0.233080754115093,"bound3",-0.219604694034215,"X3",9
"116",-0.05423587672893,"bound3",-0.0904545548906178,"X3",9
"117",-0.100282958764296,"bound3",-0.139254579456933,"X3",9
"118",-0.467452649840878,"bound3",-0.351100887780275,"X3",10
"119",-0.108614219119616,"bound3",-0.119595215853016,"X3",10
"120",-0.246152469297369,"bound3",-0.194391223674892,"X3",10
"121",-1.12762050897776,"bound4",-0.780069881299321,"X4",10
"122",-0.554287270626546,"bound4",-0.866239075796251,"X4",10
"123",-0.52339728866836,"bound4",-0.479994669443333,"X4",10
"124",-0.578942897949929,"bound4",-0.771302288286437,"X4",10
"125",-0.444630708512402,"bound4",-0.653758389992097,"X4",10
"126",-0.174736751123402,"bound4",-0.298025421883131,"X4",10
"127",-1.28760065262896,"bound4",-0.882916776223942,"X4",10
"128",-0.569847912065039,"bound4",-0.499013855026058,"X4",10
"129",-0.478344389313214,"bound4",-0.519241686844525,"X4",10
"130",-0.146515599878129,"bound4",-0.140704959832333,"X4",10
"131",-0.468762945543001,"bound4",-0.466838592971923,"X4",11
"132",-0.0779753463597791,"bound4",-0.370645937246496,"X4",11
"133",-0.620392340979737,"bound4",-0.593510458822824,"X4",11
"134",-0.13341088599519,"bound4",-0.184897669742467,"X4",11
"135",-0.372239667835137,"bound4",-0.545083708536066,"X4",11
"136",-0.349273369642552,"bound4",-0.710604007268604,"X4",11
"137",-0.869278534262123,"bound4",-0.857290563107991,"X4",11
"138",-0.325047524877751,"bound4",-0.534601969166696,"X4",11
"139",-0.863634693044331,"bound4",-0.687474028228442,"X4",11
"140",-0.37208355050997,"bound4",-0.559180210720019,"X4",11
"141",-0.412359232034731,"bound4",-0.339633119539275,"X4",11
"142",-0.65694703809396,"bound4",-0.69048641386587,"X4",11
"143",-0.213972793232244,"bound4",-0.489908061153382,"X4",11
"144",-0.283187486686289,"bound4",-0.727955846576037,"X4",12
"145",-0.399896357774436,"bound4",-0.570181309312733,"X4",12
"146",-0.391068559532917,"bound4",-0.557084738603709,"X4",12
"147",-0.744072777141173,"bound4",-0.766702461011751,"X4",12
"148",-0.588070277936747,"bound4",-0.70732252394061,"X4",12
"149",-0.774455408949952,"bound4",-0.732340461188152,"X4",12
"150",-0.820662931783654,"bound4",-0.703685807121337,"X4",12
"151",-0.303525437402801,"bound4",-0.306368050207866,"X4",12
"152",-0.155839985264717,"bound4",-0.180887845343048,"X4",12
"153",-0.736287860111076,"bound4",-0.506004740698111,"X4",12
"154",-0.361676305342668,"bound4",-0.723931466614771,"X4",12
"155",-0.646678170872046,"bound4",-0.53967716548803,"X4",12
"156",-0.303657553103299,"bound4",-0.619535728971929,"X4",12
"157",-0.449023711130428,"bound4",-0.77109446410708,"X4",13
"158",-1.11626591153001,"bound4",-0.73904142633628,"X4",13
"159",-0.642323853601692,"bound4",-0.615741728393313,"X4",13
"160",-1.02096630482569,"bound4",-0.643392146081606,"X4",13
"161",-1.72408111750736,"bound5",-1.01597986317929,"X5",13
"162",-0.83881701923323,"bound5",-0.614728341281929,"X5",13
"163",-1.1999683911413,"bound5",-0.929305853997796,"X5",13
"164",-1.62647766612959,"bound5",-1.48550204591258,"X5",13
"165",-0.516968278086696,"bound5",-0.716434731777055,"X5",13
"166",-0.676049790529114,"bound5",-1.03001680115216,"X5",13
"167",-0.776982190656954,"bound5",-1.10038400469358,"X5",13
"168",-0.728417924007691,"bound5",-0.799474409356155,"X5",13
"169",-0.828858598056642,"bound5",-0.939819045319087,"X5",13
"170",-1.19201590310117,"bound5",-1.23032451530972,"X5",14
"171",-1.62353118138513,"bound5",-1.46932783202305,"X5",14
"172",-0.266353694986974,"bound5",-1.24791438012045,"X5",14
"173",-0.596968293291407,"bound5",-1.19834764190763,"X5",14
"174",-0.9940730778464,"bound5",-1.00937948441098,"X5",14
"175",-1.23959455038272,"bound5",-0.813888356396291,"X5",14
"176",-0.484297169981493,"bound5",-0.966777754971898,"X5",14
"177",-1.5653837958229,"bound5",-0.798861470468111,"X5",14
"178",-2.27067556229956,"bound5",-0.978530934847036,"X5",14
"179",-1.10037810162137,"bound5",-0.88507403337994,"X5",14
"180",-0.413550292977567,"bound5",-0.798743137242979,"X5",14
"181",-1.00982352379475,"bound5",-0.890234222873329,"X5",14
"182",-0.877874120924303,"bound5",-0.941656277554373,"X5",14
"183",-0.349437096657178,"bound5",-0.912902757560328,"X5",15
"184",-0.436680941649578,"bound5",-0.86477257338445,"X5",15
"185",-0.713917933893638,"bound5",-1.50286895343345,"X5",15
"186",-1.23786238732968,"bound5",-0.689997279142007,"X5",15
"187",-1.38571733465085,"bound5",-0.947145425650406,"X5",15
"188",-0.659203410786986,"bound5",-1.1144845545147,"X5",15
"189",-1.03870427219918,"bound5",-1.02231002845109,"X5",15
"190",-0.697896673339666,"bound5",-0.714148176747394,"X5",15
