"","fitted","parameter","generating","NA","set"
"1",-0.0514822231497731,"bound1",-0.0473862539603538,"X1",1
"2",0.0418155894284105,"bound1",0.0400961987223153,"X1",1
"3",0.0762572807719173,"bound1",0.0774532966039743,"X1",1
"4",0.0730982583093674,"bound1",0.0784555965555584,"X1",1
"5",0.12952246004296,"bound1",0.113780708063538,"X1",1
"6",0.0879049315391192,"bound1",0.0796317831655213,"X1",1
"7",-0.00242238129731056,"bound1",0.00839598186999879,"X1",1
"8",-0.00316968108271716,"bound1",0.0141669205920018,"X1",1
"9",0.0584954808970769,"bound1",0.0593708482331509,"X1",1
"10",-0.0131656135158773,"bound1",-0.0143815184534761,"X1",1
"11",0.116887779899815,"bound1",0.11916029408519,"X1",1
"12",-0.0186673218583945,"bound1",-0.0179778096340767,"X1",2
"13",0.0683246138745461,"bound1",0.0736813452584755,"X1",2
"14",0.0401873293605385,"bound1",0.0385794016687474,"X1",2
"15",0.0627036432344892,"bound1",0.0726119626703734,"X1",2
"16",0.0941296483562148,"bound1",0.0895715451481112,"X1",2
"17",0.0199251250789537,"bound1",0.0219027317303595,"X1",2
"18",0.0494460574972124,"bound1",0.0433409430924404,"X1",2
"19",0.0639397204992614,"bound1",0.0719561512397302,"X1",2
"20",0.0641370422007385,"bound1",0.0710882652000097,"X1",2
"21",0.0816824097588603,"bound1",0.0760726093946651,"X1",2
"22",0.0942669329490651,"bound1",0.106333125028657,"X1",2
"23",0.101169632055126,"bound1",0.0972039248952445,"X1",3
"24",0.0411252481042405,"bound1",0.033143800508436,"X1",3
"25",0.0980722517225016,"bound1",0.107987914690883,"X1",3
"26",0.00691908737754017,"bound1",0.017776469010066,"X1",3
"27",0.123426561842807,"bound1",0.113862124062262,"X1",3
"28",0.0491125951559497,"bound1",0.0429326221596735,"X1",3
"29",0.0213346630048835,"bound1",0.0248514754796714,"X1",3
"30",0.00274045324910262,"bound1",0.00945332335403792,"X1",3
"31",0.117139585880695,"bound1",0.0978151355065261,"X1",3
"32",0.0883697995974252,"bound1",0.0920545364090426,"X1",3
"33",0.0956193835961656,"bound1",0.109421278784292,"X1",3
