"","fitted","parameter","generating","NA","set"
"1",0.0672314639809607,"bound1",0.119768587001949,"X1",1
"2",0.433955639442437,"bound1",0.192106018298169,"X1",1
"3",0.213184845845411,"bound1",0.195555296170038,"X1",1
"4",0.0292498498579339,"bound1",0.0596085586710629,"X1",1
"5",0.169089165825884,"bound1",0.155614198833772,"X1",1
"6",0.195391255317375,"bound1",0.132158142726018,"X1",1
"7",0.155366816369122,"bound1",0.151992073277588,"X1",1
"8",0.144028493612463,"bound1",0.144681384238716,"X1",1
"9",0.16736686628805,"bound1",0.155076992809294,"X1",1
"10",0.227045647754222,"bound1",0.200302509704245,"X1",1
"11",0.196513919163143,"bound1",0.161228898708217,"X1",1
"12",0.0442288422848624,"bound1",0.0749505906667988,"X1",1
"13",0.0545118330189346,"bound1",0.105004238771497,"X1",1
"14",0.0424419629731222,"bound1",0.0223295356087905,"X1",2
"15",0.104364927211881,"bound1",0.0902750026462746,"X1",2
"16",0.165900969098145,"bound1",0.167721821105485,"X1",2
"17",0.210073943602123,"bound1",0.186585208603108,"X1",2
"18",0.133087544050807,"bound1",0.115322416440189,"X1",2
"19",0.285555899084689,"bound1",0.240081337575783,"X1",2
"20",0.0712627478876621,"bound1",0.108742214156048,"X1",2
"21",0.118575100036202,"bound1",0.112433520807118,"X1",2
"22",-0.0766364022260804,"bound1",-0.081844023341932,"X1",2
"23",0.0336508090816516,"bound1",0.0290134169437916,"X1",2
"24",-0.0809791397977842,"bound1",-0.0441581711821977,"X1",2
"25",0.138066941721224,"bound1",0.151528400570727,"X1",2
"26",0.0765834747294342,"bound1",0.0469975291530395,"X1",2
"27",0.0759174976858397,"bound1",0.137571523897079,"X1",3
"28",0.0166464687456798,"bound1",0.0323292642061662,"X1",3
"29",0.174466374532934,"bound1",0.173392650346815,"X1",3
"30",0.113502384465586,"bound1",0.118181510549521,"X1",3
"31",0.199331444668592,"bound1",0.219592890596749,"X1",3
"32",0.164576257339279,"bound1",0.178587688139033,"X1",3
"33",0.17138592357071,"bound1",0.154157258146693,"X1",3
"34",0.110776803361802,"bound1",0.0909648289111943,"X1",3
"35",0.0497001113371621,"bound1",0.126835165459363,"X1",3
"36",0.085249318226764,"bound1",0.081084094763918,"X1",3
"37",0.145905961496541,"bound1",0.106027814218438,"X1",3
"38",0.133683016015162,"bound1",0.0735878520663278,"X1",3
"39",0.172017174272272,"bound1",0.14767857517942,"X1",3
"40",0.108842634404493,"bound1",0.157846139578808,"X1",4
"41",-0.157046028509704,"bound2",-0.268894702257673,"X2",4
"42",-0.467080026053848,"bound2",-0.268025837560293,"X2",4
"43",-0.269627288909181,"bound2",-0.252811528791394,"X2",4
"44",-0.0507438851851933,"bound2",-0.0761657133346042,"X2",4
"45",-0.0765823224900211,"bound2",-0.0785504300177969,"X2",4
"46",-0.348872428705905,"bound2",-0.318742444554616,"X2",4
"47",-0.0561969460700826,"bound2",-0.0757797030151766,"X2",4
"48",-0.359860335922049,"bound2",-0.322946578764704,"X2",4
"49",-0.020913423249175,"bound2",-0.0195623987669095,"X2",4
"50",-0.264132080734508,"bound2",-0.293427373695084,"X2",4
"51",-0.104799334697169,"bound2",-0.0816602488222144,"X2",4
"52",-0.0234386620123196,"bound2",-0.045165200726624,"X2",4
"53",-0.204043397810488,"bound2",-0.36511148764615,"X2",5
"54",-0.236719146937155,"bound2",-0.188243015935021,"X2",5
"55",-0.471990659153652,"bound2",-0.353763113618774,"X2",5
"56",-0.273603208161135,"bound2",-0.246820210110502,"X2",5
"57",-0.0668900327024173,"bound2",-0.0792179166676579,"X2",5
"58",-0.300542142407985,"bound2",-0.25060644746688,"X2",5
"59",-0.394216200261518,"bound2",-0.341904341530839,"X2",5
"60",-0.136705760745126,"bound2",-0.198435989497235,"X2",5
"61",-0.634529683299134,"bound2",-0.518033351854698,"X2",5
"62",-0.131487073439218,"bound2",-0.198068932392681,"X2",5
"63",-0.25821024148378,"bound2",-0.235626984138254,"X2",5
"64",-0.106318722438671,"bound2",-0.0902632901565728,"X2",5
"65",-0.275003577611256,"bound2",-0.278810004306415,"X2",5
"66",-0.233502997212271,"bound2",-0.156737660366011,"X2",6
"67",-0.0186219480840934,"bound2",-0.0287134512070449,"X2",6
"68",-0.0464907401236127,"bound2",-0.0764021100135041,"X2",6
"69",-0.324884108230574,"bound2",-0.323428097022111,"X2",6
"70",-0.181734631381723,"bound2",-0.160572143670186,"X2",6
"71",-0.216176844989524,"bound2",-0.199758714813136,"X2",6
"72",-0.0797388338310439,"bound2",-0.0909681201699967,"X2",6
"73",-0.305571335060513,"bound2",-0.269276732452231,"X2",6
"74",-0.134749876994274,"bound2",-0.102384599850889,"X2",6
"75",-0.00392799812129239,"bound2",-0.00782465630325115,"X2",6
"76",-0.160006111528384,"bound2",-0.136081217328468,"X2",6
"77",-0.0819358479648871,"bound2",-0.057982324571686,"X2",6
"78",-0.535224811663975,"bound2",-0.38140854492876,"X2",6
"79",-0.0670174253782009,"bound2",-0.0661733261466981,"X2",7
"80",-0.302491429267869,"bound2",-0.404807816921937,"X2",7
"81",-0.211879396243123,"bound3",-0.287435917048921,"X3",7
"82",-0.960049812233965,"bound3",-0.679805196128315,"X3",7
"83",-5.00144629509628e-06,"bound3",-0.00091988195419021,"X3",7
"84",-0.14684525651933,"bound3",-0.217972682653595,"X3",7
"85",-0.469942430139836,"bound3",-0.442426387759338,"X3",7
"86",-0.219995278926418,"bound3",-0.174009404223614,"X3",7
"87",-0.444068536553499,"bound3",-0.455684500174448,"X3",7
"88",-0.130632625389861,"bound3",-0.11318529063572,"X3",7
"89",-0.0837160441070013,"bound3",-0.0706240644310228,"X3",7
"90",-0.174987559332076,"bound3",-0.182857708822077,"X3",7
"91",-0.461506979128293,"bound3",-0.352750234305044,"X3",7
"92",-0.0551942753060271,"bound3",-0.0981609078920946,"X3",8
"93",-0.19923106701215,"bound3",-0.35038373019031,"X3",8
"94",-0.254773899820528,"bound3",-0.255972093134643,"X3",8
"95",-0.455662416465978,"bound3",-0.38808011787373,"X3",8
"96",-0.896104328573834,"bound3",-0.848998367782808,"X3",8
"97",-0.285448051412331,"bound3",-0.306426560346219,"X3",8
"98",-0.433938297463923,"bound3",-0.373742637019004,"X3",8
"99",-0.204533058612292,"bound3",-0.234297045390176,"X3",8
"100",-0.267713516869543,"bound3",-0.315698724500799,"X3",8
"101",-0.287234778248414,"bound3",-0.305446041630334,"X3",8
"102",-0.361426755444763,"bound3",-0.56340485776218,"X3",8
"103",-0.459970157496882,"bound3",-0.3394221907012,"X3",8
"104",-0.206509671422454,"bound3",-0.149555844902721,"X3",8
"105",-0.521846928183915,"bound3",-0.626449178875064,"X3",9
"106",-0.350388788429471,"bound3",-0.267097280171611,"X3",9
"107",-0.17431739712791,"bound3",-0.345260512168414,"X3",9
"108",-0.256912367182814,"bound3",-0.432422894636044,"X3",9
"109",-0.00910499085426533,"bound3",-0.014070406106692,"X3",9
"110",-0.3261079141745,"bound3",-0.3483534978157,"X3",9
"111",-0.117080710211515,"bound3",-0.162329117779163,"X3",9
"112",-0.739081124928337,"bound3",-0.738370792400951,"X3",9
"113",-0.556799969561189,"bound3",-0.469524542711578,"X3",9
"114",-0.537938827114968,"bound3",-0.475339327572363,"X3",9
"115",-0.0876896011641864,"bound3",-0.219604694034215,"X3",9
"116",-0.0845826343723594,"bound3",-0.0904545548906178,"X3",9
"117",-0.203271359543722,"bound3",-0.139254579456933,"X3",9
"118",-0.544335021701294,"bound3",-0.351100887780275,"X3",10
"119",-0.120930481805004,"bound3",-0.119595215853016,"X3",10
"120",-0.185130493752216,"bound3",-0.194391223674892,"X3",10
