"","fitted","parameter","generating","NA","set"
"1",-0.914581304773458,"bound1",-1.02012914608073,"X1",1
"2",-0.63229072036236,"bound1",-0.773205941262187,"X1",1
"3",-1.00301948100376,"bound1",-1.15024251454689,"X1",1
"4",-1.94244311994614,"bound1",-1.960338466781,"X1",1
"5",-0.64151736584555,"bound1",-0.80117878399061,"X1",1
"6",-4.57433546820665,"bound1",-3.37010149849195,"X1",1
"7",-0.812530445274304,"bound1",-0.791504711216314,"X1",1
"8",-0.483147863666284,"bound1",-0.446032933758225,"X1",1
"9",-1.39704534473216,"bound1",-1.5375400339557,"X1",1
"10",0.0037220358041442,"bound1",-0.0754755939026985,"X1",1
"11",-1.47158123498076,"bound1",-1.62256541503877,"X1",1
"12",-1.11022903395627,"bound1",-1.46228670349514,"X1",1
"13",-0.704855606543318,"bound1",-0.492146253650259,"X1",2
"14",-0.88280079729521,"bound1",-0.623885438189447,"X1",2
"15",-0.958017760427944,"bound1",-0.618607242309508,"X1",2
"16",-2.19225278068886,"bound1",-2.55931912590853,"X1",2
"17",-0.76348034269356,"bound1",-0.915857771092944,"X1",2
"18",-3.18460913165083,"bound1",-1.82771637918708,"X1",2
"19",-1.41677574873381,"bound1",-1.38778334381459,"X1",2
"20",-3.38244049725126,"bound1",-2.68195180670969,"X1",2
"21",-0.22611615678155,"bound1",-0.211764517277513,"X1",2
"22",-0.837145296130789,"bound1",-0.484401015813748,"X1",2
"23",-2.51700498187687,"bound1",-1.50850512708982,"X1",2
"24",0.0154547071163156,"bound1",-0.00359439210025259,"X1",2
"25",-0.933141043437664,"bound2",-0.858037730788841,"X2",3
"26",-1.18572855357347,"bound2",-1.03009669522936,"X2",3
"27",-0.571553196616701,"bound2",-0.462119196595059,"X2",3
"28",-0.125411752837949,"bound2",-0.154879749417092,"X2",3
"29",-0.717765821005568,"bound2",-0.725719495087374,"X2",3
"30",-2.98949902147745,"bound2",-2.14984991637188,"X2",3
"31",-0.32413697253963,"bound2",-0.382155024896042,"X2",3
"32",-1.40551793309686,"bound2",-1.46774533611189,"X2",3
"33",-0.250340483890706,"bound2",-0.119916890441415,"X2",3
"34",-1.94397195753913,"bound2",-1.711961564919,"X2",3
"35",-0.0943565980468418,"bound2",-0.177885147028402,"X2",3
"36",-0.62828324654489,"bound2",-0.696765839340619,"X2",3
"37",-1.83862681345387,"bound2",-1.97670389382909,"X2",4
"38",-0.356820856068854,"bound2",-0.236099552743513,"X2",4
"39",-0.286124544242281,"bound2",-0.386665010100638,"X2",4
"40",-0.205311576056991,"bound2",-0.103336383790542,"X2",4
"41",-0.709021375744314,"bound2",-0.487678733050624,"X2",4
"42",-1.08359569955999,"bound2",-0.556363134800367,"X2",4
"43",-2.33029518428635,"bound2",-2.16287290813212,"X2",4
"44",-0.203656870316817,"bound2",-0.235639802430043,"X2",4
"45",-1.65671140541071,"bound2",-2.04234350165865,"X2",4
"46",-1.17764769215609,"bound2",-0.752346259324692,"X2",4
"47",-1.06581098487626,"bound2",-0.694795715172762,"X2",4
"48",-0.208496283408821,"bound2",-0.195028667727518,"X2",4
"49",-2.01371400947783,"bound3",-1.93263367006014,"X3",5
"50",-0.213435628021016,"bound3",-0.172945026762889,"X3",5
"51",-1.01867568032194,"bound3",-1.12618635360457,"X3",5
"52",-1.24646974943787,"bound3",-0.950426157967567,"X3",5
"53",-1.58552672258086,"bound3",-1.61076511073951,"X3",5
"54",-1.64419930774677,"bound3",-1.09761638821348,"X3",5
"55",-0.0812894905163947,"bound3",-0.223322195197593,"X3",5
"56",-0.386741099412993,"bound3",-0.25531051050049,"X3",5
"57",-2.36270172545142,"bound3",-2.33210500861357,"X3",5
"58",-6.6611719359165e-09,"bound3",-0.0241564280684452,"X3",5
"59",-0.026815746371461,"bound3",-0.0153385700671741,"X3",5
"60",-4.72797146746846e-08,"bound3",-0.0168086958456374,"X3",5
"61",-1.680503245702,"bound3",-1.35817716399324,"X3",6
"62",-0.787379852386151,"bound3",-0.627198880941408,"X3",6
"63",-2.09365379240427,"bound3",-1.48666030463906,"X3",6
