"","fitted","parameter","generating","NA","set"
"1",-1.00088538154152,"bound1",-1.02012914608073,"X1",1
"2",-0.746298748659353,"bound1",-0.773205941262187,"X1",1
"3",-1.21277080831645,"bound1",-1.15024251454689,"X1",1
"4",-1.67929324216436,"bound1",-1.960338466781,"X1",1
"5",-0.826856564298424,"bound1",-0.80117878399061,"X1",1
"6",-3.1604146233971,"bound1",-3.37010149849195,"X1",1
"7",-0.789472251318291,"bound1",-0.791504711216314,"X1",1
"8",-0.43305805059123,"bound1",-0.446032933758225,"X1",1
"9",-1.48886176141912,"bound1",-1.5375400339557,"X1",1
"10",-0.0536780368553752,"bound1",-0.0754755939026985,"X1",1
"11",-1.62777875829617,"bound1",-1.62256541503877,"X1",1
"12",-1.12036187502046,"bound1",-1.46228670349514,"X1",1
"13",-0.496510460873579,"bound1",-0.492146253650259,"X1",2
"14",-0.600233490480891,"bound1",-0.623885438189447,"X1",2
"15",-0.669537987520787,"bound1",-0.618607242309508,"X1",2
"16",-2.87363546904136,"bound1",-2.55931912590853,"X1",2
"17",-0.900599585367863,"bound1",-0.915857771092944,"X1",2
"18",-1.8665346497702,"bound1",-1.82771637918708,"X1",2
"19",-1.19958470723024,"bound1",-1.38778334381459,"X1",2
"20",-2.97060854337551,"bound1",-2.68195180670969,"X1",2
"21",-0.227864020771518,"bound1",-0.211764517277513,"X1",2
"22",-0.478964083075313,"bound1",-0.484401015813748,"X1",2
"23",-1.64589063105434,"bound1",-1.50850512708982,"X1",2
"24",-0.00507442651264089,"bound1",-0.00359439210025259,"X1",2
"25",-0.830073042793012,"bound2",-0.858037730788841,"X2",3
"26",-0.972955296693507,"bound2",-1.03009669522936,"X2",3
"27",-0.453113464090726,"bound2",-0.462119196595059,"X2",3
"28",-0.128713722441753,"bound2",-0.154879749417092,"X2",3
"29",-0.732787827281562,"bound2",-0.725719495087374,"X2",3
"30",-1.96194778552811,"bound2",-2.14984991637188,"X2",3
"31",-0.415620228121483,"bound2",-0.382155024896042,"X2",3
"32",-1.37019869274816,"bound2",-1.46774533611189,"X2",3
"33",-0.113130839506613,"bound2",-0.119916890441415,"X2",3
"34",-1.69741323457025,"bound2",-1.711961564919,"X2",3
"35",-0.167782941445335,"bound2",-0.177885147028402,"X2",3
"36",-0.604425783772707,"bound2",-0.696765839340619,"X2",3
"37",-1.97222614144528,"bound2",-1.97670389382909,"X2",4
"38",-0.246427232676829,"bound2",-0.236099552743513,"X2",4
"39",-0.41695337829123,"bound2",-0.386665010100638,"X2",4
"40",-0.1428561908548,"bound2",-0.103336383790542,"X2",4
"41",-0.472431495321123,"bound2",-0.487678733050624,"X2",4
"42",-0.587750975578789,"bound2",-0.556363134800367,"X2",4
"43",-1.99941552381064,"bound2",-2.16287290813212,"X2",4
"44",-0.230431771208459,"bound2",-0.235639802430043,"X2",4
"45",-2.08163062895782,"bound2",-2.04234350165865,"X2",4
"46",-0.744349821454808,"bound2",-0.752346259324692,"X2",4
"47",-0.759121272074054,"bound2",-0.694795715172762,"X2",4
"48",-0.196854552619716,"bound2",-0.195028667727518,"X2",4
"49",-2.08817664331021,"bound3",-1.93263367006014,"X3",5
"50",-0.171498968518183,"bound3",-0.172945026762889,"X3",5
"51",-1.1731494972734,"bound3",-1.12618635360457,"X3",5
"52",-0.779098253735553,"bound3",-0.950426157967567,"X3",5
"53",-1.69317631935366,"bound3",-1.61076511073951,"X3",5
"54",-1.11094325856696,"bound3",-1.09761638821348,"X3",5
"55",-0.183924357597285,"bound3",-0.223322195197593,"X3",5
"56",-0.244385461784936,"bound3",-0.25531051050049,"X3",5
"57",-2.56215274467137,"bound3",-2.33210500861357,"X3",5
"58",-0.0167107847043995,"bound3",-0.0241564280684452,"X3",5
"59",-0.0194976358681609,"bound3",-0.0153385700671741,"X3",5
"60",-0.0121272055493284,"bound3",-0.0168086958456374,"X3",5
"61",-1.40689192551048,"bound3",-1.35817716399324,"X3",6
"62",-0.635899868161966,"bound3",-0.627198880941408,"X3",6
"63",-1.45969751381014,"bound3",-1.48666030463906,"X3",6
"64",-0.925298804320086,"bound3",-0.838109725988874,"X3",6
"65",-0.19196325878809,"bound3",-0.214217708715778,"X3",6
"66",-0.812918416085487,"bound3",-0.807757822355184,"X3",6
"67",-0.00313758512277041,"bound3",-0.00298719704073198,"X3",6
"68",-1.66415614102391,"bound3",-1.71769916055841,"X3",6
"69",-0.326900918508665,"bound3",-0.31169449185981,"X3",6
"70",-0.687513139430739,"bound3",-0.715390713924865,"X3",6
"71",-0.182674053754743,"bound3",-0.201702538730005,"X3",6
"72",-0.50570981636211,"bound3",-0.502060283673314,"X3",6
"73",-0.837397035219475,"bound4",-0.872023799868821,"X4",7
"74",-0.0708236573429708,"bound4",-0.0751739811763472,"X4",7
"75",-1.33631139894439,"bound4",-1.43285648182209,"X4",7
"76",-0.960911107025114,"bound4",-1.10026364486191,"X4",7
"77",-0.248845740380442,"bound4",-0.186393139616906,"X4",7
"78",-1.70668869450705,"bound4",-1.87437091008097,"X4",7
"79",-0.123350848010487,"bound4",-0.124144939567902,"X4",7
"80",-1.03945206152239,"bound4",-1.05963282661604,"X4",7
"81",-1.2314557724031,"bound4",-1.36368036379603,"X4",7
"82",-0.200460990148704,"bound4",-0.18202928729469,"X4",7
"83",-0.612584508916275,"bound4",-0.636903135972418,"X4",7
"84",-1.65396785019794,"bound4",-1.82748781051431,"X4",7
"85",-0.0042616870907758,"bound4",-0.0130801354378695,"X4",8
"86",-1.02554103490506,"bound4",-1.04134545702085,"X4",8
"87",-0.644110215128669,"bound4",-0.58572976091128,"X4",8
"88",-0.258629280928655,"bound4",-0.240449064684782,"X4",8
"89",-1.8232777237409,"bound4",-1.84019208897491,"X4",8
"90",-0.419521259172416,"bound4",-0.388931296670168,"X4",8
"91",-1.23861485089211,"bound4",-1.26332368236608,"X4",8
"92",-0.795547807937935,"bound4",-0.731419501102482,"X4",8
"93",-0.737213224373689,"bound4",-0.879151781436538,"X4",8
"94",-0.629474026661603,"bound4",-0.680456842934595,"X4",8
"95",-0.286605208933757,"bound4",-0.257755531979805,"X4",8
"96",-1.11710949973043,"bound4",-1.08730355538069,"X4",8
"97",-1.24708210303623,"bound5",-1.11211813648534,"X5",9
"98",-2.19992337332043,"bound5",-2.34376346982519,"X5",9
"99",-1.07704865236565,"bound5",-1.07280271756373,"X5",9
"100",-0.611015772104372,"bound5",-0.579959447977972,"X5",9
"101",-0.103400116226392,"bound5",-0.111871051074156,"X5",9
"102",-2.26843518228432,"bound5",-2.39770461357204,"X5",9
"103",-0.107137654792617,"bound5",-0.0966913495317391,"X5",9
"104",-2.29036807995957,"bound5",-2.47834496790132,"X5",9
"105",-0.708395177679971,"bound5",-0.606896799543282,"X5",9
"106",-2.07195213374623,"bound5",-2.09159667373799,"X5",9
"107",-1.31022094746703,"bound5",-1.32483480847037,"X5",9
"108",-0.357363628075418,"bound5",-0.470614390417622,"X5",9
"109",-1.20953085604752,"bound5",-1.29244541936561,"X5",10
"110",-0.383947299575959,"bound5",-0.370266237675279,"X5",10
"111",-1.13390576613747,"bound5",-1.08845356356714,"X5",10
"112",-2.08448103391653,"bound5",-2.13713059229245,"X5",10
"113",-2.84033450952562,"bound5",-2.82850374382919,"X5",10
"114",-0.686718930444343,"bound5",-0.66725642964386,"X5",10
"115",-0.913941523882564,"bound5",-0.949875001181658,"X5",10
"116",-0.560838779368589,"bound5",-0.498308697756011,"X5",10
"117",-0.895307729201575,"bound5",-0.788080700476329,"X5",10
"118",-0.320445117655286,"bound5",-0.370777167517837,"X5",10
"119",-1.70507624458937,"bound5",-1.48247481063695,"X5",10
"120",-1.17879302295481,"bound5",-1.15402056354063,"X5",10
"121",-1.65620970445686,"bound6",-1.56186978017644,"X6",11
"122",-0.621047972043405,"bound6",-0.628536161880742,"X6",11
"123",-0.696310701753417,"bound6",-0.810015204126089,"X6",11
"124",-0.527971542543141,"bound6",-0.650826478539498,"X6",11
"125",-0.484274820058069,"bound6",-0.496162474756863,"X6",11
"126",-0.451754124268542,"bound6",-0.489683497006813,"X6",11
"127",-0.0515677589313029,"bound6",-0.0568988826302974,"X6",11
"128",-1.36336667623436,"bound6",-1.39509681891217,"X6",11
"129",-0.109307146824359,"bound6",-0.0772049971297084,"X6",11
"130",-1.16616364820392,"bound6",-1.06208881849949,"X6",11
"131",-0.536517736121396,"bound6",-0.48083465577552,"X6",11
"132",-0.613635818932503,"bound6",-0.588450467568832,"X6",11
"133",-1.28015068412508,"bound6",-1.3021514769525,"X6",12
"134",-1.53792102179816,"bound6",-1.55639915338284,"X6",12
"135",-0.0312744397063538,"bound6",-0.042006398821966,"X6",12
"136",-0.449908532824834,"bound6",-0.526417526120418,"X6",12
"137",-0.544730493203669,"bound6",-0.606485672600735,"X6",12
"138",-0.728269389058001,"bound6",-0.735031641333826,"X6",12
"139",-0.345715866975893,"bound6",-0.383893553801623,"X6",12
"140",-1.02119712552758,"bound6",-0.808934950545131,"X6",12
"141",-1.45813594725692,"bound6",-1.39668122855414,"X6",12
"142",-2.54084743918057,"bound6",-2.4907411190096,"X6",12
"143",-0.109618916331527,"bound6",-0.108703162023944,"X6",12
"144",-1.02435109073722,"bound6",-0.898253366708434,"X6",12
"145",-0.427219739573313,"bound7",-0.527991640276878,"X7",13
"146",-3.15514192038904,"bound7",-3.01571208852513,"X7",13
"147",-0.138853731948664,"bound7",-0.141309518217058,"X7",13
"148",-0.304745429049516,"bound7",-0.354127725666712,"X7",13
"149",-1.87188980846147,"bound7",-1.76064937161172,"X7",13
"150",-1.26713584089335,"bound7",-1.31175391245938,"X7",13
"151",-3.00647933271551,"bound7",-3.02978039347146,"X7",13
"152",-0.3595735244301,"bound7",-0.25506251639735,"X7",13
"153",-1.0096667512009,"bound7",-1.08598848582894,"X7",13
"154",-1.96696583778522,"bound7",-2.17034637635537,"X7",13
"155",-1.06709898476729,"bound7",-1.08484780445403,"X7",13
