"","fitted","parameter","generating","NA","set"
"1",-0.194129484810918,"bound1",-0.2774159623918,"X1",1
"2",-1.18885602296383,"bound1",-0.733425305973912,"X1",1
"3",-1.32139528873183,"bound1",-1.34657372870301,"X1",1
"4",-0.41485867914269,"bound1",-0.377233750931774,"X1",1
"5",-0.382235227396384,"bound1",-0.226470389909098,"X1",1
"6",-3.33654717690875,"bound1",-3.19702908169856,"X1",1
"7",-3.07532672077305,"bound1",-2.00241655391675,"X1",1
"8",-1.87874924945691,"bound1",-1.3448881935199,"X1",1
"9",-1.04764556534478,"bound1",-0.909021199344952,"X1",1
"10",-0.185453015265306,"bound1",-0.304636643493016,"X1",1
"11",-2.30468231898047,"bound1",-1.82266872594009,"X1",1
"12",-1.09433068412916,"bound1",-1.05365845040835,"X1",1
"13",-1.46361334245396,"bound1",-1.64808211069712,"X1",2
"14",-2.32232270689206,"bound1",-1.93732538728686,"X1",2
"15",-1.53491472121248,"bound1",-1.61970940645265,"X1",2
"16",-0.345898076556925,"bound1",-0.319976152066112,"X1",2
"17",-0.25191202431534,"bound1",-0.19037058544168,"X1",2
"18",-1.11553125842669,"bound1",-0.732181818032311,"X1",2
"19",-1.79954090338931,"bound1",-1.27981509297896,"X1",2
"20",-0.742777493356157,"bound1",-0.461771257776953,"X1",2
"21",-0.371949727325269,"bound1",-0.448383623678194,"X1",2
"22",-0.356341411350669,"bound1",-0.514445718629213,"X1",2
"23",-0.934076201995651,"bound1",-0.81078860579708,"X1",2
"24",-1.2909668961606,"bound1",-1.34639046606109,"X1",2
"25",-0.230175751770472,"bound2",-0.279783671083852,"X2",3
"26",-2.11382276819828,"bound2",-1.63298554372868,"X2",3
"27",-1.29219816825691,"bound2",-0.997512134561121,"X2",3
"28",-0.383542792951639,"bound2",-0.392117400942838,"X2",3
"29",-0.258247199404928,"bound2",-0.189738641593473,"X2",3
"30",-0.69523871406671,"bound2",-0.721428713443656,"X2",3
"31",-0.324421424908164,"bound2",-0.256484567387555,"X2",3
"32",-3.56194106875012,"bound2",-3.08954170596143,"X2",3
"33",-0.19848269002941,"bound2",-0.280205522096758,"X2",3
"34",-0.946579656429979,"bound2",-1.11408347325909,"X2",3
"35",-3.3869421464253e-08,"bound2",-0.0169532602089294,"X2",3
"36",-0.936690139676494,"bound2",-0.752307958128074,"X2",3
"37",-1.20523503924561,"bound2",-1.29150869581646,"X2",4
"38",-0.908256456530959,"bound2",-0.86404860250812,"X2",4
"39",-1.49376305897246,"bound2",-1.71557774325925,"X2",4
"40",-0.609976963157296,"bound2",-0.676298685983815,"X2",4
"41",-1.12032232563299,"bound2",-0.857250768815518,"X2",4
"42",-1.06765599432524,"bound2",-0.836410081051707,"X2",4
"43",-0.754509562963865,"bound2",-0.820869972129678,"X2",4
"44",-0.025321686177127,"bound2",-0.00962570442480454,"X2",4
"45",-1.08464512136424,"bound2",-1.19031838944928,"X2",4
"46",-1.61775711378553,"bound2",-1.71528657521921,"X2",4
"47",-0.536154849996558,"bound2",-0.57222514912631,"X2",4
"48",-1.07263183827495,"bound2",-0.923023469174529,"X2",4
"49",-0.290687852040321,"bound3",-0.25517679086718,"X3",5
"50",-0.767576766560055,"bound3",-0.584903640547302,"X3",5
"51",-1.39859281338494,"bound3",-1.58532723901464,"X3",5
"52",-0.528170263213367,"bound3",-0.356061727960039,"X3",5
"53",-1.0403171837541,"bound3",-0.891674463101235,"X3",5
"54",-0.933608849968777,"bound3",-0.836725439464246,"X3",5
"55",-0.651037878383735,"bound3",-0.412448653668932,"X3",5
"56",-2.20129887866203,"bound3",-1.7089707542495,"X3",5
"57",-0.590897217545823,"bound3",-0.452318654297818,"X3",5
"58",-1.63261228920871,"bound3",-2.21627745350174,"X3",5
"59",-0.301685634336387,"bound3",-0.177864390048712,"X3",5
"60",-0.51408976327898,"bound3",-0.425281225590934,"X3",5
"61",-0.746277750131085,"bound3",-0.719822031421635,"X3",6
"62",-0.88674620659222,"bound3",-0.827364603265836,"X3",6
"63",-1.49439480072315,"bound3",-1.23665590541648,"X3",6
"64",-1.79133159652514,"bound3",-1.40401605437588,"X3",6
"65",-0.408342277729118,"bound3",-0.547625820524361,"X3",6
"66",-1.50704976072887,"bound3",-1.28295817185149,"X3",6
"67",-3.29338986450687,"bound3",-2.80301620977592,"X3",6
"68",-0.307403425732511,"bound3",-0.32951974262423,"X3",6
"69",-0.492211010647824,"bound3",-0.488838948754852,"X3",6
"70",-1.12649672279805,"bound3",-1.08016118887445,"X3",6
"71",-1.89526884475506,"bound3",-1.75648759889714,"X3",6
"72",-0.0310902374746212,"bound3",-0.0560957508223034,"X3",6
"73",-1.13154883605361,"bound4",-1.38505630731473,"X4",7
"74",-1.43240640994647,"bound4",-1.22501502544391,"X4",7
"75",-0.76338864698834,"bound4",-0.737162783581139,"X4",7
"76",-1.33967360606963,"bound4",-1.30270901040915,"X4",7
"77",-1.63945619098161,"bound4",-1.62667664188679,"X4",7
"78",-2.67234663510262,"bound4",-2.33451803578738,"X4",7
"79",-0.489751978471151,"bound4",-0.189943369521939,"X4",7
"80",-1.55258060817415,"bound4",-1.60561869094313,"X4",7
"81",-1.0474545089435,"bound4",-1.1727202228149,"X4",7
"82",-1.72587385089755,"bound4",-2.01073723621039,"X4",7
"83",-1.18364359058096,"bound4",-0.988592807360458,"X4",7
"84",-0.193839567234547,"bound4",-0.188379692105042,"X4",7
"85",-2.15450508994085,"bound4",-2.07545359897654,"X4",8
"86",-2.41861442113658,"bound4",-1.81570912054161,"X4",8
"87",-0.24941569648015,"bound4",-0.349644524843899,"X4",8
"88",-6.39418461807563e-09,"bound4",-0.036154002858849,"X4",8
"89",-0.260348227503859,"bound4",-0.274851811166854,"X4",8
"90",-1.45035958898419,"bound4",-1.23049562407227,"X4",8
"91",-0.878634986620705,"bound4",-0.970564751412308,"X4",8
"92",-0.142684037030641,"bound4",-0.123735226384404,"X4",8
"93",-0.87970954015922,"bound4",-1.02181389618413,"X4",8
"94",-0.945831000155239,"bound4",-1.08898482982636,"X4",8
"95",-0.393742721971911,"bound4",-0.476571029224321,"X4",8
"96",-0.810951624275816,"bound4",-0.708100135343909,"X4",8
