"","fitted","parameter","generating","NA","set"
"1",-0.103985210883785,"bound1",-0.136853449246947,"X1",1
"2",-0.0828117662492646,"bound1",-0.139024469951087,"X1",1
"3",0.0899216286253477,"bound1",0.0843782093642138,"X1",1
"4",-0.102513166969434,"bound1",-0.119391211027058,"X1",1
"5",0.0487949119235864,"bound1",0.0763799740982998,"X1",1
"6",-0.0200126327143673,"bound1",0.00128172688000094,"X1",1
"7",-0.361968363529322,"bound1",-0.467115922574342,"X1",1
"8",-0.42595030326967,"bound1",-0.368192357790759,"X1",1
"9",-1.99896565706908,"bound1",-1.92832396896432,"X1",1
"10",-0.551781401414315,"bound1",-0.716719996994037,"X1",1
"11",0.198761213052217,"bound1",0.173025687682009,"X1",1
"12",-0.608305108087568,"bound1",-0.675610365842311,"X1",1
"13",-0.574452045302367,"bound1",-0.623545385443674,"X1",2
"14",-0.136237422237554,"bound1",-0.141512066743841,"X1",2
"15",-0.853170752619228,"bound1",-0.840117130072421,"X1",2
"16",0.0383118072090634,"bound1",0.015621918616722,"X1",2
"17",-0.328673251189046,"bound1",-0.257569687674319,"X1",2
"18",0.0710366847161082,"bound1",0.0758640405516836,"X1",2
"19",-0.0724011091992228,"bound1",-0.0830260506448689,"X1",2
"20",-0.651786326788448,"bound1",-0.59377585301419,"X1",2
"21",-0.382231103371053,"bound1",-0.549692576676428,"X1",2
"22",-0.420680187034348,"bound1",-0.366934267921957,"X1",2
"23",-0.00898100913193552,"bound1",-0.00489655518626686,"X1",2
"24",-0.157079154579957,"bound1",-0.188426543783865,"X1",2
"25",-0.112503746000451,"bound2",-0.135712270629406,"X2",3
"26",-1.95316572557973,"bound2",-1.60704570039194,"X2",3
"27",-1.42542991788741,"bound2",-1.21228565459969,"X2",3
"28",-1.27094656127309,"bound2",-1.19738378464538,"X2",3
"29",-0.0694757698271423,"bound2",-0.102298122649679,"X2",3
"30",-0.259286511508343,"bound2",-0.343223056955968,"X2",3
"31",-1.50934369133835,"bound2",-1.49046415072737,"X2",3
"32",-0.174566991954363,"bound2",-0.0881029276239216,"X2",3
"33",-1.70572439798015,"bound2",-1.64478581449801,"X2",3
"34",-1.44938264989447,"bound2",-1.32490323712942,"X2",3
"35",-0.211495445980499,"bound2",-0.30308243937446,"X2",3
"36",-1.53195364919531,"bound2",-1.49545610568375,"X2",3
"37",-1.39952129957459,"bound2",-1.46221858778416,"X2",4
"38",-0.944088323323346,"bound2",-0.952724829360666,"X2",4
"39",-0.0629030825484871,"bound2",-0.113436539874624,"X2",4
"40",-0.533629092115431,"bound2",-0.608410863171398,"X2",4
"41",-0.544688778303837,"bound2",-0.281966486124286,"X2",4
"42",-0.102728806580436,"bound2",-0.127805191593995,"X2",4
"43",-0.104196427227982,"bound2",-0.0828954853172168,"X2",4
"44",-1.00925898878961,"bound2",-0.884588882665424,"X2",4
"45",-0.375518984152778,"bound2",-0.428175633636006,"X2",4
"46",-1.04460283380077,"bound2",-1.14472433498486,"X2",4
"47",-0.576149026454742,"bound2",-0.479368481370218,"X2",4
"48",-0.144167356525699,"bound2",-0.179750361406571,"X2",4
"49",-0.887272247959875,"bound3",-1.07716131618322,"X3",5
"50",-1.67500463741169e-07,"bound3",-0.172240287472824,"X3",5
"51",-2.60514434077276,"bound3",-2.35107479937643,"X3",5
"52",-0.732614026660483,"bound3",-0.618252410091762,"X3",5
"53",-0.141956032974698,"bound3",-0.243184550138557,"X3",5
"54",-0.0484187027178113,"bound3",-0.0871477745976905,"X3",5
"55",-1.59377370965567,"bound3",-1.52627084255755,"X3",5
"56",-2.88390075094526,"bound3",-1.85353582605749,"X3",5
