"","fitted","parameter","generating","NA","set"
"1",-0.221808067737591,"bound1",-0.220621125001856,"X1",1
"2",-0.152491532330211,"bound1",-0.150557784957935,"X1",1
"3",-0.386024663718658,"bound1",-0.379512879617335,"X1",1
"4",-0.0738482711417134,"bound1",-0.0796516627677903,"X1",1
"5",0.103351805254771,"bound1",0.0982500892741707,"X1",1
"6",0.175299323692075,"bound1",0.169822035888371,"X1",1
"7",-0.172781741841037,"bound1",-0.178824024516928,"X1",1
"8",-0.329238551359218,"bound1",-0.302669156195369,"X1",1
"9",0.135184940737003,"bound1",0.135549751986482,"X1",1
"10",0.0300221588784868,"bound1",0.0357912398659159,"X1",1
"11",-0.0554130073260153,"bound1",-0.052389960420067,"X1",1
"12",-0.117988368384439,"bound1",-0.106107624082491,"X1",1
"13",-0.132808243097722,"bound1",-0.133618196338486,"X1",2
"14",0.0878897833575639,"bound1",0.0904651039929303,"X1",2
"15",-0.0572189786989105,"bound1",-0.0499979530105358,"X1",2
"16",-0.4924056951777,"bound1",-0.501851530122186,"X1",2
"17",0.0837871392143311,"bound1",0.0794734922602487,"X1",2
"18",-0.0665802360249371,"bound1",-0.0592885005251723,"X1",2
"19",-0.404824557673421,"bound1",-0.374322354687252,"X1",2
"20",-0.158970338356616,"bound1",-0.159055797148764,"X1",2
"21",0.0214725995997835,"bound1",0.0183520221027357,"X1",2
"22",-0.153513704561816,"bound1",-0.159791211076524,"X1",2
"23",-0.145499168114225,"bound1",-0.155943413502823,"X1",2
"24",0.066090495006868,"bound1",0.0736456276487666,"X1",2
"25",-0.000343426416804658,"bound1",-0.0076879383131242,"X1",3
"26",-0.552155646481528,"bound1",-0.53612254571991,"X1",3
"27",-1.83561183458292,"bound1",-1.7887804401154,"X1",3
"28",-0.809012196526048,"bound1",-0.887220020577433,"X1",3
"29",0.016360944633075,"bound1",0.011808553202768,"X1",3
"30",-0.158408453824669,"bound1",-0.155821958928368,"X1",3
