"","fitted","parameter","generating","NA","set"
"1",-1.0384868840266,"bound1",-0.868486083579831,"X1",1
"2",-0.253310723973397,"bound1",-0.254112189387696,"X1",1
"3",0.0955503767889557,"bound1",0.0962252103414889,"X1",1
"4",-0.0957293711239401,"bound1",-0.0853236926333675,"X1",1
"5",0.0512620687321041,"bound1",0.0638182208787588,"X1",1
"6",-0.613920908369927,"bound1",-0.677599503569176,"X1",1
"7",-0.590511012871297,"bound1",-0.518907363620382,"X1",1
"8",-0.0106762235220218,"bound1",-0.0303561125002386,"X1",1
"9",-0.529866056618783,"bound1",-0.694778721761458,"X1",1
"10",-0.0505012814043134,"bound1",-0.0313663067113309,"X1",1
"11",0.00536230780504933,"bound1",0.0285139706364111,"X1",1
"12",-0.457836462119462,"bound1",-0.431421820356332,"X1",1
"13",-0.658814600888699,"bound1",-0.612529389385008,"X1",2
"14",-0.0786549125399515,"bound1",-0.0851315233469959,"X1",2
"15",-0.832327390618141,"bound1",-0.768297974746476,"X1",2
"16",-0.226194294052393,"bound1",-0.227136903690778,"X1",2
"17",-1.44635405557931,"bound1",-1.49439357514704,"X1",2
"18",-0.439204832365854,"bound1",-0.41568785454588,"X1",2
"19",-1.2209461590746,"bound1",-1.1892167514091,"X1",2
"20",0.222208945767301,"bound1",0.213462716296708,"X1",2
"21",-0.411704363434372,"bound2",-0.45879567809908,"X2",2
"22",-1.9438297846299,"bound2",-2.01343613866,"X2",2
"23",-0.187030642014219,"bound2",-0.213579831386306,"X2",2
"24",-0.305488503914491,"bound2",-0.328762003097842,"X2",2
"25",-1.08592155322391,"bound2",-1.15715788734617,"X2",3
"26",-0.641683684244396,"bound2",-0.589227591544148,"X2",3
"27",-1.80185880598371,"bound2",-2.04575622274824,"X2",3
"28",-1.69139061192877,"bound2",-1.51373997309004,"X2",3
"29",-0.0321321140825951,"bound2",-0.0826590174727523,"X2",3
"30",-0.778452884998753,"bound2",-0.869450455690908,"X2",3
"31",-2.62568412839328,"bound2",-2.5757218700031,"X2",3
"32",-1.46723463101731,"bound2",-1.4098866230681,"X2",3
"33",-0.108859115584999,"bound2",-0.123719612117942,"X2",3
"34",-0.0730924800737585,"bound2",-0.0689593658327738,"X2",3
"35",-0.140033491244231,"bound2",-0.104494021512427,"X2",3
"36",-0.809146743724784,"bound2",-0.786099088758372,"X2",3
"37",-0.344257686958711,"bound2",-0.632702227364027,"X2",4
"38",-0.482366424856229,"bound2",-0.475921113378086,"X2",4
"39",-1.39139594197868,"bound2",-1.18301372138084,"X2",4
"40",-0.480579212128028,"bound2",-0.510945736217536,"X2",4
"41",-0.220573690867746,"bound3",-0.11998411811137,"X3",4
"42",-0.379178972923895,"bound3",-0.367009632579294,"X3",4
"43",-0.0144047005926363,"bound3",-0.00968656862492373,"X3",4
"44",-0.813816685707885,"bound3",-0.739137472693282,"X3",4
"45",-1.24779312291842,"bound3",-1.2731966876236,"X3",4
"46",-0.126952133511707,"bound3",-0.0821915296628568,"X3",4
"47",-0.372574283108195,"bound3",-0.341505301809268,"X3",4
"48",-0.400292127578979,"bound3",-0.178664763978194,"X3",4
"49",-0.122697739346054,"bound3",-0.157060369523469,"X3",5
"50",-0.279318727560245,"bound3",-0.257794501215596,"X3",5
"51",-0.298823119370393,"bound3",-0.2391138774929,"X3",5
"52",-1.13415662505377,"bound3",-1.17883925177394,"X3",5
"53",-1.07474534567438,"bound3",-1.19834160497945,"X3",5
"54",-0.684621491657441,"bound3",-0.665910611479155,"X3",5
"55",-0.490814797916342,"bound3",-0.469226784952768,"X3",5
"56",-0.572393926002126,"bound3",-0.612231226300175,"X3",5
"57",-1.60879482576413,"bound3",-1.44535596586472,"X3",5
"58",-0.428387748012751,"bound3",-0.492197894718715,"X3",5
"59",-0.430193601015138,"bound3",-0.575222251567979,"X3",5
"60",-0.983729964323549,"bound3",-1.04661997138769,"X3",5
"61",-0.71751301158527,"bound4",-0.634164297621842,"X4",6
"62",-2.13230973141479,"bound4",-2.25401402855951,"X4",6
"63",-0.953637429993468,"bound4",-0.958488281053035,"X4",6
"64",-0.455141545478077,"bound4",-0.65825765758643,"X4",6
"65",-1.76441834365953,"bound4",-1.54321056856164,"X4",6
"66",-0.203601696792935,"bound4",-0.238211389673655,"X4",6
"67",-0.510807748684607,"bound4",-0.537685043960259,"X4",6
"68",-0.937251554288077,"bound4",-1.26667243166248,"X4",6
"69",-0.0945117025929706,"bound4",-0.113048195505136,"X4",6
"70",-0.56928169604945,"bound4",-0.56684779475425,"X4",6
"71",-1.50705335078498,"bound4",-1.31450869377271,"X4",6
"72",-0.08819691632782,"bound4",-0.0404423944300012,"X4",6
