"","fitted","parameter","generating","NA","set"
"1",-0.139765134740818,"bound1",-0.136853449246947,"X1",1
"2",-0.178294679910073,"bound1",-0.139024469951087,"X1",1
"3",0.0914489697072917,"bound1",0.0843782093642138,"X1",1
"4",-0.138509274948353,"bound1",-0.119391211027058,"X1",1
"5",0.075341609470449,"bound1",0.0763799740982998,"X1",1
"6",0.011602326652778,"bound1",0.00128172688000094,"X1",1
"7",-0.46075565180606,"bound1",-0.467115922574342,"X1",1
"8",-0.297609018012446,"bound1",-0.368192357790759,"X1",1
"9",-3.41399079507706,"bound1",-1.92832396896432,"X1",1
"10",-0.867768851104372,"bound1",-0.716719996994037,"X1",1
"11",0.13116839148692,"bound1",0.173025687682009,"X1",1
"12",-0.635163804632915,"bound1",-0.675610365842311,"X1",1
"13",-0.506324648257398,"bound1",-0.623545385443674,"X1",2
"14",-0.247367358444721,"bound1",-0.141512066743841,"X1",2
"15",-0.803693772287586,"bound1",-0.840117130072421,"X1",2
"16",0.048085791494733,"bound1",0.015621918616722,"X1",2
"17",-0.268528847552046,"bound1",-0.257569687674319,"X1",2
"18",0.0696800196793686,"bound1",0.0758640405516836,"X1",2
"19",-0.0761930894165511,"bound1",-0.0830260506448689,"X1",2
"20",-0.564136071670677,"bound1",-0.59377585301419,"X1",2
"21",-0.653398570116617,"bound1",-0.549692576676428,"X1",2
"22",-0.298354327057201,"bound1",-0.366934267921957,"X1",2
"23",0.00349358798920567,"bound1",-0.00489655518626686,"X1",2
"24",-0.182664156188465,"bound1",-0.188426543783865,"X1",2
"25",-0.149824890551528,"bound2",-0.135712270629406,"X2",3
"26",-1.50902638468304,"bound2",-1.60704570039194,"X2",3
"27",-1.43028786978494,"bound2",-1.21228565459969,"X2",3
"28",-0.94634425994466,"bound2",-1.19738378464538,"X2",3
"29",-0.0856665359818829,"bound2",-0.102298122649679,"X2",3
"30",-0.334846846686966,"bound2",-0.343223056955968,"X2",3
"31",-1.49374877297183,"bound2",-1.49046415072737,"X2",3
"32",-0.0548308407733736,"bound2",-0.0881029276239216,"X2",3
"33",-1.71126241439725,"bound2",-1.64478581449801,"X2",3
"34",-1.09468244746338,"bound2",-1.32490323712942,"X2",3
"35",-0.319843283865179,"bound2",-0.30308243937446,"X2",3
"36",-1.55553532466556,"bound2",-1.49545610568375,"X2",3
"37",-1.19508794467105,"bound2",-1.46221858778416,"X2",4
"38",-1.0181775238632,"bound2",-0.952724829360666,"X2",4
"39",-0.111148640466198,"bound2",-0.113436539874624,"X2",4
"40",-0.573776749888311,"bound2",-0.608410863171398,"X2",4
"41",-0.360254335054704,"bound2",-0.281966486124286,"X2",4
"42",-0.134452929195186,"bound2",-0.127805191593995,"X2",4
"43",-0.059210086441773,"bound2",-0.0828954853172168,"X2",4
"44",-1.03265762803157,"bound2",-0.884588882665424,"X2",4
"45",-0.401580433557685,"bound2",-0.428175633636006,"X2",4
"46",-1.2555269217763,"bound2",-1.14472433498486,"X2",4
"47",-0.457154554423675,"bound2",-0.479368481370218,"X2",4
"48",-0.148042530068218,"bound2",-0.179750361406571,"X2",4
"49",-1.30872000540844,"bound3",-1.07716131618322,"X3",5
"50",-0.293441131449066,"bound3",-0.172240287472824,"X3",5
"51",-2.35764914240513,"bound3",-2.35107479937643,"X3",5
"52",-0.567778506247635,"bound3",-0.618252410091762,"X3",5
"53",-0.231849847812784,"bound3",-0.243184550138557,"X3",5
"54",-0.105932789312883,"bound3",-0.0871477745976905,"X3",5
"55",-2.10159522013286,"bound3",-1.52627084255755,"X3",5
"56",-1.92457088482373,"bound3",-1.85353582605749,"X3",5
"57",-0.262154345654826,"bound3",-0.260370933380091,"X3",5
"58",-0.454997999254122,"bound3",-0.377104675190052,"X3",5
"59",-0.779212205785138,"bound3",-0.693933210300468,"X3",5
"60",-1.16629469044387,"bound3",-1.48788063561114,"X3",5
"61",-0.289107416970134,"bound3",-0.241740974795761,"X3",6
"62",-2.35822973430613,"bound3",-1.95259813517035,"X3",6
"63",-1.06517818200688,"bound3",-1.07306296165639,"X3",6
"64",-1.00627537165798,"bound3",-1.0970000023819,"X3",6
"65",-0.0440037653920554,"bound3",-0.0277634250042251,"X3",6
"66",-3.02889336279143,"bound3",-2.01148530129143,"X3",6
"67",-1.82310058756212,"bound3",-1.69889077111519,"X3",6
"68",-0.189867778749032,"bound3",-0.0767516153068466,"X3",6
"69",-1.89258993236258,"bound3",-1.5236596448873,"X3",6
"70",-1.96751459136635,"bound3",-1.95096441020172,"X3",6
"71",-1.14556793033581,"bound3",-1.08041809573318,"X3",6
"72",-0.238620017140312,"bound3",-0.190342055613613,"X3",6
"73",-2.30170593912567,"bound4",-2.12180740032826,"X4",7
"74",-0.131901057840254,"bound4",-0.229938869516444,"X4",7
"75",-3.3513735006316e-07,"bound4",-0.0283606162629793,"X4",7
"76",-1.77430232968179,"bound4",-2.08670703417864,"X4",7
"77",-0.970209479363876,"bound4",-1.10926323516492,"X4",7
"78",-0.573040963497712,"bound4",-0.585234439482134,"X4",7
"79",-0.238257777913315,"bound4",-0.39811319876675,"X4",7
"80",-0.2820916155366,"bound4",-0.241769255911934,"X4",7
"81",-1.15352826073124e-07,"bound4",-0.0929938778192634,"X4",7
"82",-2.52491806351774,"bound4",-1.95869144140202,"X4",7
"83",-1.58899995921613,"bound4",-1.35919368825798,"X4",7
"84",-2.74230047141639,"bound4",-1.66077484041287,"X4",7
"85",-0.151315255248781,"bound4",-0.3223572024017,"X4",8
"86",-1.26769841677518,"bound4",-1.55657851066421,"X4",8
"87",-0.461816576525789,"bound4",-0.274014397316938,"X4",8
"88",-0.954414754498514,"bound4",-1.09644758599504,"X4",8
"89",-0.935571269341036,"bound4",-0.762348436253577,"X4",8
"90",-4.10613046437684,"bound4",-3.82934290096168,"X4",8
"91",-1.38451133149256,"bound4",-1.20937733468908,"X4",8
"92",-1.29477585987054,"bound4",-1.42390051871982,"X4",8
"93",-1.90663289296247,"bound4",-1.84891723585316,"X4",8
"94",-0.473875753865444,"bound4",-0.811041249280227,"X4",8
"95",-0.462852460059395,"bound4",-0.543016262657706,"X4",8
"96",-2.00382758683694,"bound4",-2.02249981737941,"X4",8
"97",-2.45152920694904,"bound5",-1.82842841348582,"X5",9
"98",-3.12711102251705,"bound5",-2.49481980527788,"X5",9
"99",-2.05492221810363,"bound5",-2.50326507800302,"X5",9
"100",-2.62773425967299e-07,"bound5",-0.280897811886502,"X5",9
"101",-0.663160125622272,"bound5",-0.417997703709766,"X5",9
"102",-2.01508921359371,"bound5",-1.66141961592943,"X5",9
"103",-0.250294626412939,"bound5",-0.456263740758255,"X5",9
"104",-2.60134810513627,"bound5",-2.78199960420093,"X5",9
"105",-5.64727249310022e-08,"bound5",-0.199673168796513,"X5",9
"106",-16.1622472188183,"bound5",-1.2769455502865,"X5",9
"107",-0.808537430486733,"bound5",-0.814674847961688,"X5",9
"108",-0.30606559136592,"bound5",-0.257114192077268,"X5",9
"109",-0.809418530627841,"bound5",-0.737143537682863,"X5",10
"110",-3.65042807935292,"bound5",-1.46885918817621,"X5",10
"111",-1.11086924648217,"bound5",-1.30952699479083,"X5",10
"112",-1.89075979703111,"bound5",-1.57866857121932,"X5",10
"113",-0.9431401136285,"bound5",-0.852125716651812,"X5",10
"114",-4.27327366915236,"bound5",-0.881702514663372,"X5",10
"115",-0.444070254944057,"bound5",-0.490010341363488,"X5",10
"116",-2.99381120197424,"bound5",-2.90744610240792,"X5",10
"117",-0.362663595540026,"bound5",-0.0796156786083407,"X5",10
"118",-1.46456549331447,"bound5",-1.23319193484542,"X5",10
"119",-0.848789837812775,"bound5",-0.747815342913303,"X5",10
"120",-1.97030907103402,"bound5",-1.33693459252878,"X5",10
"121",-1.5716771834146,"bound6",-1.51323427186369,"X6",11
"122",-1.64747168586921e-08,"bound6",-0.00572058755899052,"X6",11
"123",-4.68993153428296e-07,"bound6",-2.08796241131754,"X6",11
"124",-7.83542956949303,"bound6",-3.00267280507047,"X6",11
"125",-0.99591344284259,"bound6",-0.599703610789961,"X6",11
"126",-4.30973381662131,"bound6",-3.04902824030325,"X6",11
"127",-1.28463062592187,"bound6",-1.9639323265214,"X6",11
"128",-0.175122745295833,"bound6",-0.133948007477496,"X6",11
"129",-2.86562642904473,"bound6",-1.94434593425499,"X6",11
"130",-0.123487237549983,"bound6",-1.01438138929859,"X6",11
"131",-3.21044264904875,"bound6",-3.12722784106008,"X6",11
"132",-0.841120313253985,"bound6",-0.975452204197118,"X6",11
"133",-0.760302932250827,"bound6",-0.589438108458842,"X6",12
"134",-1.36910844743298e-06,"bound6",-1.6189389806674,"X6",12
"135",-2.61869685677752,"bound6",-2.44272775207892,"X6",12
"136",-1.3438834358401,"bound6",-1.35113087209453,"X6",12
"137",-1.04995149058276,"bound6",-1.196071095695,"X6",12
"138",-3.79246887611501e-05,"bound6",-1.90063857986568,"X6",12
"139",-2.04650453718661,"bound6",-1.41306368818297,"X6",12
"140",-0.288408999297067,"bound6",-0.584908410717673,"X6",12
"141",-3.05442996888699,"bound6",-3.11020640037215,"X6",12
"142",-1.29716277518353,"bound6",-1.16543046256015,"X6",12
