"","fitted","parameter","generating","NA","set"
"1",0.0422725656138163,"bound1",-0.0234873949962793,"X1",1
"2",0.0507282200034916,"bound1",0.122031978453131,"X1",1
"3",0.128057478044905,"bound1",0.0974770688384595,"X1",1
"4",0.070252990821195,"bound1",0.106336662614506,"X1",1
"5",0.149399709209504,"bound1",0.130007425956715,"X1",1
"6",0.0585470642134665,"bound1",0.109104983697907,"X1",1
"7",0.139593183293412,"bound1",0.118154172496865,"X1",1
"8",0.0762658365204569,"bound1",0.0668770803901081,"X1",1
"9",0.125474769225983,"bound1",0.171780757490261,"X1",1
"10",-0.0510559120196436,"bound1",-0.039930404582316,"X1",1
"11",0.172131040232259,"bound1",0.168101076170297,"X1",1
"12",0.0333290733059383,"bound1",0.0661342987323396,"X1",1
"13",0.176041231235444,"bound1",0.098104687318516,"X1",1
"14",0.102683023247328,"bound1",0.0527481911776693,"X1",2
"15",0.122723258114355,"bound1",0.112102128731935,"X1",2
"16",-0.0911988698054645,"bound1",-0.0457082536071746,"X1",2
"17",0.179673904226672,"bound1",0.176633267682279,"X1",2
"18",0.122182428955759,"bound1",0.171018936092547,"X1",2
"19",0.117556783461966,"bound1",0.105973385886065,"X1",2
"20",0.0904197074304414,"bound1",0.118904530277614,"X1",2
"21",0.0214872554557917,"bound1",0.0977078282319177,"X1",2
"22",0.147751318149215,"bound1",0.157554054046442,"X1",2
"23",0.148316579754101,"bound1",0.157773523760046,"X1",2
"24",0.175247804929076,"bound1",0.156910166867392,"X1",2
"25",-0.00453954823324801,"bound1",-0.0100771094519753,"X1",2
"26",0.102829283549126,"bound1",0.093457476681726,"X1",2
"27",0.0314807176232945,"bound1",0.0781551765013457,"X1",3
"28",0.139345283359267,"bound1",0.0855853134559388,"X1",3
"29",0.0819533149745801,"bound1",0.135996903562772,"X1",3
"30",0.120015062035957,"bound1",0.127095417043625,"X1",3
"31",0.188027676753303,"bound1",0.2050368443926,"X1",3
"32",-0.00763239066828644,"bound1",-0.0112064784714098,"X1",3
"33",0.148289598171373,"bound1",0.119808066157732,"X1",3
"34",0.0983476720218548,"bound1",0.103589419392139,"X1",3
"35",0.0360701080293927,"bound1",0.0172578369225456,"X1",3
"36",0.0565922053837478,"bound1",0.0599488841998506,"X1",3
"37",0.0711319090594479,"bound1",0.120390856784406,"X1",3
"38",0.139198131580998,"bound1",0.0947786731091973,"X1",3
"39",0.0760410741820206,"bound1",0.0749049570528192,"X1",3
"40",0.0212519572148504,"bound1",0.0672614938039862,"X1",4
"41",-0.344510471281017,"bound2",-0.173391692418073,"X2",4
