"","fitted","parameter","generating","NA","set"
"1",-0.0223758669809325,"bound1",-0.0234873949962793,"X1",1
"2",0.0870624914576922,"bound1",0.122031978453131,"X1",1
"3",0.107931016863295,"bound1",0.0974770688384595,"X1",1
"4",0.108660237072363,"bound1",0.106336662614506,"X1",1
"5",0.154790349182537,"bound1",0.130007425956715,"X1",1
"6",0.0622976608242995,"bound1",0.109104983697907,"X1",1
"7",0.0948444328089157,"bound1",0.118154172496865,"X1",1
"8",0.0472051367699159,"bound1",0.0668770803901081,"X1",1
"9",0.173587153016658,"bound1",0.171780757490261,"X1",1
"10",-0.0182062473423066,"bound1",-0.039930404582316,"X1",1
"11",0.160743201007333,"bound1",0.168101076170297,"X1",1
"12",0.0431117537506635,"bound1",0.0661342987323396,"X1",1
"13",0.108375412402353,"bound1",0.098104687318516,"X1",1
"14",0.0431128146704941,"bound1",0.0527481911776693,"X1",2
"15",0.116255710189656,"bound1",0.112102128731935,"X1",2
"16",-0.0376222465740553,"bound1",-0.0457082536071746,"X1",2
"17",0.176001699670471,"bound1",0.176633267682279,"X1",2
"18",0.214369678965259,"bound1",0.171018936092547,"X1",2
"19",0.120625829398807,"bound1",0.105973385886065,"X1",2
"20",0.064848387471344,"bound1",0.118904530277614,"X1",2
"21",0.0769501459940167,"bound1",0.0977078282319177,"X1",2
"22",0.153221220539986,"bound1",0.157554054046442,"X1",2
"23",0.126775530495515,"bound1",0.157773523760046,"X1",2
"24",0.136421103531249,"bound1",0.156910166867392,"X1",2
"25",-0.0201323947283749,"bound1",-0.0100771094519753,"X1",2
"26",0.092735771449873,"bound1",0.093457476681726,"X1",2
"27",0.0445388242792426,"bound1",0.0781551765013457,"X1",3
"28",0.0648904450422183,"bound1",0.0855853134559388,"X1",3
"29",0.123288862739259,"bound1",0.135996903562772,"X1",3
"30",0.139343710818632,"bound1",0.127095417043625,"X1",3
"31",0.208817784175996,"bound1",0.2050368443926,"X1",3
"32",-0.00140690958443172,"bound1",-0.0112064784714098,"X1",3
"33",0.0961920486004508,"bound1",0.119808066157732,"X1",3
"34",0.103436236349689,"bound1",0.103589419392139,"X1",3
"35",0.0109871789577549,"bound1",0.0172578369225456,"X1",3
"36",0.078239037171053,"bound1",0.0599488841998506,"X1",3
"37",0.146865359945426,"bound1",0.120390856784406,"X1",3
"38",0.131521301562689,"bound1",0.0947786731091973,"X1",3
"39",0.0911935178946431,"bound1",0.0749049570528192,"X1",3
"40",0.145141259552195,"bound1",0.0672614938039862,"X1",4
"41",-0.168826369857221,"bound2",-0.173391692418073,"X2",4
"42",-0.123464640145792,"bound2",-0.150304345267417,"X2",4
"43",-0.289122295883707,"bound2",-0.284140982494411,"X2",4
"44",-0.183325684037521,"bound2",-0.192062407475034,"X2",4
"45",-0.258141829235044,"bound2",-0.237127026184312,"X2",4
"46",-0.00584886557421089,"bound2",-0.00587405971465312,"X2",4
"47",-0.131641575131578,"bound2",-0.155448239022151,"X2",4
"48",-0.217050313249983,"bound2",-0.34604369671483,"X2",4
"49",-0.291440003936032,"bound2",-0.278731409839117,"X2",4
"50",-0.137285789479414,"bound2",-0.429097269458605,"X2",4
"51",-0.138205177588507,"bound2",-0.153856263754327,"X2",4
"52",-0.292797780404885,"bound2",-0.347850363313305,"X2",4
"53",-0.0694573886532556,"bound2",-0.0724995404678147,"X2",5
"54",-0.286382187857849,"bound2",-0.375662243910281,"X2",5
"55",-0.044318777643886,"bound2",-0.0433268409302269,"X2",5
"56",-0.175411733271567,"bound2",-0.248397083825566,"X2",5
"57",-0.149693290954547,"bound2",-0.16604425638864,"X2",5
"58",-0.536078480858254,"bound2",-0.427775281668356,"X2",5
"59",-0.29205357118142,"bound2",-0.288172338038501,"X2",5
"60",-0.273013385391984,"bound2",-0.448637056058661,"X2",5
