"","fitted","parameter","generating","NA","set"
"1",-0.00799310545542107,"bound1",-0.0234873949962793,"X1",1
"2",0.291559273678742,"bound1",0.122031978453131,"X1",1
"3",0.0406888420927813,"bound1",0.0974770688384595,"X1",1
"4",0.11309456670576,"bound1",0.106336662614506,"X1",1
"5",0.1558348442099,"bound1",0.130007425956715,"X1",1
"6",0.0598393649921562,"bound1",0.109104983697907,"X1",1
"7",0.0866971907217264,"bound1",0.118154172496865,"X1",1
"8",0.0240074373777376,"bound1",0.0668770803901081,"X1",1
"9",0.150066904484818,"bound1",0.171780757490261,"X1",1
"10",-0.0368869650745908,"bound1",-0.039930404582316,"X1",1
"11",0.143827916132207,"bound1",0.168101076170297,"X1",1
"12",0.0243225914728967,"bound1",0.0661342987323396,"X1",1
"13",0.0985297647058135,"bound1",0.098104687318516,"X1",1
"14",0.0820307856586151,"bound1",0.0527481911776693,"X1",2
"15",0.106628602900982,"bound1",0.112102128731935,"X1",2
"16",-0.0556698255330906,"bound1",-0.0457082536071746,"X1",2
"17",0.195250804374418,"bound1",0.176633267682279,"X1",2
"18",0.142609467552253,"bound1",0.171018936092547,"X1",2
"19",0.105333052467008,"bound1",0.105973385886065,"X1",2
"20",0.0738018125702413,"bound1",0.118904530277614,"X1",2
"21",0.0843931450469558,"bound1",0.0977078282319177,"X1",2
"22",0.149466177641912,"bound1",0.157554054046442,"X1",2
"23",0.139218835397065,"bound1",0.157773523760046,"X1",2
"24",0.178664257837998,"bound1",0.156910166867392,"X1",2
"25",0.000954112827715391,"bound1",-0.0100771094519753,"X1",2
"26",0.0990987685902294,"bound1",0.093457476681726,"X1",2
"27",0.0702392008631485,"bound1",0.0781551765013457,"X1",3
"28",0.0565198658158465,"bound1",0.0855853134559388,"X1",3
"29",0.158789346746177,"bound1",0.135996903562772,"X1",3
"30",0.131585062571504,"bound1",0.127095417043625,"X1",3
"31",0.162955042036433,"bound1",0.2050368443926,"X1",3
"32",-0.0313971348745166,"bound1",-0.0112064784714098,"X1",3
"33",0.089157389799988,"bound1",0.119808066157732,"X1",3
"34",0.0942408148208451,"bound1",0.103589419392139,"X1",3
"35",0.0748183892964034,"bound1",0.0172578369225456,"X1",3
"36",0.018318759947855,"bound1",0.0599488841998506,"X1",3
"37",0.166369619861263,"bound1",0.120390856784406,"X1",3
"38",0.122845834704584,"bound1",0.0947786731091973,"X1",3
"39",0.0420736915358673,"bound1",0.0749049570528192,"X1",3
"40",0.0907863210026883,"bound1",0.0672614938039862,"X1",4
"41",-0.0396861541976909,"bound2",-0.173391692418073,"X2",4
"42",-0.256047651067885,"bound2",-0.150304345267417,"X2",4
"43",-0.106919061533803,"bound2",-0.284140982494411,"X2",4
"44",-0.208398181083542,"bound2",-0.192062407475034,"X2",4
"45",-0.244826882953127,"bound2",-0.237127026184312,"X2",4
"46",-0.00566715122733322,"bound2",-0.00587405971465312,"X2",4
"47",-0.11264020251651,"bound2",-0.155448239022151,"X2",4
"48",-0.210677362621638,"bound2",-0.34604369671483,"X2",4
"49",-0.278028705784672,"bound2",-0.278731409839117,"X2",4
"50",-0.304882974206346,"bound2",-0.429097269458605,"X2",4
"51",-0.139427963832715,"bound2",-0.153856263754327,"X2",4
"52",-0.176183243944136,"bound2",-0.347850363313305,"X2",4
"53",-0.0687669678777331,"bound2",-0.0724995404678147,"X2",5
"54",-0.605888700067175,"bound2",-0.375662243910281,"X2",5
"55",-0.0416351862545034,"bound2",-0.0433268409302269,"X2",5
"56",-0.273753520009296,"bound2",-0.248397083825566,"X2",5
"57",-0.181879396174213,"bound2",-0.16604425638864,"X2",5
"58",-0.385254611415843,"bound2",-0.427775281668356,"X2",5
"59",-0.30507408390899,"bound2",-0.288172338038501,"X2",5
"60",-0.305426391469835,"bound2",-0.448637056058661,"X2",5
"61",-0.130983757720543,"bound2",-0.129398187523612,"X2",5
"62",-0.167686355158286,"bound2",-0.170099414960735,"X2",5
"63",-0.00174796628644617,"bound2",-0.00133457715018981,"X2",5
"64",-0.074611025953894,"bound2",-0.084864413313505,"X2",5
"65",-0.153934328698872,"bound2",-0.12930605223798,"X2",5
"66",-0.0961772513465456,"bound2",-0.102476729367389,"X2",6
"67",-0.273136479667489,"bound2",-0.251967792459697,"X2",6
"68",-0.0481153413680758,"bound2",-0.0870492506020739,"X2",6
"69",-0.225289034920657,"bound2",-0.178806165174933,"X2",6
"70",-0.0261680719008872,"bound2",-0.0222544878693492,"X2",6
"71",-0.21951058325265,"bound2",-0.225235145542294,"X2",6
"72",-0.290935553653776,"bound2",-0.296100810033737,"X2",6
"73",-0.0693281577808041,"bound2",-0.0635394406944064,"X2",6
"74",-0.309175653267575,"bound2",-0.352894581628927,"X2",6
"75",-0.279793139824922,"bound2",-0.167503208023769,"X2",6
"76",-0.0800047518680975,"bound2",-0.250847271889773,"X2",6
"77",-0.0410954762428442,"bound2",-0.0322507553739005,"X2",6
"78",-0.110066748704801,"bound2",-0.0905924089976181,"X2",6
"79",-0.216542838939648,"bound2",-0.306379867281491,"X2",7
"80",-0.0946583272597843,"bound2",-0.0628019914827311,"X2",7
"81",-0.135325923453565,"bound3",-0.500018843719924,"X3",7
"82",-0.172192597242381,"bound3",-0.113356713026613,"X3",7
"83",-0.178223114301011,"bound3",-0.510740392678834,"X3",7
"84",-0.183963376775827,"bound3",-0.149499949141149,"X3",7
"85",-0.124599166189987,"bound3",-0.0950103242260773,"X3",7
"86",-0.0127215433319477,"bound3",-0.0201692159671465,"X3",7
"87",-0.282206916486104,"bound3",-0.342939134443881,"X3",7
"88",-0.139257854769111,"bound3",-0.274462167839803,"X3",7
"89",-0.00463809995469193,"bound3",-0.00468470680079081,"X3",7
"90",-0.206251354657146,"bound3",-0.302156621176352,"X3",7
"91",-0.320050749651186,"bound3",-0.365881821319234,"X3",7
"92",-0.0949530707764023,"bound3",-0.247344893586821,"X3",8
"93",-0.103905887305207,"bound3",-0.125786877848319,"X3",8
"94",-0.12254664073221,"bound3",-0.0897107237318044,"X3",8
"95",-0.194248575765495,"bound3",-0.188795873084984,"X3",8
"96",-0.458105825042281,"bound3",-0.460732897625511,"X3",8
"97",-0.435653095093042,"bound3",-0.300866326254898,"X3",8
"98",-0.447114481353886,"bound3",-0.583621207777245,"X3",8
"99",-5.00029300279672e-06,"bound3",-0.00120876396798383,"X3",8
"100",-0.0647330871365807,"bound3",-0.0817050152958493,"X3",8
"101",-0.321843045977808,"bound3",-0.340315246665114,"X3",8
"102",-0.0630968106454339,"bound3",-0.0582038002053205,"X3",8
"103",-0.106602270773775,"bound3",-0.128403535380545,"X3",8
"104",-0.668974639022341,"bound3",-0.587975742102818,"X3",8
"105",-0.756238967932938,"bound3",-0.59361610619343,"X3",9
"106",-0.0756644562350713,"bound3",-0.0768887093308776,"X3",9
"107",-0.35663430974914,"bound3",-0.368105521753551,"X3",9
"108",-0.141900033897248,"bound3",-0.274249448496504,"X3",9
"109",-0.315962902544021,"bound3",-0.303972563429926,"X3",9
"110",-0.103781652469316,"bound3",-0.112605786259004,"X3",9
"111",-0.0884287091992599,"bound3",-0.0672069161482488,"X3",9
"112",-0.390666966235015,"bound3",-0.327660852741575,"X3",9
"113",-0.0337621296320825,"bound3",-0.042245722235471,"X3",9
"114",-0.0405867868706773,"bound3",-0.0402206538797427,"X3",9
"115",-0.376698133156821,"bound3",-0.2447685486961,"X3",9
"116",-0.0799436036181829,"bound3",-0.20975384006067,"X3",9
"117",-0.579220804578274,"bound3",-0.414329628687408,"X3",9
"118",-0.117048696579216,"bound3",-0.112178699531918,"X3",10
"119",-0.430562740733343,"bound3",-0.521077383792459,"X3",10
"120",-0.283146838298756,"bound3",-0.202510485555584,"X3",10
"121",-0.120751575462667,"bound4",-0.416087660092534,"X4",10
"122",-1.30289081120808,"bound4",-0.783368065109968,"X4",10
"123",-0.208033641345881,"bound4",-0.702276177690495,"X4",10
"124",-0.375628662239448,"bound4",-0.394711245011136,"X4",10
"125",-0.68684881597724,"bound4",-0.829883928566697,"X4",10
"126",-0.202916153160166,"bound4",-0.378601265365765,"X4",10
"127",-0.796317474811089,"bound4",-0.823624325648496,"X4",10
"128",-0.334204194369668,"bound4",-0.495078610051329,"X4",10
"129",-0.711558595043834,"bound4",-0.666643205037099,"X4",10
"130",-0.621871592117744,"bound4",-0.717006348697955,"X4",10
"131",-0.407407632628172,"bound4",-0.340991134097088,"X4",11
"132",-0.524209860836295,"bound4",-1.06821223131353,"X4",11
"133",-0.969048093211436,"bound4",-0.897245161795968,"X4",11
"134",-0.422333579564779,"bound4",-0.336872382551545,"X4",11
"135",-0.671496659579606,"bound4",-0.615608051429756,"X4",11
"136",-0.494848048288282,"bound4",-0.458635929481668,"X4",11
"137",-0.76864004831226,"bound4",-0.596548236003211,"X4",11
"138",-0.149508714770811,"bound4",-0.360370805429528,"X4",11
"139",-0.717870195793899,"bound4",-0.735557039745617,"X4",11
"140",-0.443485740384011,"bound4",-0.608553393087586,"X4",11
"141",-0.669871643975155,"bound4",-0.719874200350956,"X4",11
"142",-0.507182197030619,"bound4",-0.446058449205027,"X4",11
"143",-0.528250863790477,"bound4",-0.611062388411282,"X4",11
"144",-0.505046498677961,"bound4",-0.637455207194801,"X4",12
"145",-0.842998041605997,"bound4",-0.748215412947183,"X4",12
"146",-0.283069545860359,"bound4",-0.279779422485755,"X4",12
"147",-0.84242539191962,"bound4",-0.684248051789956,"X4",12
"148",-0.402444018463851,"bound4",-0.560274284103367,"X4",12
"149",-1.34722766874314,"bound4",-1.17350069006461,"X4",12
"150",-1.06293619652004,"bound4",-1.04329340977249,"X4",12
"151",-1.01123598420728,"bound4",-0.802196467435981,"X4",12
"152",-0.293907034813927,"bound4",-0.353041007676485,"X4",12
"153",-0.328827273914652,"bound4",-0.387110321775026,"X4",12
"154",-0.40362700074669,"bound4",-0.51531685075923,"X4",12
"155",-0.809265880782628,"bound4",-0.500686978354348,"X4",12
"156",-0.348407894775331,"bound4",-0.827164886035862,"X4",12
"157",-1.04461538723251,"bound4",-0.837329197476039,"X4",13
"158",-1.0314015495429,"bound4",-0.864051196254173,"X4",13
"159",-0.601636009094402,"bound4",-0.744711945549134,"X4",13
"160",-0.818137127331614,"bound4",-0.62369043928495,"X4",13
"161",-0.353750549823977,"bound5",-1.21209727905361,"X5",13
"162",-1.73711648501751,"bound5",-1.15359939513555,"X5",13
"163",-0.296276511778446,"bound5",-1.08705456853569,"X5",13
"164",-1.22508488346726,"bound5",-1.40646892183828,"X5",13
"165",-1.1188757106464,"bound5",-0.812991754069838,"X5",13
"166",-0.66283393669168,"bound5",-1.40261047468394,"X5",13
"167",-0.547962021349222,"bound5",-0.985573094451463,"X5",13
"168",-0.431715245817105,"bound5",-0.808145393385549,"X5",13
"169",-0.761713562308609,"bound5",-1.04780537868026,"X5",13
"170",-0.340579541871236,"bound5",-0.666667277541004,"X5",14
"171",-0.98595373511807,"bound5",-1.00044514740017,"X5",14
"172",-0.668682482359387,"bound5",-0.951357362309474,"X5",14
"173",-0.966887871487155,"bound5",-1.06948463342463,"X5",14
"174",-0.910269060458972,"bound5",-0.870056152386325,"X5",14
"175",-0.938390655119059,"bound5",-1.03967351165998,"X5",14
"176",-1.09901616283708,"bound5",-1.0629497554776,"X5",14
"177",-1.43824196222334,"bound5",-0.866869927901989,"X5",14
"178",-0.909817981775018,"bound5",-0.851403628067269,"X5",14
"179",-0.858456416781567,"bound5",-1.06028110696248,"X5",14
"180",-1.39189554856793,"bound5",-1.29993681720141,"X5",14
"181",-0.989291630277168,"bound5",-1.13593119645359,"X5",14
