"","fitted","parameter","generating","NA","set"
"1",0.141443454540974,"bound1",0.124425492702173,"X1",1
"2",0.134910811003928,"bound1",0.125438059876601,"X1",1
"3",0.040029325722139,"bound1",0.0538055268500915,"X1",1
"4",0.0888193478633093,"bound1",0.0776833229474682,"X1",1
"5",0.0746832225007143,"bound1",0.0521982663182656,"X1",1
"6",0.0269035090360387,"bound1",0.0245774750447549,"X1",1
"7",0.121252522000971,"bound1",0.133745564159501,"X1",1
"8",0.116935304432714,"bound1",0.128715620396565,"X1",1
"9",0.126047514226216,"bound1",0.124740800736227,"X1",1
"10",0.0527154900149446,"bound1",0.0629447521486318,"X1",1
"11",0.0806155574908913,"bound1",0.0944266816780183,"X1",1
"12",-0.111828663437546,"bound1",-0.0718147770491323,"X1",2
"13",0.00325163077433977,"bound1",-0.0143231666079194,"X1",2
"14",0.111248753767075,"bound1",0.107933500612383,"X1",2
"15",-0.0118201416726859,"bound1",-0.0114863612139906,"X1",2
"16",-0.00380316198044268,"bound1",-0.00606961284648699,"X1",2
"17",0.120994157414117,"bound1",0.118799316670296,"X1",2
"18",0.0668154620343914,"bound1",0.098104011271315,"X1",2
"19",0.136652799967952,"bound1",0.134840186244312,"X1",2
"20",0.103899822053916,"bound1",0.135450827886759,"X1",2
"21",0.0898649102161035,"bound1",0.0726880429561726,"X1",2
"22",0.0987614470229881,"bound1",0.104197774255666,"X1",2
"23",0.122573689530147,"bound1",0.104519463776239,"X1",3
"24",0.113020434623699,"bound1",0.0930498032439501,"X1",3
"25",0.103182023052245,"bound1",0.0950856938333263,"X1",3
"26",0.0965518174574018,"bound1",0.111204786679426,"X1",3
"27",0.0868180839858923,"bound1",0.0668781809856687,"X1",3
"28",0.108563972495306,"bound1",0.107402825953958,"X1",3
"29",0.0859618229750028,"bound1",0.0929707094742209,"X1",3
"30",-0.020792551613713,"bound1",-0.0595333446578086,"X1",3
"31",0.127453608623908,"bound1",0.1311540847208,"X1",3
"32",0.0934453672172545,"bound1",0.0958524851425829,"X1",3
"33",0.0496719631890181,"bound1",0.0786828577294119,"X1",3
"34",0.0803503475474116,"bound1",0.092409363976693,"X1",4
"35",0.0115741129614804,"bound1",0.00861085823531127,"X1",4
"36",0.13259372429899,"bound1",0.119775552557479,"X1",4
"37",0.134259888850254,"bound1",0.132349070323519,"X1",4
"38",0.0764619147210947,"bound1",0.104652083552837,"X1",4
"39",0.0999743702138447,"bound1",0.0891964330938398,"X1",4
"40",0.0719745004991797,"bound1",0.084112640547968,"X1",4
"41",-0.212781280778301,"bound2",-0.193392882488122,"X2",4
"42",-0.000475929989370034,"bound2",-0.000547037263191455,"X2",4
"43",-0.299953466078224,"bound2",-0.445145322083515,"X2",4
"44",-0.345392535142175,"bound2",-0.313718312616069,"X2",4
"45",-0.486693815167283,"bound2",-0.423919866073996,"X2",5
"46",-0.291927149718489,"bound2",-0.264573799502702,"X2",5
"47",-0.001649891740545,"bound2",-0.00278350853827926,"X2",5
"48",-0.0891181828645425,"bound2",-0.0913444751876721,"X2",5
"49",-0.213770185040173,"bound2",-0.165444825228897,"X2",5
"50",-0.319410659231915,"bound2",-0.318582961909845,"X2",5
"51",-0.0230019974262529,"bound2",-0.0382314405430827,"X2",5
"52",-0.0625411982415331,"bound2",-0.0808199774897902,"X2",5
"53",-0.0475908700677363,"bound2",-0.0568339147701885,"X2",5
"54",-0.23490060314311,"bound2",-0.208978865146509,"X2",5
"55",-0.20945179851246,"bound2",-0.219294031700324,"X2",5
"56",-0.0232981262434093,"bound2",-0.0297114151027045,"X2",6
"57",-0.144774014263705,"bound2",-0.181656484413282,"X2",6
"58",-0.0631278676273063,"bound2",-0.0806435971140174,"X2",6
"59",-0.278979206079675,"bound2",-0.278486548527862,"X2",6
"60",-0.31541008032625,"bound2",-0.492250964540812,"X2",6
"61",-0.308371472286823,"bound2",-0.295080871137757,"X2",6
"62",-0.246872026980587,"bound2",-0.285095352018964,"X2",6
"63",-0.135202453457396,"bound2",-0.0849399972905029,"X2",6
"64",-0.0206950807631887,"bound2",-0.0159122253729512,"X2",6
"65",-0.0691934637567128,"bound2",-0.0542533819668746,"X2",6
"66",-0.264185624935934,"bound2",-0.260671652261704,"X2",6
"67",-0.178865400244797,"bound2",-0.196803734031861,"X2",7
"68",-0.0483308698044272,"bound2",-0.0406673033591187,"X2",7
"69",-0.277653201529827,"bound2",-0.32174493968771,"X2",7
"70",-0.0909684989367995,"bound2",-0.14537700886381,"X2",7
"71",-0.0102214058301672,"bound2",-0.00899546510795047,"X2",7
"72",-0.0449828853303693,"bound2",-0.0406147617299372,"X2",7
"73",-0.246910954019583,"bound2",-0.22464421801091,"X2",7
"74",-0.0180202607283774,"bound2",-0.0204033358468644,"X2",7
"75",-0.020092562214431,"bound2",-0.0209736694927742,"X2",7
"76",-0.0792611891079734,"bound2",-0.0675947026680142,"X2",7
"77",-0.207468777615144,"bound2",-0.222476579895908,"X2",7
"78",-0.0812958206651683,"bound2",-0.10057470109207,"X2",8
"79",-0.00607533131024332,"bound2",-0.00932744320572829,"X2",8
"80",-0.268925864593899,"bound2",-0.298639713667454,"X2",8
"81",-0.199808305251185,"bound3",-0.205879735377922,"X3",8
"82",-0.489361893599803,"bound3",-0.437160882865229,"X3",8
"83",-0.197327679943952,"bound3",-0.304626047388121,"X3",8
"84",-0.221162735806046,"bound3",-0.160448806055059,"X3",8
"85",-0.21505982613004,"bound3",-0.327494815153126,"X3",8
"86",-0.574532165581994,"bound3",-0.516384411473942,"X3",8
"87",-0.548856083496986,"bound3",-0.470347122617167,"X3",8
"88",-0.318430785360352,"bound3",-0.344325320056492,"X3",8
"89",-0.313077717352176,"bound3",-0.349789363621454,"X3",9
"90",-0.155146856315868,"bound3",-0.337948216516142,"X3",9
"91",-0.21767997552185,"bound3",-0.299895144578325,"X3",9
"92",-0.456506444341533,"bound3",-0.376469763938374,"X3",9
"93",-0.551821690203735,"bound3",-0.582078064650775,"X3",9
"94",-0.317115289482925,"bound3",-0.322584317230796,"X3",9
"95",-0.179551576000334,"bound3",-0.172239715390037,"X3",9
"96",-0.106393606754968,"bound3",-0.0990977416557308,"X3",9
"97",-0.379380207580978,"bound3",-0.407075952416959,"X3",9
