"","fitted","parameter","generating","NA","set"
"1",0.122471126220318,"bound1",0.124425492702173,"X1",1
"2",0.118723689325726,"bound1",0.125438059876601,"X1",1
"3",0.0533264299566925,"bound1",0.0538055268500915,"X1",1
"4",0.0846739909941651,"bound1",0.0776833229474682,"X1",1
"5",0.0500896628691315,"bound1",0.0521982663182656,"X1",1
"6",0.0233760824881776,"bound1",0.0245774750447549,"X1",1
"7",0.13297583600662,"bound1",0.133745564159501,"X1",1
"8",0.135681246552299,"bound1",0.128715620396565,"X1",1
"9",0.123805849000237,"bound1",0.124740800736227,"X1",1
"10",0.0638062597160052,"bound1",0.0629447521486318,"X1",1
"11",0.0844319035925257,"bound1",0.0944266816780183,"X1",1
"12",-0.0774613150902974,"bound1",-0.0718147770491323,"X1",2
"13",-0.00716502437840196,"bound1",-0.0143231666079194,"X1",2
"14",0.109788267113523,"bound1",0.107933500612383,"X1",2
"15",-0.011501294139751,"bound1",-0.0114863612139906,"X1",2
"16",-0.0111755796078102,"bound1",-0.00606961284648699,"X1",2
"17",0.118987789558228,"bound1",0.118799316670296,"X1",2
"18",0.100321315202117,"bound1",0.098104011271315,"X1",2
"19",0.13486032227684,"bound1",0.134840186244312,"X1",2
"20",0.136073454823881,"bound1",0.135450827886759,"X1",2
"21",0.079233028227406,"bound1",0.0726880429561726,"X1",2
"22",0.106148524578947,"bound1",0.104197774255666,"X1",2
"23",0.112437125360929,"bound1",0.104519463776239,"X1",3
"24",0.0907358619288584,"bound1",0.0930498032439501,"X1",3
"25",0.0882388368412305,"bound1",0.0950856938333263,"X1",3
"26",0.113922465670325,"bound1",0.111204786679426,"X1",3
"27",0.0680586848637868,"bound1",0.0668781809856687,"X1",3
"28",0.103528941342914,"bound1",0.107402825953958,"X1",3
"29",0.0949272319224482,"bound1",0.0929707094742209,"X1",3
"30",-0.0534067479559127,"bound1",-0.0595333446578086,"X1",3
"31",0.127228761172466,"bound1",0.1311540847208,"X1",3
"32",0.0870456683654908,"bound1",0.0958524851425829,"X1",3
"33",0.0818553452941741,"bound1",0.0786828577294119,"X1",3
"34",0.0935831459432423,"bound1",0.092409363976693,"X1",4
"35",0.0148818275213517,"bound1",0.00861085823531127,"X1",4
"36",0.12338706146314,"bound1",0.119775552557479,"X1",4
"37",0.127087913847755,"bound1",0.132349070323519,"X1",4
"38",0.103253324022614,"bound1",0.104652083552837,"X1",4
"39",0.0892118701697419,"bound1",0.0891964330938398,"X1",4
