"","fitted","parameter","generating","NA","set"
"1",0.120344282854409,"bound1",0.124425492702173,"X1",1
"2",0.129140063411593,"bound1",0.125438059876601,"X1",1
"3",0.0227994670593248,"bound1",0.0538055268500915,"X1",1
"4",0.0918874458729696,"bound1",0.0776833229474682,"X1",1
"5",0.0696905314644998,"bound1",0.0521982663182656,"X1",1
"6",0.025261235316917,"bound1",0.0245774750447549,"X1",1
"7",0.132454132710888,"bound1",0.133745564159501,"X1",1
"8",0.147417241511084,"bound1",0.128715620396565,"X1",1
"9",0.123761128065439,"bound1",0.124740800736227,"X1",1
"10",0.0763365275863228,"bound1",0.0629447521486318,"X1",1
"11",0.072687558143369,"bound1",0.0944266816780183,"X1",1
"12",-0.0875735636064507,"bound1",-0.0718147770491323,"X1",2
"13",-0.00268883797810092,"bound1",-0.0143231666079194,"X1",2
"14",0.10934815681524,"bound1",0.107933500612383,"X1",2
"15",-0.0355587444898013,"bound1",-0.0114863612139906,"X1",2
"16",0.0200190600181167,"bound1",-0.00606961284648699,"X1",2
"17",0.111641005369786,"bound1",0.118799316670296,"X1",2
"18",0.100501606413072,"bound1",0.098104011271315,"X1",2
"19",0.131848434320804,"bound1",0.134840186244312,"X1",2
"20",0.147160511624067,"bound1",0.135450827886759,"X1",2
"21",0.0764625902517772,"bound1",0.0726880429561726,"X1",2
"22",0.122777300629435,"bound1",0.104197774255666,"X1",2
"23",0.0954119868312117,"bound1",0.104519463776239,"X1",3
"24",0.12829864329497,"bound1",0.0930498032439501,"X1",3
"25",0.0815186461015328,"bound1",0.0950856938333263,"X1",3
"26",0.0996440113380489,"bound1",0.111204786679426,"X1",3
"27",0.047246785067618,"bound1",0.0668781809856687,"X1",3
"28",0.103457964740473,"bound1",0.107402825953958,"X1",3
"29",0.0987903839074483,"bound1",0.0929707094742209,"X1",3
"30",-0.0437505784182172,"bound1",-0.0595333446578086,"X1",3
"31",0.152538013770806,"bound1",0.1311540847208,"X1",3
"32",0.111510862768312,"bound1",0.0958524851425829,"X1",3
"33",0.0857143172136386,"bound1",0.0786828577294119,"X1",3
"34",0.102137985328051,"bound1",0.092409363976693,"X1",4
"35",0.00504574940145529,"bound1",0.00861085823531127,"X1",4
"36",0.115464141206744,"bound1",0.119775552557479,"X1",4
"37",0.131719999785566,"bound1",0.132349070323519,"X1",4
"38",0.0944241374781623,"bound1",0.104652083552837,"X1",4
"39",0.0713333100191095,"bound1",0.0891964330938398,"X1",4
"40",0.0830554708798605,"bound1",0.084112640547968,"X1",4
"41",-0.186843054942939,"bound2",-0.193392882488122,"X2",4
"42",-0.000184001607145492,"bound2",-0.000547037263191455,"X2",4
"43",-0.363831253344849,"bound2",-0.445145322083515,"X2",4
"44",-0.37128055011187,"bound2",-0.313718312616069,"X2",4
