"","fitted","parameter","generating","NA","set"
"1",0.125223507068464,"bound1",0.124425492702173,"X1",1
"2",0.124012299690943,"bound1",0.125438059876601,"X1",1
"3",0.0493656820638088,"bound1",0.0538055268500915,"X1",1
"4",0.07714127990037,"bound1",0.0776833229474682,"X1",1
"5",0.0598904689055514,"bound1",0.0521982663182656,"X1",1
"6",0.0279991377075713,"bound1",0.0245774750447549,"X1",1
"7",0.134957123790413,"bound1",0.133745564159501,"X1",1
"8",0.134493863413958,"bound1",0.128715620396565,"X1",1
"9",0.12605493935109,"bound1",0.124740800736227,"X1",1
"10",0.0657864446411132,"bound1",0.0629447521486318,"X1",1
"11",0.0902642951312399,"bound1",0.0944266816780183,"X1",1
"12",-0.0864918655753209,"bound1",-0.0718147770491323,"X1",2
"13",-0.0180685685499132,"bound1",-0.0143231666079194,"X1",2
"14",0.108409269162883,"bound1",0.107933500612383,"X1",2
"15",0.013174459823789,"bound1",-0.0114863612139906,"X1",2
"16",-0.00573663274880232,"bound1",-0.00606961284648699,"X1",2
"17",0.120904856177599,"bound1",0.118799316670296,"X1",2
"18",0.098753889785932,"bound1",0.098104011271315,"X1",2
"19",0.131799782158661,"bound1",0.134840186244312,"X1",2
"20",0.139649676180678,"bound1",0.135450827886759,"X1",2
"21",0.0782873319443864,"bound1",0.0726880429561726,"X1",2
"22",0.105032016422575,"bound1",0.104197774255666,"X1",2
"23",0.111125120533537,"bound1",0.104519463776239,"X1",3
"24",0.0936159576274727,"bound1",0.0930498032439501,"X1",3
"25",0.0996388249764298,"bound1",0.0950856938333263,"X1",3
"26",0.119618458128068,"bound1",0.111204786679426,"X1",3
"27",0.0606452675260855,"bound1",0.0668781809856687,"X1",3
"28",0.113170367627816,"bound1",0.107402825953958,"X1",3
"29",0.0959787194600419,"bound1",0.0929707094742209,"X1",3
"30",-0.0521062349556047,"bound1",-0.0595333446578086,"X1",3
"31",0.133350643223538,"bound1",0.1311540847208,"X1",3
"32",0.101135845065979,"bound1",0.0958524851425829,"X1",3
"33",0.0781697668798844,"bound1",0.0786828577294119,"X1",3
"34",0.0852181740627086,"bound1",0.092409363976693,"X1",4
"35",0.0142677462023945,"bound1",0.00861085823531127,"X1",4
"36",0.122318423873684,"bound1",0.119775552557479,"X1",4
"37",0.131756447664263,"bound1",0.132349070323519,"X1",4
"38",0.104828996245611,"bound1",0.104652083552837,"X1",4
"39",0.0932820868184453,"bound1",0.0891964330938398,"X1",4
"40",0.081172882838353,"bound1",0.084112640547968,"X1",4
"41",-0.200448877750543,"bound2",-0.193392882488122,"X2",4
"42",-0.00105210992852908,"bound2",-0.000547037263191455,"X2",4
"43",-0.471022114084116,"bound2",-0.445145322083515,"X2",4
"44",-0.296316712478344,"bound2",-0.313718312616069,"X2",4
"45",-0.42497368279632,"bound2",-0.423919866073996,"X2",5
"46",-0.253176184644127,"bound2",-0.264573799502702,"X2",5
"47",-0.0018683495674796,"bound2",-0.00278350853827926,"X2",5
