"","parameter","cor(generating, fitted)"
"1","exp",0.9882925888939
"2","k1",0.998553511051748
"3","k2",0.99832832970379
"4","k3",0.99638791845927
"5","k4",0.998532816234468
"6","k5",0.995330506794611
"7","k6",0.993850157465697
"8","k7",0.982871778427273
"9","m1",0.996727130672534
"10","m2",0.995432041946977
"11","m3",0.994770406154012
"12","m4",0.99470599438329
"13","m5",0.980961011356613
"14","m6",0.958443650712742
"15","m7",0.92858702546774
"16","sigma1",0.983516137578917
"17","sigma2",0.994447687364456
"18","sigma3",0.998315838754374
"19","sigma4",0.998992718946375
