"","parameter","cor(generating, fitted)"
"1","exp",0.874215143485932
"2","k1",0.983584582265836
"3","k2",0.982844529951423
"4","k3",0.980320001792725
"5","k4",0.975544261574076
"6","k5",0.96078677793658
"7","k6",0.896910335108535
"8","k7",0.841062360463913
"9","m1",0.970692245464433
"10","m2",0.980118888023365
"11","m3",0.976819198822516
"12","m4",0.953159653602546
"13","m5",0.876806860439759
"14","m6",0.757166917500401
"15","m7",0.440788928018023
"16","sigma1",0.888818851283439
"17","sigma2",0.962581556616275
"18","sigma3",0.978726351153503
"19","sigma4",0.981652695032373
