"","parameter","cor(generating, fitted)"
"1","exp",0.572898715713581
"2","k1",0.953826807411402
"3","k2",0.94264045172825
"4","k3",0.897309213527033
"5","k4",0.94105586500066
"6","k5",0.836891216675346
"7","k6",0.686443767503344
"8","k7",0.727235311547152
"9","m1",0.884041794817085
"10","m2",0.888570663437196
"11","m3",0.875823948118646
"12","m4",0.862601661622504
"13","m5",0.758080330702514
"14","m6",0.58094016011338
"15","m7",0.48230976302072
"16","psi",0.335902660499174
"17","sigma1",0.853243434009823
"18","sigma2",0.870283938598511
"19","sigma3",0.857537223499521
"20","sigma4",0.768031086610138
