"","parameter","cor(generating, fitted)"
"1","exp",0.96997555362355
"2","k1",0.995403106309007
"3","k2",0.994403623858254
"4","k3",0.991112165044479
"5","k4",0.995163370517242
"6","k5",0.986535873446727
"7","k6",0.97545333789022
"8","k7",0.959351363232311
"9","m1",0.988906834476188
"10","m2",0.98347300815169
"11","m3",0.975120300871912
"12","m4",0.989319710427363
"13","m5",0.967693271399664
"14","m6",0.945943423218971
"15","m7",0.806191148409759
"16","psi",0.828016530252558
"17","sigma1",0.961321759800366
"18","sigma2",0.9860174667127
"19","sigma3",0.984510033270297
"20","sigma4",0.987604115914947
