"","parameter","cor(generating, fitted)"
"1","exp",0.644668953956372
"2","k1",0.977053332056256
"3","k2",0.952530691385938
"4","k3",0.94816882742479
"5","k4",0.929792088873095
"6","k5",0.863443285687169
"7","k6",0.9030835087956
"8","k7",0.691544555654036
"9","m1",0.947195273321262
"10","m2",0.886980946784701
"11","m3",0.878750106587524
"12","m4",0.924046594048808
"13","m5",0.659757385005349
"14","m6",0.741892266376441
"15","m7",0.504958806125581
"16","psi",0.320162629290919
"17","sigma1",0.88384609177251
"18","sigma2",0.854182299098523
"19","sigma3",0.92060782143683
"20","sigma4",0.899403784065518
