"","parameter","cor(generating, fitted)"
"1","exp",0.945228930523878
"2","k1",0.964496736275388
"3","k2",0.920931915552944
"4","k3",0.961095773153529
"5","k4",0.7968888480559
"6","k5",0.859228893508675
"7","k6",0.907820027126842
"8","k7",0.855663369486183
"9","m1",0.95172768893357
"10","m2",0.929367970507868
"11","m3",0.941639278186331
"12","m4",0.93071180813981
"13","m5",0.940560379816068
"14","m6",0.905803408472303
"15","m7",0.800619072902442
"16","sigma1",0.981671113159109
"17","sigma2",0.981602847372471
"18","sigma3",0.96126848519484
"19","sigma4",0.976228450603414
