"","parameter","cor(generating, fitted)"
"1","k1",0.936114334380509
"2","k2",0.973187374959063
"3","k3",0.968924647151753
"4","k4",0.862733840822361
"5","k5",0.797782801803592
"6","k6",0.815969187700441
"7","k7",0.605558887654491
"8","m1",0.945633552263357
"9","m2",0.951607319788341
"10","m3",0.97675919205151
"11","m4",0.873301849984859
"12","m5",0.855094911264535
"13","m6",0.688798677761378
"14","m7",0.508320370515193
"15","sigma1",0.649159156756648
"16","sigma2",0.760962421546963
"17","sigma3",0.785572126897008
"18","sigma4",0.927310297579556
