"","parameter","cor(generating, fitted)"
"1","k1",0.997628770709975
"2","k2",0.997490693116564
"3","k3",0.994431591652102
"4","k4",0.99110002063938
"5","k5",0.96847751042951
"6","k6",0.970945392373223
"7","k7",0.936775701873045
"8","m1",0.997323025262409
"9","m2",0.9966589672765
"10","m3",0.996605007874259
"11","m4",0.992924996886416
"12","m5",0.977186071150322
"13","m6",0.925785283043286
"14","m7",0.897231684239455
"15","sigma1",0.970079222637043
"16","sigma2",0.984771180327658
"17","sigma3",0.985760469824738
"18","sigma4",0.995170810099115
