"","parameter","cor(generating, fitted)"
"1","k1",0.997452189659622
"2","k2",0.998025796393325
"3","k3",0.997737188678542
"4","k4",0.993270137531412
"5","k5",0.979098695251763
"6","k6",0.967776161652688
"7","k7",0.935099876986822
"8","m1",0.996002272898673
"9","m2",0.996975234597169
"10","m3",0.996722575781699
"11","m4",0.995798620724433
"12","m5",0.9806201776759
"13","m6",0.947523983906603
"14","m7",0.749110644904608
"15","sigma1",0.959739670153823
"16","sigma2",0.982037058902075
"17","sigma3",0.993188273188595
"18","sigma4",0.994756877778744
