"","parameter","cor(generating, fitted)"
"1","k1",0.987214371879547
"2","k2",0.981603274234466
"3","k3",0.964934312613661
"4","k4",0.96089399490647
"5","k5",0.936109464383542
"6","k6",0.961654329233723
"7","k7",0.692115223211074
"8","m1",0.965901666587704
"9","m2",0.953714011600752
"10","m3",0.96422966577712
"11","m4",0.96823078804169
"12","m5",0.88803303762916
"13","m6",0.802396072590851
"14","m7",0.453644157002488
"15","sigma1",0.765197669386695
"16","sigma2",0.904017984485448
"17","sigma3",0.963512863095863
"18","sigma4",0.979861297769462
