"","parameter","cor(generating, fitted)"
"1","k1",0.998924887452778
"2","k2",0.998688109935239
"3","k3",0.997990048483093
"4","k4",0.997502325632426
"5","k5",0.991301286266988
"6","k6",0.984254601814403
"7","k7",0.973594491886614
"8","m1",0.998651105858295
"9","m2",0.997870176338662
"10","m3",0.998274422197068
"11","m4",0.99759371992983
"12","m5",0.991762317073846
"13","m6",0.97740334262118
"14","m7",0.944542563790394
"15","sigma1",0.988710278315646
"16","sigma2",0.992844086300807
"17","sigma3",0.997922974080728
"18","sigma4",0.998601608141637
