"","parameter","cor(generating, fitted)"
"1","k1",0.996412241318704
"2","k2",0.991338377062208
"3","k3",0.988549693292651
"4","k4",0.977454136844287
"5","k5",0.941219699713184
"6","k6",0.958041686346475
"7","k7",0.85942905051887
"8","m1",0.989620844373426
"9","m2",0.975909229560735
"10","m3",0.987827129666169
"11","m4",0.980216605049286
"12","m5",0.911327442676351
"13","m6",0.821373847253522
"14","m7",0.566334090279952
"15","sigma1",0.880037012078793
"16","sigma2",0.964165319408682
"17","sigma3",0.988013836663745
"18","sigma4",0.989595055474206
