"","fitted","parameter","generating","NA","set"
"1",0.370178532184876,"k1",0.392349445813753,"X1",1
"2",0.508969962420995,"k1",0.493470686546163,"X1",1
"3",0.0239457924361343,"k1",0.0328210302760291,"X1",1
"4",0.122020734749125,"k1",0.13547564982173,"X1",1
"5",0.285079175074887,"k1",0.335058715699023,"X1",1
"6",0.454236262910156,"k1",0.513629720392963,"X1",1
"7",-0.35074793203509,"k1",-0.369507388610355,"X1",1
"8",0.0463552249777794,"k1",0.0591472758565728,"X1",1
"9",0.253255932549263,"k1",0.260987020320063,"X1",1
"10",0.228008820477218,"k1",0.216944883642573,"X1",1
"11",0.123551370024984,"k1",0.157093595415056,"X1",1
"12",-0.017324787705137,"k1",-0.0130354016884395,"X1",1
"13",-0.00107174797346143,"k1",0.00867870140114912,"X1",1
"14",0.743353797600545,"k1",0.735517955523556,"X1",1
"15",0.0277555679674586,"k1",0.0180210553355087,"X1",1
"16",0.366303149785799,"k1",0.34257935889652,"X1",1
"17",0.0845794811865447,"k1",0.0622948821592947,"X1",1
"18",0.255883895610015,"k1",0.23512166439425,"X1",1
"19",0.187166980858876,"k1",0.189528504985321,"X1",1
"20",0.0778764572420887,"k1",0.0547386783405821,"X1",2
"21",-0.0305199550289211,"k1",-0.0766196697555099,"X1",2
"22",-0.0661999504047171,"k1",-0.0841130646236529,"X1",2
"23",0.127329428563753,"k1",0.113957302202987,"X1",2
"24",0.230131932466399,"k1",0.245715930639498,"X1",2
"25",0.513387645439925,"k1",0.49319563324417,"X1",2
"26",0.230286385747524,"k1",0.17073376282601,"X1",2
"27",0.435725137638037,"k1",0.374852493997345,"X1",2
"28",0.382692632583058,"k1",0.332734500629757,"X1",2
"29",0.172565543020772,"k1",0.196336276265227,"X1",2
"30",0.0854335085782178,"k1",0.0750659789040997,"X1",2
"31",0.243125768570302,"k1",0.11304587345358,"X1",2
"32",0.163890465981881,"k1",0.112807860069327,"X1",2
"33",0.362544031316604,"k1",0.424530308305122,"X1",2
"34",0.194835052218166,"k1",0.199857864054172,"X1",2
"35",0.113797789719714,"k1",0.10030374241124,"X1",2
"36",0.320211179888928,"k1",0.295507999130012,"X1",2
"37",0.403091342497433,"k1",0.383755561059763,"X1",2
"38",0.244072740331213,"k1",0.226509091922126,"X1",2
"39",0.336022517744305,"k1",0.280500877483936,"X1",3
"40",0.139680408610571,"k1",0.147062287428211,"X1",3
"41",0.870224178657183,"k2",0.834486392717991,"X2",3
