"","fitted","parameter","generating","NA","set"
"1",0.386024896469081,"k1",0.392349445813753,"X1",1
"2",0.506516627605528,"k1",0.493470686546163,"X1",1
"3",0.0326987402584506,"k1",0.0328210302760291,"X1",1
"4",0.133705352113022,"k1",0.13547564982173,"X1",1
"5",0.346427386590094,"k1",0.335058715699023,"X1",1
"6",0.542401635732182,"k1",0.513629720392963,"X1",1
"7",-0.421755689129886,"k1",-0.369507388610355,"X1",1
"8",0.0586411837409163,"k1",0.0591472758565728,"X1",1
"9",0.271214795484864,"k1",0.260987020320063,"X1",1
"10",0.220176857619437,"k1",0.216944883642573,"X1",1
"11",0.1595440855459,"k1",0.157093595415056,"X1",1
"12",-0.0137914018364648,"k1",-0.0130354016884395,"X1",1
"13",0.00798568706968018,"k1",0.00867870140114912,"X1",1
"14",0.728672736147997,"k1",0.735517955523556,"X1",1
"15",0.0214686735131577,"k1",0.0180210553355087,"X1",1
"16",0.335547886318328,"k1",0.34257935889652,"X1",1
"17",0.0687562708811182,"k1",0.0622948821592947,"X1",1
"18",0.231580405193509,"k1",0.23512166439425,"X1",1
"19",0.184657180554382,"k1",0.189528504985321,"X1",1
"20",0.0613169532013439,"k1",0.0547386783405821,"X1",2
"21",-0.0844452418356443,"k1",-0.0766196697555099,"X1",2
"22",-0.0910929087161478,"k1",-0.0841130646236529,"X1",2
"23",0.119285032265014,"k1",0.113957302202987,"X1",2
"24",0.257491865826418,"k1",0.245715930639498,"X1",2
"25",0.488957584720765,"k1",0.49319563324417,"X1",2
"26",0.180021898728877,"k1",0.17073376282601,"X1",2
"27",0.363835667416477,"k1",0.374852493997345,"X1",2
"28",0.339380125959016,"k1",0.332734500629757,"X1",2
"29",0.198356851466982,"k1",0.196336276265227,"X1",2
"30",0.084446094689728,"k1",0.0750659789040997,"X1",2
"31",0.0988874021232898,"k1",0.11304587345358,"X1",2
"32",0.115381772580099,"k1",0.112807860069327,"X1",2
"33",0.40901621500783,"k1",0.424530308305122,"X1",2
"34",0.19192039982884,"k1",0.199857864054172,"X1",2
"35",0.0944686240761518,"k1",0.10030374241124,"X1",2
"36",0.289941329423622,"k1",0.295507999130012,"X1",2
"37",0.384749878955436,"k1",0.383755561059763,"X1",2
"38",0.228382810197562,"k1",0.226509091922126,"X1",2
"39",0.279999100218136,"k1",0.280500877483936,"X1",3
"40",0.145173956496453,"k1",0.147062287428211,"X1",3
"41",0.829475173866429,"k2",0.834486392717991,"X2",3
"42",0.681844199338374,"k2",0.698683861046267,"X2",3
"43",0.401688318524879,"k2",0.412312922973595,"X2",3
"44",0.268461133939056,"k2",0.264457088281657,"X2",3
"45",0.624202406460785,"k2",0.609623107482992,"X2",3
"46",0.792889411156098,"k2",0.776348945624161,"X2",3
"47",0.467945001452342,"k2",0.477969778429156,"X2",3
"48",0.603373188738482,"k2",0.599184931246547,"X2",3
"49",0.337663727967221,"k2",0.331131518309741,"X2",3
"50",0.35858977809594,"k2",0.364223055589518,"X2",3
"51",0.372806624327775,"k2",0.370456042763208,"X2",3
"52",0.562445000208978,"k2",0.56064272971349,"X2",3
"53",0.469583488008152,"k2",0.482967714405498,"X2",3
"54",0.79268530423012,"k2",0.792766386955658,"X2",3
"55",0.253670700011439,"k2",0.255854410909891,"X2",3
"56",0.335827350347323,"k2",0.338829867651271,"X2",3
"57",0.134954389468847,"k2",0.126441920191843,"X2",3
"58",0.262095780203517,"k2",0.263595105924968,"X2",4
"59",0.874064053207458,"k2",0.856915241584495,"X2",4
"60",0.593520716175027,"k2",0.573516151242622,"X2",4
"61",0.53654601919818,"k2",0.549515229046959,"X2",4
"62",0.111906466645113,"k2",0.116017702166311,"X2",4
"63",0.246217800823035,"k2",0.242677374891332,"X2",4
"64",0.302017023302089,"k2",0.296858647355684,"X2",4
"65",0.752083543736652,"k2",0.746990944882083,"X2",4
"66",0.544179705287518,"k2",0.526824689624952,"X2",4
"67",0.492945964240141,"k2",0.465679930540406,"X2",4
"68",0.49434803398024,"k2",0.497497459098337,"X2",4
"69",0.392281839054153,"k2",0.397093949194091,"X2",4
"70",0.377641480392782,"k2",0.377502190645216,"X2",4
"71",0.564159951964431,"k2",0.556419698908946,"X2",4
"72",0.561811037618555,"k2",0.576473158484377,"X2",4
"73",0.504150535073301,"k2",0.518787555178425,"X2",4
"74",0.673782392762272,"k2",0.682176025539765,"X2",4
"75",0.991396303817048,"k2",0.998834949943551,"X2",4
"76",0.314602160836608,"k2",0.323000524521298,"X2",4
"77",0.787759708106916,"k2",0.811437933603852,"X2",5
"78",0.310152689903799,"k2",0.309410142500399,"X2",5
"79",0.460832541697605,"k2",0.494449555591328,"X2",5
"80",0.695409495746321,"k2",0.697473895199295,"X2",5
"81",0.914844959129025,"k3",0.92935473639852,"X3",5
"82",1.09680821784551,"k3",1.10240502452039,"X3",5
"83",0.726293919460093,"k3",0.721601466736504,"X3",5
