"","fitted","parameter","generating","NA","set"
"1",-0.256691901468698,"k1",-0.192751168854422,"X1",1
"2",0.337572606047832,"k1",0.302163619841578,"X1",1
"3",0.309853075595114,"k1",0.36011143315099,"X1",1
"4",0.202952725228087,"k1",0.156083901197849,"X1",1
"5",0.12310296102754,"k1",0.0748100934790539,"X1",1
"6",0.678061489254701,"k1",0.665175261419554,"X1",1
"7",0.190316846161895,"k1",0.23990384832476,"X1",1
"8",0.270406547195564,"k1",0.269249920912532,"X1",1
"9",0.142481061172225,"k1",0.236434778572126,"X1",1
"10",0.0518625815017327,"k1",0.0548472600881308,"X1",1
"11",0.115436063353868,"k1",0.187522765139045,"X1",1
"12",0.362614018960327,"k1",0.305572145194486,"X1",1
"13",-6.34193379349576e-06,"k1",0.0227613522376953,"X1",1
"14",0.418191886909043,"k1",0.44354211642956,"X1",1
"15",-0.231893990080143,"k1",-0.185713455840247,"X1",1
"16",-0.0038445228057173,"k1",-0.00491102901720603,"X1",1
"17",0.0995669382320377,"k1",0.172909842550627,"X1",1
"18",0.21863252702989,"k1",0.156264806206463,"X1",1
"19",0.0653953909783938,"k1",0.0734374619277663,"X1",1
"20",0.0240404655530402,"k1",0.0512833611997285,"X1",2
"21",0.293533890382843,"k1",0.253731081653331,"X1",2
"22",1.1499115611211,"k1",1.23468388038705,"X1",2
"23",0.229030037443975,"k1",0.190842139128109,"X1",2
"24",-0.0654528677414951,"k1",-0.0555761843744034,"X1",2
"25",-0.0478087533246671,"k1",0.141811262328585,"X1",2
"26",-0.0348126275934082,"k1",-0.0588368798898896,"X1",2
"27",0.288775347425346,"k1",0.331696090555398,"X1",2
"28",0.0443977516158896,"k1",0.146651873139905,"X1",2
"29",0.0800194279289239,"k1",0.0442675737970595,"X1",2
"30",0.445024953357502,"k1",0.465393865642822,"X1",2
"31",0.896156783142742,"k1",0.711487948124122,"X1",2
"32",0.17313071198102,"k1",0.0939197401464501,"X1",2
"33",0.0713385340249167,"k1",0.0353224773006705,"X1",2
"34",0.34313976607439,"k1",0.390150173934439,"X1",2
"35",0.00434969881610919,"k1",0.0126783663618554,"X1",2
"36",0.0478242070493384,"k1",0.0758741741658412,"X1",2
"37",0.470486527120426,"k1",0.564446220652946,"X1",2
"38",0.213034688399611,"k1",0.130399306665421,"X1",2
"39",0.197937472532957,"k1",0.286921954587001,"X1",3
"40",0.418470001687529,"k1",0.262555297861883,"X1",3
"41",0.592278417634127,"k2",0.587535820575212,"X2",3
"42",0.376869263455086,"k2",0.373863022587473,"X2",3
"43",0.328548183111231,"k2",0.40544102608885,"X2",3
"44",0.335910542631867,"k2",0.341220346038952,"X2",3
"45",0.337455002475943,"k2",0.337150127491825,"X2",3
"46",0.709905519453699,"k2",0.688264233085884,"X2",3
"47",0.351318014124593,"k2",0.389008935393447,"X2",3
"48",0.308285094499612,"k2",0.329587429692021,"X2",3
"49",0.672415541870671,"k2",0.826394349636881,"X2",3
"50",0.149082823258316,"k2",0.0701473544881322,"X2",3
"51",0.0755380371195562,"k2",0.187774259399801,"X2",3
"52",0.473012214413396,"k2",0.412820977169517,"X2",3
"53",0.875066613477548,"k2",0.680182096214375,"X2",3
"54",0.433757055150182,"k2",0.456796958845422,"X2",3
"55",0.432173299606929,"k2",0.567911675764494,"X2",3
"56",0.126086841075566,"k2",0.161862939354131,"X2",3
"57",0.231167672135165,"k2",0.231902720521065,"X2",3
"58",0.50139273314261,"k2",0.448705739331783,"X2",4
"59",0.129028567929768,"k2",0.251764591573752,"X2",4
"60",0.0965789897458142,"k2",0.0750915503818932,"X2",4
"61",0.555012191421732,"k2",0.547614165357765,"X2",4
"62",0.0988806769069326,"k2",0.327920720068845,"X2",4
"63",0.730556744107671,"k2",0.71655534051528,"X2",4
"64",0.0425513873448015,"k2",0.0798285075227089,"X2",4
"65",0.18957744143327,"k2",0.41565089274419,"X2",4
"66",0.894051181366188,"k2",0.789669590572756,"X2",4
"67",0.363913684917886,"k2",0.503688328882207,"X2",4
"68",0.240294109192513,"k2",0.304487985975199,"X2",4
"69",0.176058747821367,"k2",0.0661441967498914,"X2",4
"70",0.41178996440137,"k2",0.253743969531793,"X2",4
"71",1.63596740630663,"k2",1.19812240930057,"X2",4
"72",0.865276753396696,"k2",0.86965575418953,"X2",4
"73",0.683160906555086,"k2",0.606006550991432,"X2",4
"74",0.329954899232312,"k2",0.396005075225624,"X2",4
"75",0.125206853781846,"k2",0.129919785034277,"X2",4
"76",0.324906643822378,"k2",0.296700608311874,"X2",4
"77",0.349931647990534,"k2",0.343463096475279,"X2",5
"78",0.134869812623993,"k2",0.252626551039115,"X2",5
"79",0.69144145224933,"k2",0.943309707857233,"X2",5
"80",0.329354640011379,"k2",0.29385203565191,"X2",5
"81",0.621956503476234,"k3",0.542760700684718,"X3",5
"82",0.483778917056163,"k3",0.561911076348674,"X3",5
"83",0.41023416619715,"k3",0.48292236323901,"X3",5
"84",0.399247991923967,"k3",0.393807525955876,"X3",5
"85",0.501346894117904,"k3",0.400163258055466,"X3",5
"86",1.21686190353628,"k3",1.01956024430797,"X3",5
"87",0.636075566135706,"k3",0.663287884122374,"X3",5
"88",0.599728048885266,"k3",0.575180171240861,"X3",5
"89",1.27939274266497,"k3",1.2043414388059,"X3",5
"90",0.745074271896354,"k3",0.740186526453825,"X3",5
"91",1.03850331326632,"k3",0.963876756909328,"X3",5
"92",0.470553935030196,"k3",0.430109739176192,"X3",5
"93",1.16089937640962,"k3",1.07469955351713,"X3",5
"94",0.713009295474868,"k3",0.734503654676054,"X3",5
"95",0.704526575777819,"k3",0.638580214833739,"X3",5
"96",0.448378445626576,"k3",0.414664231974287,"X3",6
"97",0.46075787699289,"k3",0.386949012309551,"X3",6
"98",0.519165973300098,"k3",0.525202579406185,"X3",6
"99",0.389383157079754,"k3",0.396116693596072,"X3",6
"100",0.717636131120779,"k3",0.632061151951891,"X3",6
"101",0.555023104694685,"k3",0.549777194855256,"X3",6
"102",1.8943699920688,"k3",1.62379155566561,"X3",6
"103",0.71006656193837,"k3",0.733165873917619,"X3",6
"104",0.285853208559445,"k3",0.292338409472399,"X3",6
"105",0.59874277117954,"k3",0.8452773979453,"X3",6
"106",1.26575385691055,"k3",1.09966153588531,"X3",6
"107",0.998118184724759,"k3",0.892170573247474,"X3",6
"108",0.657181294533255,"k3",0.575502042520318,"X3",6
"109",0.70223044050708,"k3",0.666557706642747,"X3",6
"110",0.631717277182534,"k3",0.491802330494023,"X3",6
"111",1.30905184825517,"k3",1.22443274545776,"X3",6
"112",0.861913545585544,"k3",0.868190778452372,"X3",6
"113",0.991110759348682,"k3",0.903659040696303,"X3",6
"114",0.896751090437516,"k3",0.742188170091042,"X3",6
"115",0.526905441242252,"k3",0.536636688812386,"X3",7
"116",0.569823944110437,"k3",0.573933219391156,"X3",7
"117",0.76717342621495,"k3",0.717359414368812,"X3",7
"118",0.253545737423994,"k3",0.465317570927579,"X3",7
"119",0.74181851511825,"k3",0.912770310166214,"X3",7
"120",0.894741204586445,"k3",0.88631275223168,"X3",7
"121",0.332831269784565,"k4",0.326706872093494,"X4",7
"122",0.961888957129467,"k4",1.11610370007341,"X4",7
"123",0.738175620541434,"k4",0.792157273860235,"X4",7
"124",0.872863406480279,"k4",0.785456121598212,"X4",7
"125",0.501413921657605,"k4",0.511845406446802,"X4",7
"126",1.15128275847772,"k4",1.05270639648706,"X4",7
"127",0.582493010122275,"k4",0.585238535396714,"X4",7
"128",0.598732035185377,"k4",0.591798526023398,"X4",7
"129",0.971866571569425,"k4",0.906291743064383,"X4",7
"130",0.626236707663889,"k4",0.516802759448954,"X4",7
"131",0.889179205619303,"k4",0.905469962005575,"X4",7
"132",0.487290794648547,"k4",0.554458032404144,"X4",7
"133",1.2237837030083,"k4",1.19598865996768,"X4",7
"134",1.2024728362504,"k4",1.09789653657258,"X4",8
"135",0.901608758534201,"k4",0.773367879710887,"X4",8
"136",0.642298681870073,"k4",0.584871894087758,"X4",8
"137",0.679488101375067,"k4",0.69002396595478,"X4",8
"138",0.568245094502141,"k4",0.598469140523833,"X4",8
"139",0.717305617896077,"k4",0.621401434422244,"X4",8
