"","fitted","parameter","generating","NA","set"
"1",0.20904098506842,"k1",0.207518833263061,"X1",1
"2",0.255732580383947,"k1",0.25273028722766,"X1",1
"3",0.0615140903881936,"k1",0.0521835438262837,"X1",1
"4",0.00066367053072177,"k1",-0.0462081851365137,"X1",1
"5",0.0378358362173571,"k1",0.0349901663076756,"X1",1
"6",0.194959165829734,"k1",0.241063610053027,"X1",1
"7",2.42987595983915e-07,"k1",0.00607449160494131,"X1",1
"8",-0.163659931636661,"k1",-0.139636830143083,"X1",1
"9",-0.0857425928183418,"k1",0.0292050853497198,"X1",1
"10",0.0931634435425066,"k1",0.0545458326383297,"X1",1
"11",0.0138248845793914,"k1",0.0466184679915847,"X1",1
"12",0.264621426445279,"k1",0.288992613901832,"X1",1
"13",-0.0386324480205532,"k1",0.00286703764053833,"X1",1
"14",0.370903283833239,"k1",0.337969413106472,"X1",1
"15",0.673712947499012,"k1",0.673611282166748,"X1",1
"16",0.115295682372176,"k1",0.0869237939491838,"X1",1
"17",0.0519658927698125,"k1",0.0681887926096156,"X1",1
"18",-0.00072588180681156,"k1",0.00949267775527254,"X1",1
"19",0.203806887244808,"k1",0.169437744613197,"X1",2
"20",0.0721265862909639,"k1",0.11800308838026,"X1",2
"21",0.0815412549535047,"k1",0.144363610409387,"X1",2
"22",0.0457134508760591,"k1",0.0459237236287133,"X1",2
"23",-0.00821135992041389,"k1",0.020993527974366,"X1",2
"24",0.208414250847714,"k1",0.190894024391132,"X1",2
"25",0.00716214786559969,"k1",0.00456408190054713,"X1",2
"26",-0.0465101454988046,"k1",-0.00814663308141672,"X1",2
"27",-0.0951403938702361,"k1",-0.0975961819285839,"X1",2
"28",0.0014341409104269,"k1",0.00986813104009054,"X1",2
"29",0.513437202332112,"k1",0.517796500514231,"X1",2
"30",0.108146145561482,"k1",0.0900120390722236,"X1",2
"31",0.61608375926223,"k1",0.618002904480278,"X1",2
"32",0.247596727588825,"k1",0.27220877934374,"X1",2
"33",0.026937288792825,"k1",0.0588484643768156,"X1",2
"34",0.150130013712057,"k1",0.13480490160199,"X1",2
"35",0.384147906357679,"k1",0.400927315139925,"X1",2
"36",0.522513235765268,"k1",0.461945981317474,"X1",2
"37",0.421848786183236,"k1",0.41075283640373,"X1",3
"38",0.190219450886966,"k1",0.184869603839207,"X1",3
"39",-0.0168900451174117,"k1",-0.0107419680472551,"X1",3
"40",0.196525786915991,"k1",0.181778629488418,"X1",3
"41",0.27642311723045,"k2",0.289710054406106,"X2",3
"42",0.334728806357416,"k2",0.349041000216037,"X2",3
"43",0.112045120252271,"k2",0.0927245222440803,"X2",3
"44",0.325479732040276,"k2",0.211134490696204,"X2",3
"45",0.0436615496563417,"k2",0.0386076971726194,"X2",3
"46",0.597831877164244,"k2",0.568838277775716,"X2",3
"47",0.0135517598223515,"k2",0.0373888162632989,"X2",3
"48",0.326822631309149,"k2",0.185874423540231,"X2",3
"49",0.243878846833458,"k2",0.320084666362456,"X2",3
"50",0.42275989804314,"k2",0.416348363081517,"X2",3
"51",0.126362909013666,"k2",0.163373005329736,"X2",3
"52",0.501243060482946,"k2",0.52891884143728,"X2",3
"53",-0.100685901189033,"k2",-0.11255576391786,"X2",3
"54",0.784590989836719,"k2",0.76566753170216,"X2",3
"55",0.607005780857564,"k2",0.612014206751205,"X2",4
"56",0.239097208616018,"k2",0.180503439217751,"X2",4
"57",0.966598868926299,"k2",0.836499080375354,"X2",4
"58",-0.00113915990127158,"k2",0.0109415049393013,"X2",4
"59",0.410015980415859,"k2",0.423759793768206,"X2",4
"60",0.498305436368158,"k2",0.495125052919252,"X2",4
"61",0.0795744205360428,"k2",0.168081886248934,"X2",4
"62",0.232090548720802,"k2",0.216316991644062,"X2",4
"63",0.398594758846597,"k2",0.360660790504493,"X2",4
"64",0.269833977068784,"k2",0.276863922554089,"X2",4
"65",0.354576213541207,"k2",0.308101675911474,"X2",4
"66",0.89407373933994,"k2",0.840386845891299,"X2",4
"67",0.638218563114879,"k2",0.623516660425502,"X2",4
"68",0.0411223007336166,"k2",0.0593910328680171,"X2",4
"69",0.549960016858805,"k2",0.640097499912627,"X2",4
"70",0.573788111925681,"k2",0.572439586089531,"X2",4
"71",0.280219818146765,"k2",0.274942935034899,"X2",4
"72",0.327742331638415,"k2",0.356782349339816,"X2",4
"73",0.273385987341295,"k2",0.275622854858742,"X2",5
