"","fitted","parameter","generating","NA","set"
"1",0.211320509623378,"k1",0.207518833263061,"X1",1
"2",0.257396011001886,"k1",0.25273028722766,"X1",1
"3",0.0544654938373423,"k1",0.0521835438262837,"X1",1
"4",-0.0560390581904441,"k1",-0.0462081851365137,"X1",1
"5",0.0266400802904178,"k1",0.0349901663076756,"X1",1
"6",0.245981739577782,"k1",0.241063610053027,"X1",1
"7",0.00655752506071764,"k1",0.00607449160494131,"X1",1
"8",-0.107507920937525,"k1",-0.139636830143083,"X1",1
"9",0.0301714486384129,"k1",0.0292050853497198,"X1",1
"10",0.0575931036273187,"k1",0.0545458326383297,"X1",1
"11",0.0427825253873701,"k1",0.0466184679915847,"X1",1
"12",0.280485498468484,"k1",0.288992613901832,"X1",1
"13",0.00183418797958775,"k1",0.00286703764053833,"X1",1
"14",0.327060001619626,"k1",0.337969413106472,"X1",1
"15",0.673850770386864,"k1",0.673611282166748,"X1",1
"16",0.0914565437170992,"k1",0.0869237939491838,"X1",1
"17",0.0643654186140672,"k1",0.0681887926096156,"X1",1
"18",0.0103625165440941,"k1",0.00949267775527254,"X1",1
"19",0.183477802178133,"k1",0.169437744613197,"X1",2
"20",0.110748783155394,"k1",0.11800308838026,"X1",2
"21",0.134712215100816,"k1",0.144363610409387,"X1",2
"22",0.0492714394124298,"k1",0.0459237236287133,"X1",2
"23",0.0140283228454037,"k1",0.020993527974366,"X1",2
"24",0.200785437357844,"k1",0.190894024391132,"X1",2
"25",0.00525966471856268,"k1",0.00456408190054713,"X1",2
"26",-0.0081295149636293,"k1",-0.00814663308141672,"X1",2
"27",-0.114417845840118,"k1",-0.0975961819285839,"X1",2
"28",0.0113611296911345,"k1",0.00986813104009054,"X1",2
"29",0.51014925858343,"k1",0.517796500514231,"X1",2
"30",0.0816428196025221,"k1",0.0900120390722236,"X1",2
"31",0.614767358372876,"k1",0.618002904480278,"X1",2
"32",0.283652408116401,"k1",0.27220877934374,"X1",2
"33",0.0478651365174916,"k1",0.0588484643768156,"X1",2
"34",0.140972508409151,"k1",0.13480490160199,"X1",2
"35",0.411427521295536,"k1",0.400927315139925,"X1",2
"36",0.464369303507209,"k1",0.461945981317474,"X1",2
"37",0.39972071767522,"k1",0.41075283640373,"X1",3
"38",0.188100279955356,"k1",0.184869603839207,"X1",3
"39",-0.0114842854841262,"k1",-0.0107419680472551,"X1",3
"40",0.186714941332944,"k1",0.181778629488418,"X1",3
"41",0.284641447730146,"k2",0.289710054406106,"X2",3
"42",0.350429355895637,"k2",0.349041000216037,"X2",3
"43",0.0954873296562594,"k2",0.0927245222440803,"X2",3
"44",0.198949446269517,"k2",0.211134490696204,"X2",3
"45",0.0275180127195993,"k2",0.0386076971726194,"X2",3
"46",0.569721883825532,"k2",0.568838277775716,"X2",3
"47",0.0399685802864456,"k2",0.0373888162632989,"X2",3
"48",0.187014106156823,"k2",0.185874423540231,"X2",3
"49",0.318667800208761,"k2",0.320084666362456,"X2",3
"50",0.415377358985666,"k2",0.416348363081517,"X2",3
"51",0.156831177620336,"k2",0.163373005329736,"X2",3
"52",0.503786025352309,"k2",0.52891884143728,"X2",3
"53",-0.128337487475453,"k2",-0.11255576391786,"X2",3
"54",0.766888071901276,"k2",0.76566753170216,"X2",3
"55",0.612367828579108,"k2",0.612014206751205,"X2",4
"56",0.176788636373255,"k2",0.180503439217751,"X2",4
"57",0.837601231690465,"k2",0.836499080375354,"X2",4
"58",0.0114075970168075,"k2",0.0109415049393013,"X2",4
"59",0.442924555136643,"k2",0.423759793768206,"X2",4
"60",0.477343665172685,"k2",0.495125052919252,"X2",4
"61",0.160871567793829,"k2",0.168081886248934,"X2",4
"62",0.218198978458617,"k2",0.216316991644062,"X2",4
"63",0.340678007845509,"k2",0.360660790504493,"X2",4
"64",0.276397214435859,"k2",0.276863922554089,"X2",4
"65",0.317121553684983,"k2",0.308101675911474,"X2",4
"66",0.793167317674882,"k2",0.840386845891299,"X2",4
"67",0.604114466653258,"k2",0.623516660425502,"X2",4
"68",0.0649799033259385,"k2",0.0593910328680171,"X2",4
"69",0.639609562460555,"k2",0.640097499912627,"X2",4
"70",0.572263261909663,"k2",0.572439586089531,"X2",4
"71",0.29356993026261,"k2",0.274942935034899,"X2",4
"72",0.364257418179043,"k2",0.356782349339816,"X2",4
"73",0.26970205381425,"k2",0.275622854858742,"X2",5
"74",0.682314305712145,"k2",0.66769799166233,"X2",5
"75",0.526914431799308,"k2",0.517395812905075,"X2",5
"76",0.574992468085977,"k2",0.577026398461242,"X2",5
"77",0.817618011739269,"k2",0.8217605915956,"X2",5
"78",0.323210469218542,"k2",0.32775083514764,"X2",5
"79",0.338005435180285,"k2",0.350244627665667,"X2",5
"80",0.427637800486927,"k2",0.411851088373417,"X2",5
"81",0.813414326473795,"k3",0.793893205223457,"X3",5
"82",0.607943326417456,"k3",0.598638245827549,"X3",5
"83",0.41278647397885,"k3",0.417641228708314,"X3",5
"84",0.259977735208059,"k3",0.26520899821557,"X3",5
"85",0.396462919838111,"k3",0.402183509831998,"X3",5
"86",0.765779148592082,"k3",0.754167381092513,"X3",5
"87",0.426158611949456,"k3",0.428104867090818,"X3",5
"88",0.201886775542027,"k3",0.184559094178058,"X3",5
"89",0.8867873757319,"k3",0.891961280763072,"X3",5
"90",0.562099230494431,"k3",0.555055956843903,"X3",5
"91",0.224180372342839,"k3",0.236533333479147,"X3",6
"92",0.852154601251071,"k3",0.869035000927816,"X3",6
"93",0.285283549180829,"k3",0.317603782318034,"X3",6
"94",0.675528774232809,"k3",0.664355001336775,"X3",6
"95",0.65576195421501,"k3",0.657748176221707,"X3",6
"96",0.417026625982083,"k3",0.418647331768132,"X3",6
"97",0.987089452205213,"k3",0.992703787550671,"X3",6
"98",0.698980356061002,"k3",0.6976072875282,"X3",6
"99",0.537085585339781,"k3",0.52787344035488,"X3",6
"100",0.686046437578843,"k3",0.708857299406212,"X3",6
"101",0.386769767799228,"k3",0.414843689917759,"X3",6
"102",0.646145043608807,"k3",0.615092887734277,"X3",6
"103",0.318613661014859,"k3",0.298841466714024,"X3",6
"104",0.566711868234316,"k3",0.564995097830373,"X3",6
"105",0.555686703714399,"k3",0.561680459993113,"X3",6
"106",0.924398359211652,"k3",0.930934218242158,"X3",6
"107",0.688756241526366,"k3",0.693898084933859,"X3",6
"108",0.220113151727571,"k3",0.21984693044023,"X3",6
"109",0.771525075857447,"k3",0.767896139059907,"X3",7
"110",0.603613581933,"k3",0.5953627244073,"X3",7
"111",0.753680942439205,"k3",0.716339655554196,"X3",7
"112",0.830792066234664,"k3",0.831071052722261,"X3",7
"113",0.770832498223155,"k3",0.759858982312095,"X3",7
"114",0.860710234695071,"k3",0.862749433335638,"X3",7
"115",0.865551935444763,"k3",0.842237625340161,"X3",7
"116",0.739797800966326,"k3",0.73325545820725,"X3",7
"117",1.15155756717701,"k3",1.16406694999214,"X3",7
"118",0.612542711475235,"k3",0.627547797561247,"X3",7
"119",0.870328466805902,"k3",0.851039332794281,"X3",7
"120",0.577328636183071,"k3",0.574219753778286,"X3",7
"121",0.818323792579282,"k4",0.796997973053386,"X4",7
"122",0.415372266143251,"k4",0.392334752971816,"X4",7
"123",0.492905254776682,"k4",0.489843405810004,"X4",7
"124",1.13622436206248,"k4",1.11904471152088,"X4",7
"125",0.526335246131773,"k4",0.542534264980791,"X4",7
"126",0.850847768991941,"k4",0.850762438432955,"X4",7
"127",0.903299017343315,"k4",0.888574589831701,"X4",8
"128",0.303012963738052,"k4",0.320936550132852,"X4",8
"129",0.885377838445508,"k4",0.902871505116408,"X4",8
"130",0.558048412116404,"k4",0.544476096972021,"X4",8
"131",0.263929957430195,"k4",0.269925727805676,"X4",8
"132",0.933371196606037,"k4",0.933745198539425,"X4",8
"133",0.749829205384202,"k4",0.766884225323349,"X4",8
"134",0.729723242432465,"k4",0.727842260826567,"X4",8
"135",0.732396353454873,"k4",0.724500731486559,"X4",8
"136",0.76454405188841,"k4",0.744945016545306,"X4",8
"137",1.13168542400162,"k4",1.12000543735204,"X4",8
"138",0.707441362123153,"k4",0.703503520882148,"X4",8
"139",0.956087531658577,"k4",0.94817928818806,"X4",8
"140",0.767973838851518,"k4",0.796643221635456,"X4",8
"141",0.701765251836036,"k4",0.690835027023123,"X4",8
"142",0.655234820099795,"k4",0.651375920256348,"X4",8
"143",1.19249918570511,"k4",1.17598313304549,"X4",8
"144",0.585465948307284,"k4",0.5964343480602,"X4",8
"145",0.700402533721304,"k4",0.704552712197825,"X4",9
"146",0.953198986833422,"k4",0.953671436999042,"X4",9
"147",0.519136412558431,"k4",0.553781134763963,"X4",9
"148",0.406419925521323,"k4",0.414245902067927,"X4",9
"149",0.995798141310042,"k4",0.988243176548355,"X4",9
"150",0.798111417325131,"k4",0.792971481922732,"X4",9
"151",1.36931257562906,"k4",1.41726677820811,"X4",9
"152",0.851109331194847,"k4",0.843773689388883,"X4",9
"153",0.881239078471555,"k4",0.865788351012784,"X4",9
"154",0.405717552749362,"k4",0.435568038553828,"X4",9
"155",0.969550396253212,"k4",0.948837865910263,"X4",9
"156",0.773753592850211,"k4",0.76523723056911,"X4",9
"157",1.05494328679348,"k4",1.08063559291824,"X4",9
"158",0.75668640605111,"k4",0.743222300726348,"X4",9
"159",0.916749486570941,"k4",0.894642962485774,"X4",9
"160",0.679704728153081,"k4",0.689109110924755,"X4",9
"161",0.724698997864333,"k5",0.704831741815693,"X5",9
"162",0.401155916746359,"k5",0.393801004522907,"X5",9
"163",0.577516341255444,"k5",0.573989448553786,"X5",10
"164",1.1164093708508,"k5",1.092897124888,"X5",10
"165",0.575601556914145,"k5",0.613754507097054,"X5",10
"166",0.90415564345364,"k5",0.905708833431196,"X5",10
"167",0.913118357740098,"k5",0.902248724636942,"X5",10
"168",0.801065311953671,"k5",0.814358255907402,"X5",10
"169",0.973406197876481,"k5",0.98179896264504,"X5",10
"170",0.566297985005304,"k5",0.543775647219144,"X5",10
"171",0.490978691511461,"k5",0.475330168703558,"X5",10
"172",1.32323725623184,"k5",1.35010536284065,"X5",10
"173",0.364972099939413,"k5",0.50290256556818,"X5",10
"174",0.616545340484145,"k5",0.628549810487011,"X5",10
"175",0.843676391709588,"k5",0.853371900353225,"X5",10
"176",0.793142215423557,"k5",0.766108302089011,"X5",10
"177",0.274229960197085,"k5",0.18125507208893,"X5",10
"178",0.705019720944287,"k5",0.700153574288028,"X5",10
"179",1.0808622886426,"k5",1.07650601906212,"X5",10
"180",0.856043076625822,"k5",0.882623251537321,"X5",10
"181",0.726946177861431,"k5",0.727964986518165,"X5",11
"182",0.713044553829837,"k5",0.723425759771573,"X5",11
"183",1.02420391118538,"k5",0.964425226068533,"X5",11
