subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,resp_buttonid,r
1,visual,different_means,2,2,1,13.24632207,0.135,2,148.0292454,1,4,2,6
1,visual,different_means,1,1,0,-8.360113639,0.033,2,284.4372915,1,1,-1,4
1,visual,different_means,1,1,0,4.512016544,0.05,2,350.5968364,0,2,-1,4
1,visual,different_means,2,2,1,13.64811317,0.135,2,204.2612915,1,4,2,6
1,visual,different_means,1,1,0,5.667566147,0.05,2,30.17788949,0,2,-1,4
1,visual,different_means,2,1,0,0.978230257,0.135,1,141.4733664,1,4,1,5
2,visual,different_means,2,2,1,3.640443487,0.05,2,180.0606116,1,2,2,6
2,visual,different_means,1,2,0,-3.338990195,0.135,2,257.6492432,1,4,-2,3
2,visual,different_means,2,2,1,3.11095067,0.05,2,186.1342398,1,2,2,6
2,visual,different_means,1,1,1,-2.714320059,0.033,1,326.3228655,1,1,-1,4
2,visual,different_means,1,2,1,-4.485678855,0.067,1,275.5401984,1,3,-2,3
2,visual,different_means,1,1,1,2.851182881,0.05,1,105.2782446,0,2,-1,4
3,visual,different_means,1,4,1,-9.693955774,0.135,1,116.3674271,1,4,-4,1
3,visual,different_means,2,4,1,4.97657421,0.067,2,350.8389993,1,3,4,8
3,visual,different_means,2,1,0,-3.963935561,0.033,1,155.6503224,0,1,1,5
3,visual,different_means,1,4,1,-6.966776212,0.135,1,179.0528034,1,4,-4,1
3,visual,different_means,1,1,0,2.808447077,0.033,2,46.74912411,0,1,-1,4
3,visual,different_means,1,3,1,-2.176007771,0.135,1,333.7921096,1,4,-3,2
4,visual,different_means,1,3,1,-12.14674589,0.135,1,329.2807723,1,4,-3,2
4,visual,different_means,1,1,1,-8.647200904,0.067,1,292.1471457,1,3,-1,4
4,visual,different_means,2,1,0,-10.58291149,0.05,1,341.6137818,0,2,1,5
4,visual,different_means,2,1,0,-0.426898992,0.135,1,189.5762932,0,4,1,5
4,visual,different_means,2,1,0,-0.139967664,0.05,1,50.44056519,0,2,1,5
4,visual,different_means,2,1,0,4.744649629,0.05,1,358.3638635,1,2,1,5
5,visual,different_means,1,1,0,8.54391945,0.033,2,177.3478779,0,1,-1,4
5,visual,different_means,1,1,1,-3.904904816,0.135,1,284.1609625,1,4,-1,4
5,visual,different_means,1,1,1,-13.64768501,0.135,1,116.8031092,1,4,-1,4
5,visual,different_means,1,1,1,-6.237877582,0.05,1,353.9255979,1,2,-1,4
5,visual,different_means,2,1,1,-0.608927258,0.033,2,59.17367951,0,1,1,5
5,visual,different_means,1,1,1,-8.709439312,0.05,1,8.06850677,1,2,-1,4
6,visual,different_means,2,3,1,-2.069881732,0.033,2,87.78426289,0,1,3,7
6,visual,different_means,1,2,1,-2.784472325,0.135,1,206.4511727,1,4,-2,3
6,visual,different_means,1,2,0,1.00499376,0.05,2,209.489224,0,2,-2,3
6,visual,different_means,1,1,1,-1.719619082,0.033,1,40.85113133,1,1,-1,4
6,visual,different_means,2,2,1,7.78033379,0.135,2,351.4798463,1,4,2,6
6,visual,different_means,1,1,1,-1.909575648,0.033,1,339.6167899,1,1,-1,4
7,visual,different_means,1,2,1,-1.196521227,0.135,1,160.5434315,1,4,-2,3
7,visual,different_means,1,2,0,-2.779235559,0.05,2,94.08218626,1,2,-2,3
7,visual,different_means,2,1,1,6.925296836,0.067,2,3.286635711,1,3,1,5
7,visual,different_means,1,2,0,-1.760533732,0.135,2,154.6786939,1,4,-2,3
7,visual,different_means,1,1,1,0.838936913,0.067,1,98.35026045,0,3,-1,4
7,visual,different_means,1,2,0,0.421369725,0.067,2,207.1584212,0,3,-2,3
8,visual,different_means,1,2,1,-3.785911863,0.05,1,72.17871896,1,2,-2,3
8,visual,different_means,2,1,1,4.430282802,0.033,2,344.0003356,1,1,1,5
