subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
1,visual,different_sds,1,1,1,-0.903353889,0.135,1,241.1546646,1,4,4
1,visual,different_sds,1,1,0,0.24916691,0.067,2,84.79899472,1,4,3
1,visual,different_sds,1,1,1,-3.050800725,0.05,1,137.6864827,1,4,2
1,visual,different_sds,1,1,0,-10.01666083,0.033,2,320.5017305,0,4,1
1,visual,different_sds,1,1,1,6.250204082,0.05,1,252.2093249,0,4,2
1,visual,different_sds,1,1,1,1.234250085,0.033,1,354.3893809,1,4,1
2,visual,different_sds,1,2,1,-1.220705151,0.135,1,226.3397624,1,3,4
2,visual,different_sds,1,2,0,-2.816791068,0.135,2,260.1003862,1,3,4
2,visual,different_sds,1,1,0,5.003164457,0.05,2,197.6480615,0,4,2
2,visual,different_sds,2,1,0,-2.230272317,0.067,1,116.9828969,0,5,3
2,visual,different_sds,1,1,1,-1.73671619,0.033,1,255.7827357,1,4,1
2,visual,different_sds,2,2,0,-3.929754349,0.135,1,200.293972,0,6,4
3,visual,different_sds,1,4,0,8.178596557,0.05,2,209.4063311,0,1,2
3,visual,different_sds,1,1,1,0.527781191,0.033,1,174.2030497,1,4,1
3,visual,different_sds,1,4,1,-1.233121556,0.05,1,51.88325527,1,1,2
3,visual,different_sds,2,4,1,-11.40215348,0.135,2,119.2685711,1,8,4
3,visual,different_sds,1,4,1,-0.880047605,0.135,1,222.8422504,1,1,4
3,visual,different_sds,1,4,1,0.073271019,0.067,1,349.621298,1,1,3
4,visual,different_sds,1,1,1,-0.851041486,0.067,1,317.644808,1,4,3
4,visual,different_sds,1,1,0,-19.10167487,0.05,2,157.7560951,0,4,2
4,visual,different_sds,2,1,1,-22.57129882,0.135,2,175.3134083,1,5,4
4,visual,different_sds,2,1,1,3.838935133,0.05,2,321.0964471,0,5,2
4,visual,different_sds,2,1,0,1.444284304,0.067,1,196.7441434,0,5,3
4,visual,different_sds,1,1,1,2.647002709,0.033,1,28.77058269,1,4,1
5,visual,different_sds,2,1,1,-7.6088002,0.067,2,128.1366114,1,5,3
5,visual,different_sds,1,1,1,2.790407812,0.033,1,131.0425486,1,4,1
5,visual,different_sds,1,1,0,8.954365647,0.033,2,331.0521219,0,4,1
5,visual,different_sds,1,3,1,-0.073153154,0.135,1,209.1633182,1,2,4
5,visual,different_sds,2,2,1,-11.02232008,0.135,2,88.22277301,1,6,4
5,visual,different_sds,2,3,1,-12.37646123,0.135,2,302.604461,1,7,4
6,visual,different_sds,1,1,0,-10.0963639,0.033,2,158.3707336,0,4,1
6,visual,different_sds,1,2,0,2.690837838,0.067,2,248.8846627,1,3,3
6,visual,different_sds,1,3,1,-0.29826388,0.135,1,143.2790384,1,2,4
